RK,Class Rk,Year,Player Name,,QB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Archetype,Height,Weight,BMI,40 Time,Draft Cap,PDOM1,PDOM2,PDOM3,PDOM4,PDOM5,TDOM,PDOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,Comp,YPC,ADJ%,BTT%,TWP%,DAA,YPA,MTF/A,YCO/A
62,6,2018,Mason Rudolph,Outlier,6.25,70.00,0.29,Oklahoma State,3,7/17/95,30.22,SR,22.79,Pocket Passer,76,235,28.60,4.9,3,0.00%,27.09%,82.03%,97.01%,97.02%,97.02%,87.31%,9.19%,4.70%,6.95%,6.25%,20.14,81.53,65.1%,15.39,73.7%,8.8%,2.5%,57%,3.60,0.13,2.46
63,5,2023,Max Duggan,Outlier,6.17,69.50,0.26,TCU,3,3/12/01,24.56,SR,22.14,Mobile Passer,74,207,26.58,4.52,7,0.00%,84.90%,91.80%,70.96%,94.17%,94.17%,84.75%,19.71%,20.37%,20.37%,18.34%,18.48,99.19,63.6%,13.85,74.2%,6.8%,2.6%,52%,5.60,0.18,2.32
64,7,2021,Ian Book,Outlier,6.15,69.00,0.26,Notre Dame,2,3/30/98,27.52,RS SR,23.09,Mobile Passer,72,212,28.75,4.95,4,0.00%,19.60%,78.37%,92.59%,99.23%,99.23%,99.23%,25.49%,22.83%,24.16%,24.16%,20.44,70.62,63.7%,12.65,75.7%,5.2%,2.3%,59%,6.20,0.07,2.65
65,12,2026,Noah Fifita,Outlier,6.07,68.50,0.24,Arizona,3,7/28/03,22.18,SR,22.76,Mobile Passer,70,186,26.69,4.7,0,0.00%,3.35%,71.63%,99.33%,95.57%,99.33%,89.39%,14.78%,15.68%,15.68%,14.11%,20.11,76.23,60.5%,15.48,78.4%,4.7%,0.0%,62%,4.80,0.29,3.39
66,8,2021,Sam Ehlinger,Outlier,6.03,68.10,0.22,Texas,3,9/30/98,27.01,SR,22.59,Dual Threat,75,230,28.75,4.74,6,0.00%,56.79%,90.90%,97.23%,91.40%,94.32%,84.88%,33.13%,24.36%,28.74%,25.87%,18.93,91.13,64.9%,13.20,74.3%,6.8%,1.7%,49%,6.10,0.19,2.79
67,6,2022,Dustin Crum,Outlier,5.96,67.60,0.20,Kent State,9,1/5/99,26.75,RS SR,23.32,Dual Threat,73,210,27.71,4.75,0,15.76%,6.92%,91.47%,91.42%,94.05%,94.05%,61.13%,21.07%,24.95%,24.95%,16.22%,20.67,82.50,73.0%,13.27,80.7%,7.1%,0.7%,57%,7.30,0.32,4.44
68,5,2019,Will Grier,Outlier,5.91,67.10,0.19,West Virginia,3,4/3/95,30.51,RS JR,24.08,Pocket Passer,74,217,27.86,4.84,3,0.00%,41.59%,0.00%,86.47%,91.67%,91.67%,82.51%,10.25%,3.40%,6.82%,6.14%,22.43,79.09,67.0%,14.53,76.6%,7.9%,2.9%,51%,4.10,0.13,3.53
69,9,2021,Davis Mills,Outlier,5.68,66.60,0.12,Stanford,5,10/21/98,26.95,SR,22.53,Pocket Passer,76,214,26.05,4.89,3,0.00%,0.00%,0.00%,62.05%,87.70%,87.70%,74.55%,7.75%,10.49%,10.49%,8.92%,20.87,74.85,65.8%,12.37,78.8%,7.7%,3.1%,67%,5.70,0.15,3.47
70,5,2025,Tyler Shough,Outlier,5.62,66.10,0.10,Louisville,4,9/28/99,26.02,RS SR,25.60,Pocket Passer,77,225,26.68,4.63,2,88.22%,25.54%,32.81%,25.62%,92.95%,92.95%,83.66%,9.54%,5.12%,7.33%,6.60%,20.94,97.92,62.1%,13.13,75.1%,5.1%,1.8%,47%,5.60,0.21,3.44
71,6,2016,Cody Kessler,Outlier,5.57,65.70,0.09,USC,5,5/11/93,32.40,SR,22.98,Pocket Passer,73,215,28.37,4.89,3,0.00%,0.25%,93.36%,98.83%,93.70%,96.27%,81.83%,3.01%,3.94%,3.94%,3.35%,20.32,75.20,69.3%,11.87,80.3%,4.9%,1.9%,57%,2.90,0.06,2.79
72,6,2023,Hendon Hooker,Outlier,5.55,65.20,0.08,Tennessee,1,1/13/98,27.72,RS SR,25.30,Mobile Passer,75,217,27.12,4.7,3,0.00%,57.25%,60.85%,88.21%,73.96%,81.08%,81.08%,25.62%,20.60%,23.11%,23.11%,21.64,88.94,69.2%,13.69,76.8%,5.6%,1.1%,50%,7.40,0.30,4.70
73,7,2024,Joe Milton,Outlier,5.32,64.70,0.02,Tennessee,1,3/6/00,25.58,RS SR,24.16,Mobile Passer,77,235,27.87,4.56,6,1.81%,71.37%,11.22%,22.91%,88.84%,88.84%,88.84%,3.20%,14.35%,14.35%,14.35%,20.50,108.70,64.7%,12.27,73.2%,11.1%,2.0%,52%,6.50,0.06,1.82
74,13,2026,Taylen Green,Outlier,5.24,64.20,-0.01,Arkansas,1,10/18/02,22.96,RS SR,23.54,Dual Threat,78,235,27.16,4.7,0,0.00%,76.12%,56.78%,88.10%,91.83%,89.96%,89.96%,30.65%,40.28%,40.28%,40.28%,19.88,96.32,64.3%,14.70,72.0%,5.5%,3.6%,48%,9.02,0.32,4.46
75,14,2026,Jayden Maiava,Outlier,5.13,63.70,-0.04,USC,2,4/6/04,21.49,RS JR,22.07,Distributor,76,230,28.00,4.7,0,0.00%,0.00%,91.70%,31.65%,92.23%,61.94%,61.94%,4.24%,6.16%,6.16%,6.16%,19.42,94.27,70.8%,17.99,79.8%,5.1%,2.9%,71%,4.40,0.32,3.07
