Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2010,Tennessee,238,13,6,7,0,.462,351,326,25,238,419,181,56.8,3309,26,15,6.2,3.6,136.5,7.9,7.53,13.9
2003,Tennessee,238,13,10,3,0,.769,365,239,126,238,422,184,56.4,3034,28,9,6.6,2.1,134.4,7.2,7.56,12.7
2001,LSU,238,12,10,3,0,.769,371,268,103,238,411,173,57.9,3578,18,12,4.4,2.9,139.6,8.7,8.27,15.0
2011,Alabama,237,13,12,1,0,.923,453,106,347,237,357,120,66.4,2797,16,8,4.5,2.2,142.5,7.8,7.72,11.8
2024,Tennessee,236,13,10,3,0,.769,464,209,255,236,374,138,63.1,2875,21,7,5.6,1.9,142.5,7.7,7.97,12.2
2024,Oklahoma,235,13,6,7,0,.462,312,280,32,235,373,138,63.0,2286,16,6,4.3,1.6,125.4,6.1,6.26,9.7
2018,Auburn,233,13,8,5,0,.615,402,249,153,233,381,148,61.2,2892,21,5,5.5,1.3,140.5,7.6,8.10,12.4
2009,Tennessee,233,13,7,6,0,.538,381,289,92,233,401,168,58.1,2942,28,14,7.0,3.5,135.8,7.3,7.16,12.6
2017,Vanderbilt,232,12,5,7,0,.417,295,376,-81,232,403,171,57.6,2923,27,10,6.7,2.5,135.6,7.3,7.48,12.6
2022,Arkansas,231,13,7,6,0,.538,423,398,25,231,357,126,64.7,3039,26,7,7.3,2.0,156.3,8.5,9.09,13.2
2024,Auburn,230,12,5,7,0,.417,333,256,77,230,369,139,62.3,3167,27,13,7.3,3.5,151.5,8.6,8.46,13.8
2016,Mississippi State,230,13,6,7,0,.462,395,413,-18,230,411,181,56.0,2726,24,10,5.8,2.4,126.1,6.6,6.71,11.9
2010,Florida,230,13,8,5,0,.615,388,277,111,230,381,151,60.4,2396,12,12,3.1,3.1,117.3,6.3,5.50,10.4
2001,Tennessee,230,12,11,2,0,.846,355,234,121,230,360,130,63.9,2980,22,9,6.1,2.5,148.6,8.3,8.38,13.0
2019,Auburn,229,13,9,4,0,.692,432,254,178,229,396,167,57.8,2697,20,6,5.1,1.5,128.7,6.8,7.14,11.8
2015,Florida,228,14,10,4,0,.714,325,256,69,228,404,176,56.4,2897,20,10,5.0,2.5,128.1,7.2,7.05,12.7
2014,Kentucky,228,12,5,7,0,.417,350,375,-25,228,405,177,56.3,2774,14,11,3.5,2.7,119.8,6.8,6.32,12.2
2012,Missouri,228,12,5,7,0,.417,309,341,-32,228,414,186,55.1,2615,15,14,3.6,3.4,113.3,6.3,5.52,11.5
2008,Kentucky,227,13,7,6,0,.538,294,279,15,227,415,188,54.7,2234,11,13,2.7,3.1,102.4,5.4,4.50,9.8
2024,Alabama,226,13,9,4,0,.692,439,226,213,226,354,128,63.8,3073,17,11,4.8,3.1,146.4,8.7,8.24,13.6
2021,Vanderbilt,226,12,2,10,0,.167,189,430,-241,226,409,183,55.3,2272,13,14,3.2,3.4,105.6,5.6,4.65,10.1
2019,Missouri,226,12,6,6,0,.500,304,233,71,226,376,150,60.1,2671,17,8,4.5,2.1,130.4,7.1,7.05,11.8
2002,Mississippi State,226,12,3,9,0,.250,227,339,-112,226,442,216,51.1,2611,13,22,2.9,5.0,100.5,5.9,4.26,11.6
2012,South Carolina,225,13,11,2,0,.846,410,237,173,225,365,140,61.6,3095,29,9,7.9,2.5,154.2,8.5,8.96,13.8
2024,South Carolina,224,13,9,4,0,.692,396,235,161,224,342,118,65.5,2904,21,7,6.1,2.0,153.0,8.5,8.80,13.0
2022,Kentucky,224,13,7,6,0,.538,265,250,15,224,349,125,64.2,2710,21,13,6.0,3.7,141.8,7.8,7.29,12.1
2018,LSU,224,13,10,3,0,.769,421,283,138,224,387,163,57.9,2970,17,5,4.4,1.3,134.3,7.7,7.97,13.3
2006,Alabama,224,13,6,7,0,.462,298,250,48,224,393,169,57.0,2767,18,10,4.6,2.5,126.2,7.0,6.81,12.4
2011,Tennessee,223,12,5,7,0,.417,244,271,-27,223,400,177,55.8,2911,18,12,4.5,3.0,125.7,7.3,6.83,13.1
2014,Missouri,221,14,11,3,0,.786,389,295,94,221,415,194,53.3,2648,25,13,6.0,3.1,120.5,6.4,6.18,12.0
2022,Texas A&M,220,12,5,7,0,.417,273,254,19,220,391,171,56.3,2633,18,6,4.6,1.5,125.0,6.7,6.96,12.0
2015,Tennessee,220,13,9,4,0,.692,457,260,197,220,371,151,59.3,2582,17,5,4.6,1.3,130.2,7.0,7.27,11.7
2012,Kentucky,220,12,2,10,0,.167,215,372,-157,220,387,167,56.8,2115,13,10,3.4,2.6,108.7,5.5,4.97,9.6
2012,Alabama,219,14,13,1,0,.929,542,153,389,219,328,109,66.8,3052,31,3,9.5,0.9,174.3,9.3,10.78,13.9
2015,Kentucky,218,12,5,7,0,.417,296,329,-33,218,397,179,54.9,2512,10,16,2.5,4.0,108.3,6.3,5.02,11.5
2010,Georgia,218,13,6,7,0,.462,417,287,130,218,359,141,60.7,3151,25,8,7.0,2.2,153.0,8.8,9.17,14.5
2009,Auburn,218,13,8,5,0,.615,433,358,75,218,364,146,59.9,2857,25,9,6.9,2.5,143.5,7.8,8.11,13.1
2002,Tennessee,218,13,8,5,0,.615,296,227,69,218,356,138,61.2,2635,14,7,3.9,2.0,132.5,7.4,7.30,12.1
2023,Vanderbilt,217,12,2,10,0,.167,274,434,-160,217,390,173,55.6,2684,23,12,5.9,3.1,126.8,6.9,6.68,12.4
2018,Florida,217,13,10,3,0,.769,455,260,195,217,364,147,59.6,2776,28,6,7.7,1.6,145.8,7.6,8.42,12.8
2014,Georgia,217,13,10,3,0,.769,537,269,268,217,322,105,67.4,2599,24,6,7.5,1.9,156.1,8.1,8.72,12.0
2024,Texas A&M,216,13,8,5,0,.615,395,289,106,216,361,145,59.8,2734,19,11,5.3,3.0,134.7,7.6,7.25,12.7
2020,Auburn,216,11,6,5,0,.545,276,272,4,216,362,146,59.7,2423,12,7,3.3,1.9,123.0,6.7,6.49,11.2
2005,LSU,216,13,11,2,0,.846,383,185,198,216,360,144,60.0,2912,22,10,6.1,2.8,142.6,8.1,8.06,13.5
2024,Mississippi State,215,12,2,10,0,.167,310,409,-99,215,368,153,58.4,2871,19,8,5.2,2.2,136.6,7.8,7.86,13.4
2005,South Carolina,213,12,7,5,0,.583,284,279,5,213,355,142,60.0,2649,21,12,5.9,3.4,135.4,7.5,7.12,12.4
2016,Georgia,212,13,8,5,0,.615,319,312,7,212,386,174,54.9,2515,16,9,4.1,2.3,118.7,6.5,6.30,11.9
2009,Alabama,212,14,14,0,0,1.000,449,164,285,212,346,134,61.3,2631,17,5,4.9,1.4,138.5,7.6,7.94,12.4
2000,Tennessee,212,11,8,4,0,.667,359,212,147,212,354,142,59.9,2315,21,11,5.9,3.1,128.2,6.5,6.33,10.9
2023,Kentucky,211,13,7,6,0,.538,378,336,42,211,375,164,56.3,2751,25,12,6.7,3.2,133.5,7.3,7.23,13.0
2021,South Carolina,211,13,7,6,0,.538,294,312,-18,211,360,149,58.6,2615,22,11,6.1,3.1,133.7,7.3,7.11,12.4
2008,Florida,211,14,13,1,0,.929,611,181,430,211,329,118,64.1,2995,33,5,10.0,1.5,170.7,9.1,10.43,14.2
2004,Auburn,211,13,13,0,0,1.000,417,147,270,211,308,97,68.5,3086,25,9,8.1,2.9,173.6,10.0,10.33,14.6
2016,Vanderbilt,210,13,6,7,0,.462,299,312,-13,210,394,184,53.3,2486,9,11,2.3,2.8,108.3,6.3,5.51,11.8
2008,Mississippi State,210,12,4,8,0,.333,183,296,-113,210,384,174,54.7,2092,10,12,2.6,3.1,102.8,5.4,4.56,10.0
2004,Tennessee,210,13,10,3,0,.769,378,295,83,210,376,166,55.9,2775,27,15,7.2,4.0,133.6,7.4,7.02,13.2
2005,Alabama,209,12,10,2,0,.833,263,128,135,209,351,142,59.5,2597,16,4,4.6,1.1,134.5,7.4,7.80,12.4
2024,Florida,208,13,8,5,0,.615,368,300,68,208,342,134,60.8,2934,18,14,5.3,4.1,142.1,8.6,7.79,14.1
2023,Alabama,208,14,12,2,0,.857,476,266,210,208,325,117,64.0,3086,23,6,7.1,1.8,163.4,9.5,10.08,14.8
2021,Texas A&M,208,12,8,4,0,.667,352,191,161,208,369,161,56.4,2503,19,13,5.1,3.5,123.3,6.8,6.23,12.0
2014,Auburn,208,13,8,5,0,.615,461,347,114,208,332,124,62.7,2984,23,7,6.9,2.1,156.8,9.0,9.42,14.3
2012,LSU,208,13,10,3,0,.769,387,228,159,208,356,148,58.4,2607,12,7,3.4,2.0,127.1,7.3,7.11,12.5
2000,Auburn,208,12,9,4,0,.692,288,235,53,208,354,146,58.8,2320,14,12,4.0,3.4,120.1,6.6,5.82,11.2
2023,Arkansas,207,12,4,8,0,.333,319,335,-16,207,323,116,64.1,2250,22,8,6.8,2.5,140.1,7.0,7.21,10.9
2012,Vanderbilt,207,13,9,4,0,.692,390,243,147,207,350,143,59.1,2774,17,5,4.9,1.4,138.9,7.9,8.25,13.4
2003,Mississippi State,207,12,2,10,0,.167,225,471,-246,207,395,188,52.4,2424,15,25,3.8,6.3,103.8,6.1,4.05,11.7
2008,LSU,206,13,8,5,0,.615,402,314,88,206,391,185,52.7,2617,21,18,5.4,4.6,117.4,6.7,5.70,12.7
2003,Kentucky,206,12,4,8,0,.333,328,321,7,206,381,175,54.1,2426,18,10,4.7,2.6,117.9,6.4,6.13,11.8
2021,Arkansas,205,13,9,4,0,.692,402,298,104,205,314,109,65.3,2781,22,5,7.0,1.6,159.6,8.9,9.54,13.6
2013,LSU,205,13,10,3,0,.769,465,286,179,205,326,121,62.9,3263,23,9,7.1,2.8,164.7,10.0,10.18,15.9
2009,Ole Miss,205,13,9,4,0,.692,384,230,154,205,377,172,54.4,2844,22,21,5.8,5.6,125.9,7.5,6.20,13.9
2017,Alabama,204,14,13,1,0,.929,519,167,352,204,333,129,61.3,2708,28,3,8.4,0.9,155.5,8.1,9.41,13.3
2013,Kentucky,204,12,2,10,0,.167,246,374,-128,204,343,139,59.5,2321,14,6,4.1,1.7,126.3,6.8,6.80,11.4
