Rank,Class Rk,Year,Player Name,Tier,WR Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Type,Build,Separator,Height,Weight,BMI,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,Breakout,Y/RR,YAC/R,aDOT,EPA/P,aYPTPA,CTPRR,UCTPRR,Drop%,CC%,Wide %,Slot %,Speed,HaSS
31,5,2020,Brandon Aiyuk,Elite Upside,11.21,94.90,1.59,Arizona State,5,3/17/98,27.55,JR,22.12,Wide,BALL HOG,Elite Separator,72,201,27.26,4.5,1,0.00%,0.00%,0.00%,15.67%,36.85%,36.85%,35.00%,21.48,3.04,10.90,11.60,0.83,3.36,2%,23%,8.50%,0.0%,87.20%,12.55%,98.03,95.05
32,1,2017,Mike Williams,Elite Upside,11.20,94.70,1.59,Clemson,4,10/4/94,31.00,RS JR,22.58,Wide,SLOB,N/A,76,220,26.78,4.51,1,0.00%,7.13%,30.26%,0.46%,27.17%,28.71%,27.28%,19.92,3.34,7.40,16.20,0.65,2.16,N/A,N/A,5.80%,0.0%,97.20%,2.80%,106.35,111.82
33,1,2016,Will Fuller,Elite Upside,11.16,94.60,1.57,Notre Dame,2,4/16/94,31.47,JR,22.05,Wide,BALL HOG,N/A,72,186,25.23,4.32,1,0.00%,0.00%,10.47%,29.48%,37.47%,37.47%,37.47%,20.39,2.91,6.70,15.10,0.00,0.00,N/A,N/A,12.70%,0.0%,93.70%,6.30%,106.81,103.56
34,2,2023,Jordan Addison,Elite Upside,11.13,94.40,1.55,USC,5,1/27/02,23.68,JR,21.26,Hybrid,BALL HOG,Elite Separator,71,173,24.13,4.49,1,0.00%,0.00%,23.31%,33.72%,23.72%,28.72%,27.28%,18.62,2.94,7.00,10.70,0.89,2.93,3%,22%,3.30%,0.0%,53.65%,45.50%,85.13,80.83
35,2,2017,Juju Smith-Schuster,Elite Upside,11.11,94.30,1.54,USC,5,11/22/96,28.87,JR,20.44,Wide,BALL HOG,N/A,73,216,28.50,4.54,2,0.00%,0.00%,25.93%,38.51%,25.44%,31.97%,30.37%,17.79,3.40,6.70,13.50,0.66,1.97,N/A,N/A,5.40%,0.0%,84.00%,15.65%,101.69,100.65
36,3,2015,DeVante Parker,Elite Upside,11.10,94.10,1.53,Louisville,3,1/20/93,32.71,SR,22.28,Wide,PROTO X,N/A,75,208,26.00,4.45,1,0.00%,10.58%,19.33%,21.68%,48.47%,48.47%,46.05%,20.62,4.25,8.10,14.40,0.00,0.00,N/A,N/A,3.00%,0.0%,98.30%,1.70%,106.08,109.35
37,2,2025,Travis Hunter,Elite Upside,11.07,93.90,1.52,Colorado,3,5/18/03,22.38,JR,21.96,Hybrid,BALL HOG,Elite Separator,72,188,25.50,4.40,1,0.00%,0.00%,24.80%,27.18%,30.43%,30.43%,28.91%,19.29,3.12,5.40,12.60,1.03,0.00,3%,21%,3.00%,0.0%,64.90%,34.95%,100.32,97.26
38,3,2026,Denzel Boston,Elite Upside,11.05,93.80,1.50,Washington,2,6/1/04,21.34,RS JR,21.92,Wide,DEEP,Elite Separator,76,209,25.44,4.46,1,0.00%,1.01%,1.06%,24.51%,30.07%,30.07%,30.07%,20.27,2.93,5.30,17.90,0.00,0.00,3%,19%,4.50%,0.0%,87.00%,12.60%,105.64,111.08
39,6,2020,Tee Higgins,Elite Upside,11.04,93.60,1.50,Clemson,4,1/18/99,26.71,JR,21.28,Wide,SLOB,Elite Earner,76,216,26.29,4.54,2,0.00%,0.00%,19.56%,22.37%,26.98%,26.98%,25.63%,19.63,3.59,7.60,15.70,1.06,2.29,6%,21%,9.20%,0.0%,89.05%,10.95%,101.69,106.92
40,3,2025,Emeka Egbuka,Upside,10.97,93.40,1.45,Ohio State,2,10/18/02,22.96,SR,22.54,Slot,BALL HOG,Elite Earner,73,202,26.65,4.48,1,0.00%,6.27%,29.68%,19.10%,24.03%,26.85%,26.85%,19.87,2.98,7.10,9.00,0.83,0.00,5%,21%,5.80%,0.0%,21.65%,76.80%,100.29,99.27
41,7,2022,Jahan Dotson,Upside,10.90,93.30,1.42,Penn State,2,3/22/00,25.53,RS JR,22.12,Wide,RAT,Elite Separator,71,183,25.52,4.43,1,0.00%,7.16%,16.96%,38.37%,33.86%,36.11%,36.11%,20.47,2.63,7.20,12.70,0.90,2.89,3%,27%,2.20%,0.0%,84.50%,15.50%,95.03,90.22
42,2,2016,Corey Coleman,Upside,10.88,93.10,1.41,Baylor,3,7/6/94,31.25,JR,21.82,Hybrid,RAT,N/A,71,194,27.06,4.40,1,0.00%,0.00%,12.23%,30.58%,39.29%,39.29%,37.33%,20.17,3.99,8.70,14.50,0.00,0.00,N/A,N/A,11.90%,0.0%,65.25%,32.95%,103.52,98.28
43,3,2023,Quentin Johnston,Upside,10.87,93.00,1.40,TCU,3,9/6/01,24.07,JR,21.65,Wide,SLOB,Elite Earner,75,208,26.00,4.51,1,0.00%,0.00%,24.81%,22.05%,30.12%,30.12%,28.62%,19.01,3.05,8.90,12.90,1.45,2.67,7%,21%,11.80%,0.0%,87.85%,12.15%,100.55,103.64
44,4,2025,Luther Burden III,Upside,10.87,92.80,1.40,Missouri,1,12/12/03,21.81,JR,21.39,Slot,BALL HOG,Elite Separator,72,206,27.94,4.41,2,0.00%,0.00%,14.30%,35.46%,25.03%,30.24%,30.24%,19.72,3.29,8.40,9.00,0.99,0.00,4%,24%,4.70%,0.0%,13.00%,83.50%,108.93,105.61
45,4,2015,Breshad Perriman,Upside,10.83,92.60,1.38,UCF,6,9/10/93,32.07,JR,21.64,Wide,DEEP,N/A,74,212,27.22,4.30,1,0.00%,0.00%,12.29%,24.00%,34.13%,34.13%,29.01%,19.99,2.52,5.10,17.70,0.00,0.00,N/A,N/A,13.80%,0.0%,94.10%,5.90%,124.02,125.29
46,5,2021,Elijah Moore,Upside,10.83,92.50,1.38,Ole Miss,1,3/27/00,25.52,JR,21.10,Slot,RAT,Elite Earner,70,179,26.05,4.35,2,0.00%,0.00%,9.57%,36.51%,34.59%,35.55%,35.55%,19.44,3.85,5.90,11.00,0.72,4.54,5%,28%,2.30%,0.0%,8.80%,88.95%,99.98,91.93
47,3,2017,Corey Davis,Upside,10.79,92.30,1.35,Western Michigan,9,1/11/95,30.73,SR,22.31,Hybrid,SLOB,N/A,75,205,25.62,4.50,1,0.00%,37.16%,40.52%,38.29%,42.46%,42.46%,29.72%,18.65,3.80,8.90,12.20,0.89,3.97,N/A,N/A,10.10%,0.0%,71.70%,23.80%,99.98,103.06
48,6,2021,Terrace Marshall Jr.,Upside,10.78,92.10,1.35,LSU,1,6/9/00,25.32,JR,20.90,Hybrid,PROTO X,Elite Earner,75,205,25.97,4.4,2,0.00%,0.00%,6.46%,11.14%,23.41%,23.41%,23.41%,20.25,2.91,6.40,13.50,0.89,2.53,4%,22%,12.70%,0.0%,41.10%,58.70%,109.39,111.63
49,4,2019,N'Keal Harry,Upside,10.71,92.00,1.31,Arizona State,5,12/17/97,27.80,JR,21.37,Wide,SLOB,Poor Separator,76,225,27.39,4.6,1,0.00%,0.00%,21.18%,34.36%,35.97%,35.97%,34.17%,18.72,2.71,7.10,12.10,0.76,2.99,9%,19%,6.40%,0.0%,77.00%,21.70%,100.50,105.67
50,4,2026,Carnell Tate,Upside,10.69,91.80,1.30,Ohio State,2,1/19/05,20.70,JR,21.28,Wide,PROTO X,Poor Earner,75,191,23.87,4.5,1,0.00%,0.00%,7.55%,18.58%,25.76%,25.76%,25.76%,20.63,3.22,5.30,12.60,0.00,0.00,3%,12%,5.50%,0.0%,91.10%,8.70%,93.16,96.02
51,4,2017,Chris Godwin,Upside,10.66,91.70,1.28,Penn State,2,2/27/96,29.60,JR,21.18,Wide,BALL HOG,N/A,73,208,27.44,4.42,3,0.00%,0.00%,11.14%,39.49%,26.90%,33.20%,33.20%,19.52,2.56,7.40,15.50,0.80,2.64,N/A,N/A,7.80%,0.0%,98.40%,14.70%,108.99,107.88
52,5,2026,Ja'Kobi Lane,Upside,10.64,91.50,1.27,USC,2,8/5/04,21.16,JR,21.74,Wide,DEEP,Poor Separator,76,200,24.34,4.5,2,0.00%,0.00%,4.65%,13.83%,21.89%,21.89%,21.89%,21.09,3.68,10.30,17.20,0.00,0.00,7%,13%,8.50%,0.0%,84.40%,15.60%,97.55,102.57
53,5,2017,Curtis Samuel,Upside,10.62,91.30,1.25,Ohio State,2,8/11/96,29.15,JR,20.72,Slot,RAT,N/A,71,194,27.06,4.31,2,0.00%,0.00%,10.33%,5.38%,27.72%,27.72%,27.72%,20.08,2.76,11.10,9.20,0.66,2.11,N/A,N/A,7.50%,0.0%,7.30%,77.95%,112.44,106.75
54,8,2022,Christian Watson,Upside,10.56,91.20,1.22,NDSU,11,5/12/99,26.40,RS SR,22.98,Hybrid,DEEP,Elite Separator,76,208,25.32,4.36,2,0.00%,5.93%,25.15%,35.44%,35.35%,35.40%,21.24%,20.32,4.28,10.90,18.30,0.00,0.00,3%,30%,8.50%,0.0%,74.00%,23.05%,115.12,121.04
55,5,2025,Matthew Golden,Upside,10.53,91.00,1.21,Texas,1,8/1/03,22.17,JR,21.75,Hybrid,RAT,Poor Earner,71,191,26.64,4.29,1,0.00%,0.00%,16.91%,19.28%,22.13%,22.13%,22.13%,21.09,2.10,5.90,13.50,1.06,0.00,4%,14%,6.50%,0.0%,70.80%,29.20%,112.78,107.08
56,7,2021,Rondale Moore,Upside,10.53,90.80,1.20,Purdue,2,6/9/00,25.32,JR,20.90,Slot,RAT,Elite Separator,67,181,28.35,4.32,2,0.00%,0.00%,31.47%,10.41%,14.56%,23.01%,23.01%,18.24,2.96,7.20,8.30,0.46,2.16,3%,33%,0.00%,0.0%,19.15%,79.00%,103.94,90.46
57,3,2016,Michael Thomas,Upside,10.51,90.70,1.19,Ohio State,2,3/3/93,32.59,RS JR,23.17,Wide,PROTO X,N/A,75,212,26.50,4.48,2,0.00%,1.10%,0.00%,21.55%,31.83%,31.83%,31.83%,21.51,2.74,7.60,11.00,0.00,0.00,N/A,N/A,6.70%,0.0%,95.90%,4.15%,105.26,108.50
58,4,2023,Zay Flowers,Upside,10.49,90.50,1.18,Boston College,4,9/11/00,25.06,SR,22.64,Hybrid,RAT,Elite Separator,69,182,26.88,4.42,1,0.00%,14.90%,28.53%,33.64%,36.32%,36.32%,34.51%,20.00,2.27,7.40,10.40,0.94,2.45,2%,23%,10.30%,0.0%,70.35%,29.35%,95.37,86.75
59,6,2025,Jayden Higgins,Upside,10.48,90.40,1.17,Iowa State,3,12/15/02,22.80,SR,22.38,Hybrid,PROTO X,Elite Earner,76,214,26.05,4.47,2,0.00%,17.23%,18.93%,30.86%,35.65%,35.65%,33.87%,20.72,3.00,6.70,13.20,1.30,0.00,5%,24%,2.20%,0.0%,71.10%,28.90%,107.20,112.72
60,6,2026,Germie Bernard,Upside,10.45,90.20,1.16,Alabama,1,12/2/03,21.84,SR,22.42,Hybrid,PROTO Z,Poor Earner,73,202,26.65,4.5,1,0.00%,4.85%,8.94%,24.78%,27.31%,27.31%,27.31%,20.76,2.86,8.70,11.10,0.00,0.00,3%,18%,4.20%,0.0%,48.80%,51.20%,98.52,97.52
61,7,2025,Tre Harris,Upside,10.38,90.00,1.12,Ole Miss,1,2/28/02,23.59,RS SR,23.18,Wide,SLOB,Elite Earner,74,205,26.32,4.54,2,4.62%,18.53%,28.84%,28.77%,36.70%,36.70%,36.70%,20.51,5.15,7.70,13.20,1.29,0.00,7%,32%,7.70%,0.0%,85.50%,14.15%,96.51,97.49
62,7,2020,Michael Pittman Jr.,Upside,10.31,89.90,1.08,USC,5,10/5/97,28.00,SR,22.56,Wide,PROTO X,Elite Separator,76,223,27.14,4.45,2,0.00%,2.28%,10.73%,30.11%,32.07%,32.07%,30.47%,20.92,2.45,5.80,10.20,0.79,2.48,3%,20%,2.90%,0.0%,88.45%,11.40%,113.74,119.59
63,9,2022,Skyy Moore,Upside,10.26,89.70,1.05,Western Michigan,9,9/10/00,25.06,JR,21.64,Hybrid,RAT,Elite Separator,70,195,27.98,4.41,2,0.00%,0.00%,25.64%,22.57%,38.91%,38.91%,27.24%,18.98,3.46,8.40,10.70,1.04,3.73,4%,30%,3.10%,0.0%,38.30%,61.60%,103.11,95.84
64,6,2024,Ladd McConkey,Upside,10.21,89.50,1.02,Georgia,1,11/11/01,23.89,JR,22.47,Wide,PROTO Z,Elite Separator,72,186,25.23,4.39,2,0.00%,0.00%,11.83%,20.49%,20.88%,20.88%,20.88%,20.81,3.26,6.50,12.60,1.21,1.55,3%,20%,6.30%,0.0%,76.90%,22.95%,100.16,97.11
65,4,2016,Tyler Boyd,Upside,10.21,89.40,1.02,Pittsburgh,4,11/15/94,30.89,JR,21.46,Hybrid,BALL HOG,N/A,73,197,25.99,4.58,2,0.00%,0.00%,39.53%,52.01%,41.10%,46.55%,44.22%,18.81,3.86,6.50,14.00,0.00,0.00,N/A,N/A,5.10%,0.0%,49.90%,48.95%,89.54,88.63
66,5,2023,Jayden Reed,Upside,10.19,89.20,1.01,Michigan State,2,4/28/00,25.43,RS SR,23.01,Wide,PROTO Z,Elite Earner,71,187,26.08,4.45,2,25.71%,0.00%,24.34%,31.18%,22.08%,26.63%,26.63%,18.36,2.67,6.10,11.80,0.86,2.56,5%,19%,8.30%,0.0%,80.55%,19.05%,95.37,90.55
67,7,2026,Eric Singleton Jr.,Upside,10.07,89.10,0.94,Auburn,1,8/28/05,20.10,JR,20.68,Hybrid,RAT,Elite Earner,70,180,25.83,4.3,4,0.00%,0.00%,26.95%,26.46%,28.21%,28.21%,28.21%,18.02,2.65,6.50,3.60,0.00,0.00,5%,21%,6.70%,0.0%,69.20%,30.80%,105.30,97.87
68,6,2023,Marvin Mims,Upside,10.01,88.90,0.91,Oklahoma,3,3/19/02,23.54,JR,21.12,Hybrid,RAT,Elite Separator,71,183,25.52,4.38,2,0.00%,0.00%,17.60%,20.58%,32.80%,32.80%,31.16%,19.46,2.75,8.10,17.00,1.56,2.66,3%,21%,8.50%,0.0%,46.45%,52.80%,99.45,94.42
69,5,2019,Parris Campbell,Upside,10.01,88.70,0.91,Ohio State,2,7/16/97,28.22,RS SR,21.79,Slot,RAT,Elite Separator,72,205,27.80,4.31,2,0.00%,0.00%,4.35%,15.87%,20.84%,20.84%,20.84%,21.14,3.54,9.90,5.90,0.66,1.76,2%,35%,5.20%,0.0%,7.75%,91.10%,118.82,115.20
70,7,2023,Rashee Rice,Upside,10.01,88.60,0.91,SMU,6,4/20/00,25.45,SR,23.03,Hybrid,BALL HOG,Elite Earner,73,204,26.91,4.5,2,0.00%,10.03%,21.48%,18.34%,32.91%,32.91%,27.97%,20.39,3.05,6.20,11.20,0.94,2.85,7%,28%,8.60%,0.0%,44.35%,55.25%,99.50,98.48
71,8,2023,Josh Downs,Upside,9.98,88.40,0.89,North Carolina,4,8/12/01,24.14,JR,21.72,Slot,RAT,Elite Separator,69,179,26.43,4.47,3,0.00%,0.00%,3.29%,40.16%,30.24%,35.20%,33.44%,20.06,2.80,7.50,8.80,1.26,3.49,4%,21%,3.10%,0.0%,8.10%,89.05%,89.67,81.56
72,5,2015,Phillip Dorsett,Upside,9.95,88.20,0.87,Miami,4,1/5/93,32.75,SR,22.32,Wide,RAT,N/A,70,185,26.54,4.33,1,0.00%,5.28%,23.75%,14.64%,26.81%,26.81%,25.47%,19.67,2.33,10.00,11.10,0.00,0.00,N/A,N/A,7.60%,0.0%,90.70%,7.60%,105.26,97.83
73,10,2022,John Metchie III,Upside,9.95,88.10,0.87,Alabama,1,7/15/00,25.22,JR,21.80,Hybrid,BALL HOG,Elite Separator,72,194,26.31,4.36,2,0.00%,0.00%,0.52%,19.67%,22.51%,22.51%,22.51%,21.15,2.47,6.90,12.70,0.87,2.35,4%,23%,7.70%,0.0%,69.90%,29.70%,107.37,104.10
74,11,2022,Alec Pierce,Upside,9.94,87.90,0.87,Cincinnati,6,5/2/00,25.42,SR,22.00,Wide,DEEP,Poor Separator,75,213,26.62,4.33,2,0.00%,0.00%,25.55%,13.20%,26.18%,26.18%,22.25%,19.34,2.54,5.70,17.10,1.51,2.21,8%,15%,7.10%,0.0%,82.35%,16.25%,121.19,124.92
