player_name,birth_date,birthdate_source_url,wiki_birth_date,wiki_source_url
Bud Sasser,,,1992-05-29,https://en.wikipedia.org/wiki/Bud_Sasser
Caleb Lohner,,,2001-10-01,https://en.wikipedia.org/wiki/Caleb_Lohner
Calvin Johnson HOF,,,1963-09-10,https://en.wikipedia.org/wiki/Randy_Johnson
Cam Miller,,,2001-06-18,https://en.wikipedia.org/wiki/Cam_Miller
Cameron Artis-Payne,,,1990-06-23,https://en.wikipedia.org/wiki/Cameron_Artis-Payne
Carlos Henderson,,,1994-12-19,https://en.wikipedia.org/wiki/Carlos_Henderson
Casey Bramlet,,,1981-04-02,https://en.wikipedia.org/wiki/Casey_Bramlet
Casey Moore,,,1980-07-26,https://en.wikipedia.org/wiki/Casey_Moore
Cedric Humes,,,1983-08-07,https://en.wikipedia.org/wiki/Cedric_Humes
Chandler Harnish,,,1988-07-28,https://en.wikipedia.org/wiki/Chandler_Harnish
Chandler Williams,,,1975-11-18,"https://en.wikipedia.org/wiki/Jason_Williams_(basketball,_born_1975)"
Charles Davis,,,1984-12-01,https://en.wikipedia.org/wiki/Charles_Michael_Davis
Charles Scott,,,1739-04,https://en.wikipedia.org/wiki/Charles_Scott_(governor)
Chase Lyman,,,1982-09-04,https://en.wikipedia.org/wiki/Chase_Lyman
Chris Barnes,,,1967-12-29,https://en.wikipedia.org/wiki/Chris_Barnes_(musician)
Chris Weinke,,,1972-07-31,https://en.wikipedia.org/wiki/Chris_Weinke
Christian Hackenberg,,,1995-02-14,https://en.wikipedia.org/wiki/Christian_Hackenberg
Clayton Thorson,,,1995-06-15,https://en.wikipedia.org/wiki/Clayton_Thorson
Clyde Edwards-Helaire,,,1999-04-11,https://en.wikipedia.org/wiki/Clyde_Edwards-Helaire
Cole McDonald,,,1998-05-20,https://en.wikipedia.org/wiki/Cole_McDonald
Colt Brennan,,,1983-08-16,https://en.wikipedia.org/wiki/Colt_Brennan
Cornelius Ingram,,,1985-06-10,https://en.wikipedia.org/wiki/Cornelius_Ingram
Cornelius Johnson,,,2000-11-29,https://en.wikipedia.org/wiki/Cornelius_Johnson_(wide_receiver)
Cory Rodgers,,,1983-03-22,https://en.wikipedia.org/wiki/Cory_Rodgers
Craig Bragg,,,1982-03-15,https://en.wikipedia.org/wiki/Craig_Bragg
D.J. Shockley,,,1983-03-23,https://en.wikipedia.org/wiki/D._J._Shockley
Da'Ron Brown,,,1991-09-21,https://en.wikipedia.org/wiki/Da'Ron_Brown
Damien Martinez,,,2004-01-31,https://en.wikipedia.org/wiki/Damien_Martinez
Dan LeFevour,,,1987-03-19,https://en.wikipedia.org/wiki/Dan_LeFevour
Dan O'Leary,,,1856-10-22,https://en.wikipedia.org/wiki/Dan_O'Leary
Danny Coale,,,1988-06-27,https://en.wikipedia.org/wiki/Danny_Coale
Danny Etling,,,1994-07-22,https://en.wikipedia.org/wiki/Danny_Etling
Darrius Heyward-Bey,,,1987-02-26,https://en.wikipedia.org/wiki/Darrius_Heyward-Bey
Dauntae' Finger,,,,https://en.wikipedia.org/wiki/2002_St._Louis_Rams_season
David Greene,,,1921-02-22,https://en.wikipedia.org/wiki/David_Greene_(director)
Davon Drew,,,1985-12-09,https://en.wikipedia.org/wiki/Davon_Drew
DeAndrew Rubin,,,1978-10-08,https://en.wikipedia.org/wiki/DeAndrew_Rubin
DeAngelo Yancey,,,1994-11-18,https://en.wikipedia.org/wiki/DeAngelo_Yancey
DeVeren Johnson,,,,https://en.wikipedia.org/wiki/2002_NFL_draft
DeWayne McBride,,,2001-07-08,https://en.wikipedia.org/wiki/DeWayne_McBride
Demetrius Byrd,,,1986-06-30,https://en.wikipedia.org/wiki/Demetrius_Byrd
Dennis Morris,,,1964-01-19,https://en.wikipedia.org/wiki/Jim_Morris
Derek Abney,,,1980-12-19,https://en.wikipedia.org/wiki/Derek_Abney
Derek Kinder,,,1986-05-25,https://en.wikipedia.org/wiki/Derek_Kinder
Desmond Kitchings,,,1978-07-19,https://en.wikipedia.org/wiki/Desmond_Kitchings
Devin Fuller,,,1994-01-24,https://en.wikipedia.org/wiki/Devin_Fuller
Devin Leary,,,1999-09-10,https://en.wikipedia.org/wiki/Devin_Leary
Devin Lucien,,,1993-06-26,https://en.wikipedia.org/wiki/Devin_Lucien
Dillon Mitchell,,,2003-10-03,https://en.wikipedia.org/wiki/Dillon_Mitchell_(basketball)
Donnel Pumphrey,,,1994-12-06,https://en.wikipedia.org/wiki/Donnel_Pumphrey
Donovan Peoples-Jones,,,1999-02-19,https://en.wikipedia.org/wiki/Donovan_Peoples-Jones
Dorial Green-Beckham,,,1993-04-12,https://en.wikipedia.org/wiki/Dorial_Green-Beckham
Dorian Thompson-Robinson,,,1999-11-14,https://en.wikipedia.org/wiki/Dorian_Thompson-Robinson
Drake Dunsmore,,,1988-11-04,https://en.wikipedia.org/wiki/Drake_Dunsmore
Dylan Cantrell,,,1994-06-29,https://en.wikipedia.org/wiki/Dylan_Cantrell
Equanimeous St. Brown,,,1996-09-30,https://en.wikipedia.org/wiki/Equanimeous_St._Brown
Eric Crouch,,,1978-11-16,https://en.wikipedia.org/wiki/Eric_Crouch
Erik Ainge,,,1986-06-12,https://en.wikipedia.org/wiki/Erik_Ainge
Erik Jensen,,,1970-07-20,https://en.wikipedia.org/wiki/Erik_Jensen_(actor)
Ethan Howell,,,2014-07-21,https://en.wikipedia.org/wiki/The_Black_Album_(compilation_album)
Francis St. Paul,,,1979-04-25,https://en.wikipedia.org/wiki/Francis_St._Paul
Fred Gibson,,,1993-07-19,https://en.wikipedia.org/wiki/Fred_Again
Freddie Brown,,,1948-08-07,https://en.wikipedia.org/wiki/Fred_Brown_(basketball)
Freddie Milons,,,1980-06-27,https://en.wikipedia.org/wiki/Freddie_Milons
Fui Vakapuna,,,1984-03-09,https://en.wikipedia.org/wiki/Fui_Vakapuna
Garrett Grayson,,,1991-05-29,https://en.wikipedia.org/wiki/Garrett_Grayson
Gavin Bartholomew,,,2003-04-30,https://en.wikipedia.org/wiki/Gavin_Bartholomew
Gerrid Doaks,,,1998-06-09,https://en.wikipedia.org/wiki/Gerrid_Doaks
Giles Cole,,,1964-03-11,https://en.wikipedia.org/wiki/Emma_Chambers
Giovanni Carmazzi,,,1977-04-14,https://en.wikipedia.org/wiki/Giovanni_Carmazzi
Graham Mertz,,,2000-12-06,https://en.wikipedia.org/wiki/Graham_Mertz
Greg Childs,,,1990-03-10,https://en.wikipedia.org/wiki/Greg_Childs_(American_football)
Ihmir Smith-Marsette,,,1999-08-29,https://en.wikipedia.org/wiki/Ihmir_Smith-Marsette
J.R. Tolver,,,1980-01-13,https://en.wikipedia.org/wiki/J._R._Tolver
J.T. Wall,,,1979-09-12,https://en.wikipedia.org/wiki/J._T._Wall
JJ Arcega-Whiteside,,,1996-12-31,https://en.wikipedia.org/wiki/J._J._Arcega-Whiteside
JaJuan Seider,,,1977-04-16,https://en.wikipedia.org/wiki/Ja'Juan_Seider
Jacory Croskey-Merritt,,,2001-04-12,https://en.wikipedia.org/wiki/Jacory_Croskey-Merritt
Jake O'Connell,,,1985-11-06,https://en.wikipedia.org/wiki/Jake_O'Connell
Jalen Hurd,,,1996-01-23,https://en.wikipedia.org/wiki/Jalen_Hurd
James Kilian,,,1980-10-24,https://en.wikipedia.org/wiki/James_Kilian
James Morgan,,,1981-11-24,https://en.wikipedia.org/wiki/Morgan_James
James O'Shaughnessy,,,1960-05-24,https://en.wikipedia.org/wiki/James_O'Shaughnessy_(investor)
Jarrett Ferguson,,,1983-12-10,https://en.wikipedia.org/wiki/D'Brickashaw_Ferguson
Jason Gavadza,,,1949-09-12,https://en.wikipedia.org/wiki/Michael_Power_-_St._Joseph_High_School
Jawan Jamison,,,1991-11-23,https://en.wikipedia.org/wiki/Jawan_Jamison
Jawhar Jordan,,,1999-08-18,https://en.wikipedia.org/wiki/Jawhar_Jordan
Jaxon Smith-Njigba,,,2002-02-14,https://en.wikipedia.org/wiki/Jaxon_Smith-Njigba
Jay Finley,,,1988-05-15,https://en.wikipedia.org/wiki/Jay_Finley
Jeff Rowe,,,1986-07-09,https://en.wikipedia.org/wiki/Jeff_Rowe_(filmmaker)
Jeff Smoker,,,1981-06-13,https://en.wikipedia.org/wiki/Jeff_Smoker
Jeremy Gallon,,,1990-02-09,https://en.wikipedia.org/wiki/Jeremy_Gallon
Jeris McIntyre,,,1981-07-04,https://en.wikipedia.org/wiki/Jeris_McIntyre
Joe Williams,,,1954-06-26,https://en.wikipedia.org/wiki/Eddie_Joe_Williams
Joel Filani,,,1983-12-08,https://en.wikipedia.org/wiki/Joel_Filani
Joey Jamison,,,1986-06-10,https://en.wikipedia.org/wiki/Joey_Zimmerman
John Capel,,,1978-10-27,https://en.wikipedia.org/wiki/John_Capel_Jr.
John David Booty,,,1985-01-03,https://en.wikipedia.org/wiki/John_David_Booty
Jon Olinger,,,,https://en.wikipedia.org/wiki/Cincinnati_Bearcats_football_statistical_leaders
Jonathan Crompton,,,1987-07-25,https://en.wikipedia.org/wiki/Jonathan_Crompton
Jonathan Orr,,,1983-03-20,https://en.wikipedia.org/wiki/Jonathan_Orr
Jordan James,,,1936-07-31,https://en.wikipedia.org/wiki/James_R._Jordan_Sr.
Jordan Lasley,,,1996-11-13,https://en.wikipedia.org/wiki/Jordan_Lasley
Jordan Travis,,,2000-05-02,https://en.wikipedia.org/wiki/Jordan_Travis
Josh Booty,,,1975-04-29,https://en.wikipedia.org/wiki/Josh_Booty
Josh Heupel,,,1978-03-22,https://en.wikipedia.org/wiki/Josh_Heupel
Junior Bergen,,,2002-10-23,https://en.wikipedia.org/wiki/Junior_Bergen
Justise Hairston,,,1983-06-27,https://en.wikipedia.org/wiki/Justise_Hairston
Kaden Prather,,,2002-09-06,https://en.wikipedia.org/wiki/Kaden_Prather
Kareem Kelly,,,1981-04-01,https://en.wikipedia.org/wiki/Kareem_Kelly
KeAndre Lambert-Smith,,,2001-10-16,https://en.wikipedia.org/wiki/KeAndre_Lambert-Smith
Keith Marshall,,,1956-06-05,https://en.wikipedia.org/wiki/Keith_Marshall_(musician)
Keith Wenning,,,1991-02-14,https://en.wikipedia.org/wiki/Keith_Wenning
Kelvin Taylor,,,1993-09-28,https://en.wikipedia.org/wiki/Kelvin_Taylor
Kenny Bell,,,1992-02-25,https://en.wikipedia.org/wiki/Kenny_Bell
Kenny Hilliard,,,1991-10-03,https://en.wikipedia.org/wiki/Kenny_Hilliard
Kenny Irons,,,1983-09-15,https://en.wikipedia.org/wiki/Kenny_Irons
Kenny Lawler,,,1994-06-25,https://en.wikipedia.org/wiki/Kenny_Lawler
Kevin McMahan,,,1983-03-02,https://en.wikipedia.org/wiki/Kevin_McMahan
Kevin O'Connell,,,1985-05-25,https://en.wikipedia.org/wiki/Kevin_O'Connell_(American_football)
Khalfani Muhammad,,,1994-09-26,https://en.wikipedia.org/wiki/Khalfani_Muhammad
Kolby Listenbee,,,1994-01-25,https://en.wikipedia.org/wiki/Kolby_Listenbee
Kurtis Rourke,,,2000-10-25,https://en.wikipedia.org/wiki/Kurtis_Rourke
Kyle McCord,,,2002-09-19,https://en.wikipedia.org/wiki/Kyle_McCord
LaDainian Tomlinson HOF,,,1979-06-23,https://en.wikipedia.org/wiki/LaDainian_Tomlinson
LaRod Stephens-Howling,,,1987-04-26,https://en.wikipedia.org/wiki/LaRod_Stephens-Howling
Lache Seastrunk,,,1991-07-29,https://en.wikipedia.org/wiki/Lache_Seastrunk
Larry Brackins,,,1982-11-05,https://en.wikipedia.org/wiki/Larry_Brackins
Leroy Fields,,,1935-10-02,https://en.wikipedia.org/wiki/Claude_Leroy_(field_hockey)
Luke Lachey,,,2001-06-29,https://en.wikipedia.org/wiki/Luke_Lachey
Luke Staley,,,1980-09-16,https://en.wikipedia.org/wiki/Luke_Staley
Manuel White,,,1982-07-02,https://en.wikipedia.org/wiki/Manuel_White
Marcus Lattimore,,,1991-10-29,https://en.wikipedia.org/wiki/Marcus_Lattimore
Marcus Monk,,,1986-04-26,https://en.wikipedia.org/wiki/Marcus_Monk
Mario Urrutia,,,1986-01-18,https://en.wikipedia.org/wiki/Mario_Urrutia
Marquez Valdes-Scantling,,,1994-10-10,https://en.wikipedia.org/wiki/Marquez_Valdes-Scantling
Marquis Walker,,,1972-06-06,https://en.wikipedia.org/wiki/Marquis_Walker
Matt Corral,,,1999-01-31,https://en.wikipedia.org/wiki/Matt_Corral
Matt Sherry,,,1984-12-11,https://en.wikipedia.org/wiki/Matt_Sherry
Maurice Clarett,,,1983-10-29,https://en.wikipedia.org/wiki/Maurice_Clarett
Maurice Jones-Drew,,,1985-03-23,https://en.wikipedia.org/wiki/Maurice_Jones-Drew
Max Duggan,,,2001-03-12,https://en.wikipedia.org/wiki/Max_Duggan
Michael Allan,,,1968-01-27,https://en.wikipedia.org/wiki/Mike_Patton
Michael Coleman,,,1997-03-30,https://en.wikipedia.org/wiki/Daisy_Coleman
Michael Pratt,,,1979-06-21,https://en.wikipedia.org/wiki/Chris_Pratt
Mike Merritt,,,1926-05-03,https://en.wikipedia.org/wiki/Jymie_Merritt
Mike Sims-Walker,,,1984-11-21,https://en.wikipedia.org/wiki/Mike_Sims-Walker
Mike Teel,,,1986-01-06,https://en.wikipedia.org/wiki/Mike_Teel
Mike Weber,,,1997-08-25,https://en.wikipedia.org/wiki/Mike_Weber_(American_football)
Moritz Boehringer,,,1993-10-16,https://en.wikipedia.org/wiki/Moritz_Böhringer
Muneer Moore,,,,https://en.wikipedia.org/wiki/2000_Denver_Broncos_season
Nate Ilaoa,,,1983-04-04,https://en.wikipedia.org/wiki/Nate_Ilaoa
Nate Stanley,,,1997-08-26,https://en.wikipedia.org/wiki/Nate_Stanley
Nathan Enderle,,,1988-01-12,https://en.wikipedia.org/wiki/Nathan_Enderle
Nick O'Leary,,,1992-08-31,https://en.wikipedia.org/wiki/Nick_O'Leary
Omar Jacobs,,,1984-03-03,https://en.wikipedia.org/wiki/Omar_Jacobs
Onomo Ojo,,,,https://en.wikipedia.org/wiki/2001_New_Orleans_Saints_season
Oren O'Neal,,,1983-09-08,https://en.wikipedia.org/wiki/Oren_O'Neal
P.J. Daniels,,,1982-12-12,https://en.wikipedia.org/wiki/P._J._Daniels
Phil Mafah,,,2002-10-24,https://en.wikipedia.org/wiki/Phil_Mafah
Reagan Maui'a,,,1984-07-06,https://en.wikipedia.org/wiki/Reagan_Maui'a
Rhett Bomar,,,1985-06-02,https://en.wikipedia.org/wiki/Rhett_Bomar
Richmond Flowers III,,,1947-06-13,https://en.wikipedia.org/wiki/Richmond_Flowers_Jr.
Rick Razzano,,,1955-11-15,https://en.wikipedia.org/wiki/Rick_Razzano_(linebacker)
Ricky Stanzi,,,1987-09-03,https://en.wikipedia.org/wiki/Ricky_Stanzi
Rob Blanchflower,,,1990-06-08,https://en.wikipedia.org/wiki/Rob_Blanchflower
Rodney Wright,,,1999-12-28,https://en.wikipedia.org/wiki/Big30
Ronald Johnson,,,1955-04-08,https://en.wikipedia.org/wiki/Ron_Johnson
Rory Anderson,,,1992-10-02,https://en.wikipedia.org/wiki/Rory_Anderson
Ryan D'Imperio,,,1987-08-15,https://en.wikipedia.org/wiki/Ryan_D'Imperio
Ryan Hoag,,,1979-11-23,https://en.wikipedia.org/wiki/Ryan_Hoag
Ryan Swope,,,1990-09-20,https://en.wikipedia.org/wiki/Ryan_Swope
Sam Rogers,,,1999-05-17,https://en.wikipedia.org/wiki/Sam_Rogers_(soccer)
Scotty McKnight,,,1988-02-11,https://en.wikipedia.org/wiki/Scotty_McKnight
Sean Canfield,,,1986-11-12,https://en.wikipedia.org/wiki/Sean_Canfield
Seth Burford,,,1979-03-11,https://en.wikipedia.org/wiki/Seth_Burford
Shane Bannon,,,1989-04-20,https://en.wikipedia.org/wiki/Shane_Bannon
Shaquelle Evans,,,1991-03-07,https://en.wikipedia.org/wiki/Shaq_Evans
Shedeur Sanders,,,2002-02-07,https://en.wikipedia.org/wiki/Shedeur_Sanders
Sherrod Gideon,,,1977-02-21,https://en.wikipedia.org/wiki/Sherrod_Gideon
Stefan Lefors,,,1981-06-07,https://en.wikipedia.org/wiki/Stefan_LeFors
Stetson Bennett,,,1997-10-28,https://en.wikipedia.org/wiki/Stetson_Bennett
Steve Bellisari,,,1980-04-21,https://en.wikipedia.org/wiki/Steve_Bellisari
Tajh Boyd,,,1990-09-25,https://en.wikipedia.org/wiki/Tajh_Boyd
Tanner Lee,,,1995-02-14,https://en.wikipedia.org/wiki/Tanner_Lee
Ted Bolser,,,1990-10-22,https://en.wikipedia.org/wiki/Ted_Bolser
Tejhaun Palmer,,,2000-05-19,https://en.wikipedia.org/wiki/Tejhaun_Palmer
Terry Charles,,,1930-05-26,https://en.wikipedia.org/wiki/Charles_E._Terry
Tevin Reese,,,1991-01-02,https://en.wikipedia.org/wiki/Tevin_Reese
Tevita Ofahengaue,,,1974-07-09,https://en.wikipedia.org/wiki/Tevita_Ofahengaue
Thomas Brown,,,1972-12-27,https://en.wikipedia.org/wiki/Thomas_Wilson_Brown
Thomas Hamner,,,1976-12-25,https://en.wikipedia.org/wiki/Thomas_Hamner
Tim Toone,,,1985-02-14,https://en.wikipedia.org/wiki/Tim_Toone
Tommy Mellott,,,2001-03-30,https://en.wikipedia.org/wiki/Tommy_Mellott
Tony Jackson,,,1940-07-16,https://en.wikipedia.org/wiki/Tony_Jackson_(singer)
Tracey Wistrom,,,1976-07-03,https://en.wikipedia.org/wiki/Grant_Wistrom
Travis Anglin,,,1959-05-04,https://en.wikipedia.org/wiki/Randy_Travis
Tre Nixon,,,1998-01-26,https://en.wikipedia.org/wiki/Tre_Nixon
Trey Millard,,,1991-07-25,https://en.wikipedia.org/wiki/Trey_Millard
Tyler Ecker,,,,https://en.wikipedia.org/wiki/Michigan–Ohio_State_football_rivalry
Tyler Gaffney,,,1991-04-20,https://en.wikipedia.org/wiki/Tyler_Gaffney
Tyler Wilson,,,1989-08-16,https://en.wikipedia.org/wiki/Tyler_Wilson_(American_football)
Tyrion Davis-Price,,,2000-10-23,https://en.wikipedia.org/wiki/Tyrion_Davis-Price
Wes Pate,,,1923-12-05,https://en.wikipedia.org/wiki/Johnny_Pate
Will Howard,,,2001-09-24,https://en.wikipedia.org/wiki/Will_Howard_(American_football)
Zac Brooks,,,1993-02-01,https://en.wikipedia.org/wiki/Zac_Brooks
Zac Dysert,,,1990-02-08,https://en.wikipedia.org/wiki/Zac_Dysert
Zac Robinson,,,1986-09-29,https://en.wikipedia.org/wiki/Zac_Robinson
