Rank,Player Name,RB Grade,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,ELU,YCO/A,Break %,DOM++,RDOM+,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break%,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,,,Conferences,multiplier,Season Starts,Draft
11,Donnel Pumphrey,7.14,San Diego State,7,12/6/94,30.41,SR,22.41,68,176,4.48,4,0.00%,17.85%,39.37%,39.76%,41.52%,41.52%,26.99%,20.93%,11.67%,16.30%,10.59%,18.75,87.38,26.76,0.21,6.80,69.30,3.39,47.00,7.0,9.0,9.0,1.0,4.0,6.0,1.0,1.0,4.0,0.0,,2869,,,,,,,,,,2287,,,,752,2166,,,,,,,,,234,3358,22,,,1859,2809,20,,275,53,6.8,61.3,2.99,43.4,160,2319,23,,,1673,3266,17,,309,81,5.4,69.3,2.69,44.80,416,1988,28,,,2132,3680,17,,350,74,6.10,68.40,3.39,47.00,236,2023,27,,,,11,the rest,0.55,,
12,Samaje Perine,7.12,Oklahoma,3,9/16/95,29.63,JR,21.63,71,233,4.66,4,0.00%,0.00%,30.14%,21.15%,16.21%,23.18%,20.86%,2.60%,2.56%,2.58%,2.32%,18.97,98.82,32.49,0.16,6.50,100.40,3.61,47.30,4.0,2.0,8.0,5.0,1.0,5.0,4.0,2.0,4.0,0.8,,2098,,,,,,,,,,4374,,,,,2911,,,,,,,,,,2588,,,,1713,3395,21,,262,74,6.5,100.4,3.61,47.3,108,2646,15,,,1354,2887,16,,226,50,6.0,79.8,3.55,43.10,104,4006,14,,,1063,3078,12,,196,31,5.40,55.40,3.26,36.40,106,4134,10,,,,12,DII,0.5,,
13,Marlon Mack,7.05,South Florida,6,3/7/96,29.16,JR,21.15,71,213,4.5,4,0.00%,0.00%,33.07%,26.09%,21.25%,27.16%,19.01%,4.38%,7.72%,7.72%,5.40%,18.50,103.89,29.70,0.24,6.80,93.40,3.85,52.10,3.0,6.0,9.0,7.0,6.0,6.0,3.0,4.0,4.0,0.0,,1776,,,,,,,,,,2589,,,,,1064,,,,,,,,,,2002,,,,1049,1295,9,,201,25,5.2,40.4,3.09,44.1,160,2361,21,,,1387,3205,8,,208,48,6.7,74.9,3.29,42.30,111,2536,16,,,1186,3709,15,,174,42,6.80,93.40,3.85,52.10,227,2941,28,,,,,,,,
14,Elijah McGuire,6.64,ULL,8,6/1/94,30.92,SR,22.92,70,214,4.53,6,0.00%,23.02%,31.94%,29.68%,29.46%,30.70%,19.95%,11.56%,10.31%,10.94%,7.11%,19.26,101.64,30.70,0.16,7.50,127.50,4.20,50.40,3.0,7.0,7.0,6.0,2.0,7.0,6.0,6.0,2.0,0.0,,2515,,,,,,,,,,3399,,,,863,2659,,,,,,,,,384,2759,22,,,1248,2925,14,,167,49,7.5,127.5,4.20,50.4,483,2494,47,,,1067,2074,13,,211,33,5.1,34.0,2.12,33.30,288,2491,32,,,1127,2326,7,,232,38,4.90,55.70,3.09,24.40,238,2308,29,,,,,,,,
15,Elijah Hood,6.63,North Carolina,4,4/22/96,29.03,JR,21.03,70,232,4.57,7,0.00%,0.00%,4.69%,22.58%,17.52%,20.05%,18.04%,1.96%,3.73%,3.73%,3.35%,19.37,106.38,33.28,0.32,6.70,117.00,4.10,51.50,3.0,3.0,7.0,8.0,9.0,5.0,5.0,5.0,1.0,0.0,,2326,,,,,,,,,,3501,,,,,1928,,,,,,,,,,3606,,,,264,1973,4,,67,15,3.9,49.6,2.28,22.7,-2,3614,2,,,1467,3142,17,,219,49,6.7,95.3,4.10,45.80,72,3675,13,,,858,1896,8,,145,47,5.90,117.00,3.75,51.50,142,3811,25,,,,,,,,
16,Wayne Gallman,5.28,Clemson,4,10/1/94,30.59,JR,22.59,72,215,4.6,4,0.00%,0.00%,16.52%,22.31%,16.86%,19.59%,17.63%,4.55%,2.85%,3.70%,3.33%,19.93,96.04,29.16,0.24,5.40,82.00,3.32,35.20,3.0,3.0,5.0,3.0,6.0,1.0,2.0,1.0,4.0,0.0,,2484,,,,,,,,,,4181,,,,,2270,,,,,,,,,,4330,,,,769,1904,4,,161,30,4.8,47.7,2.52,35.2,108,3404,24,,,1523,3345,13,,282,67,5.4,82.0,3.32,32.90,199,4373,22,,,1131,2546,17,,232,56,4.90,72.10,2.98,28.00,143,5009,20,,,,,,,,
17,Chris Carson,5.02,Okahoma State,3,9/16/94,30.63,SR,22.63,70,218,4.58,7,0.00%,0.00%,0.00%,11.11%,15.31%,15.31%,13.78%,3.70%,4.39%,4.39%,3.95%,21.99,99.09,31.28,0.37,6.70,145.80,4.00,46.20,1.0,4.0,2.0,5.0,10.0,5.0,7.0,5.0,1.0,0.0,,2799,,,,,,,,,,4312,,,,,2235,,,,,,,,,,3599,,,,0,3395,0,,0,0,0.0,0.0,0.00,0.0,0,3149,0,,,523,1649,4,,130,25,4.0,46.1,2.34,16.30,170,4591,17,,,554,1539,9,,83,31,6.70,145.80,4.00,46.20,128,2915,13,,,,,,,,
18,Jamaal Williams,4.74,BYU,6,4/3/95,30.08,SR,22.08,72,211,4.53,4,20.95%,21.16%,9.39%,0.00%,27.85%,27.85%,19.50%,0.00%,2.88%,2.88%,2.01%,17.42,100.21,28.61,0.24,5.80,77.70,3.31,43.30,3.0,2.0,10.0,5.0,5.0,2.0,2.0,1.0,4.0,0.0,775,1989,,,,,,,,,315,3214,27,,,1233,3475,,,,,,,,,125,2942,18,,,515,2363,4,,110,12,4.7,25.3,2.49,22.3,47,3623,8,8,,0,1668,0,,0,0,0.0,0.0,0.00,0.00,0,3854,0,,,1371,2615,12,,234,55,5.80,77.70,3.31,43.30,74,2573,6,7,,,,,,,
19,Joe Williams,4.63,Utah,5,9/4/93,31.66,SR,23.66,71,210,4.41,4,0.00%,0.00%,0.00%,11.95%,26.72%,26.72%,22.71%,3.59%,3.80%,3.80%,3.23%,23.02,111.04,29.29,0.15,6.60,54.60,3.42,48.20,4.0,3.0,0.0,9.0,1.0,5.0,0.0,1.0,4.0,0.0,,1605,,,,,,,,,,2288,,,,,1924,,,,,,,,,,2835,,,,0,2475,0,,0,0,0.0,0.0,0.00,0.0,0,2570,0,,,480,2379,3,,105,12,4.6,35.8,2.77,16.50,84,2340,11,,,1389,2782,10,,210,31,6.60,54.60,3.42,48.20,107,2817,9,,,,,,,,
20,Brian Hill,4.51,Wyoming,7,11/5/95,29.49,JR,21.49,71,219,4.54,5,0.00%,0.00%,21.86%,41.43%,31.80%,36.61%,23.80%,6.76%,2.09%,4.43%,2.88%,18.84,103.10,30.54,0.14,5.80,55.10,3.19,50.90,5.0,3.0,9.0,6.0,1.0,2.0,0.0,0.0,3.0,0.0,,1492,,,,,,,,,,3180,,,,,2285,,,,,,,,,,3389,,,,794,1838,7,,143,19,5.6,34.5,2.45,50.9,205,2733,13,,,1641,2081,5,,281,46,5.8,55.1,3.19,45.30,152,2247,20,,,1864,2865,22,,349,49,5.30,40.70,2.91,42.80,67,3207,8,,,,,,,,
21,T.J. Logan,4.37,North Caroina,4,9/3/94,30.67,SR,22.66,69,196,4.37,5,0.00%,11.87%,0.00%,8.07%,15.59%,15.59%,14.04%,4.11%,6.82%,6.82%,6.14%,22.02,107.49,28.94,0.22,6.00,66.90,3.32,49.10,1.0,6.0,1.0,8.0,4.0,3.0,1.0,1.0,3.0,0.0,,2326,,,,,,,,,,3501,,,,533,1928,,,,,,,,,124,3606,10,,,0,1973,3,,119,11,4.9,29.2,2.21,14.5,0,3614,25,,,399,3142,5,,66,14,6.0,60.3,3.32,49.10,151,3675,11,,,630,1896,7,,119,26,5.30,66.90,2.93,41.10,260,3811,30,,,,,,,,
22,Corey Clement,3.90,Wisconsin,2,11/2/94,30.50,SR,22.50,70,221,4.68,0,0.00%,8.89%,16.30%,5.00%,27.72%,27.72%,27.72%,0.67%,5.38%,5.38%,5.38%,19.84,92.14,31.71,0.15,6.50,55.40,2.77,45.70,7.0,6.0,5.0,2.0,1.0,5.0,0.0,0.0,0.0,0.3,,3309,,,,,,,,,,2197,,,,547,3689,,,,,,,,,9,2562,9,,,951,4482,9,,147,20,6.5,42.1,2.71,45.7,119,2082,14,,,226,1954,5,,48,10,4.7,55.4,2.77,35.00,20,2968,2,,,1348,2843,15,,315,47,4.30,41.50,2.76,29.40,135,2507,11,,,,,,,,
23,Devante Mays,3.86,Utah State,7,5/26/94,30.94,SR,22.94,71,230,4.39,7,0.00%,0.00%,0.00%,20.55%,5.91%,13.23%,8.60%,0.34%,0.32%,0.33%,0.21%,21.28,123.85,32.07,0.24,7.00,122.30,5.16,53.30,0.0,0.0,2.0,10.0,6.0,6.0,6.0,9.0,1.0,0.0,,2653,,,,,,,,,,3445,,,,,2493,,,,,,,,,,3268,,,,0,2521,0,,0,0,0.0,0.0,0.00,0.0,0,2782,0,,,981,2146,9,,165,24,5.9,41.2,2.85,40.90,9,2672,1,,,259,2046,3,,37,9,7.00,122.30,5.16,53.30,8,2469,1,,,,,,,,
24,Matt Dayes,3.84,NC State,4,9/3/94,30.67,SR,22.66,68,207,4.66,7,0.00%,8.78%,16.81%,19.40%,26.36%,26.36%,23.73%,6.31%,7.63%,7.63%,6.86%,20.01,87.79,31.47,0.17,6.50,48.90,2.97,46.70,5.0,7.0,5.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,,1444,,,,,,,,,,4031,,,,252,1952,,,,,,,,,173,2890,10,,,572,2659,8,,105,6,5.4,14.8,2.01,41.4,321,2652,31,,,868,2627,12,,134,18,6.5,48.9,2.97,46.70,173,2740,24,,,1169,2030,10,,248,42,4.70,46.10,2.63,29.90,258,3383,32,,,,,,,,
25,De'Angelo Henderson,3.65,Coastal Carolina,8,11/24/92,32.44,SR,24.44,67,208,4.48,6,0.00%,8.60%,27.07%,30.99%,27.35%,29.17%,18.96%,12.66%,11.88%,12.27%,7.97%,21.78,103.27,32.57,0.00,0.00,0.00,0.00,0.00,3.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,,2828,,,,,,,,,,3101,,,,599,4036,,,82,,,,,,39,3380,4,,,1534,3265,0,,234,0,0.0,0.0,0.00,0.0,289,3470,33,,,1346,2460,0,,222,0,0.0,0.0,0.00,0.00,403,3183,40,,,1156,3321,0,,183,0,0.00,0.00,0.00,0.00,190,1600,20,,,,,,,,
26,Khalfani Muhammad,2.83,California,5,9/26/94,30.60,SR,22.60,67,170,4.34,7,0.00%,11.61%,4.63%,11.21%,15.57%,15.57%,13.24%,3.86%,3.07%,3.46%,2.94%,21.96,95.83,26.62,0.14,6.70,100.30,3.60,51.20,1.0,3.0,2.0,3.0,1.0,5.0,4.0,2.0,1.0,0.0,,2190,,,,,,,,,,2499,,,,445,1466,,,,,,,,,187,3977,14,,,212,1790,4,,45,4,4.7,23.4,3.04,34.4,63,4152,7,,,582,1987,1,,87,20,6.7,100.3,3.60,51.20,189,4892,17,,,827,1852,2,,152,22,5.40,46.90,2.93,31.40,132,4306,17,,,,,,,,
27,De'Veon Smith,1.94,Michigan,2,11/8/94,30.48,SR,22.48,71,223,4.85,0,0.00%,2.41%,13.64%,17.76%,16.51%,17.13%,17.13%,5.15%,2.39%,3.77%,3.77%,20.82,80.61,31.10,0.23,4.80,74.90,3.03,34.90,3.0,4.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,2389,,,,,,,,,,2591,,,,117,1634,,,,,,,,,0,3221,,,,519,1954,6,,108,21,4.8,56.1,2.96,32.6,26,2042,3,,,755,2057,5,,180,44,4.2,74.9,2.87,30.70,159,3090,19,,,846,2768,10,,181,42,4.70,73.90,3.03,34.90,66,2756,16,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
