Rank,Player Name,RB Grade,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,ELU,YCO/A,Break %,DOM++,RDOM+,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,,,Conferences,multiplier,Season Starts,Draft
11,Alexander Mattison,6.63,Boise State,7,6/19/98,26.87,JR,20.86,71,221,4.6,3,0.00%,0.00%,6.22%,24.23%,26.58%,26.58%,19.94%,7.86%,4.56%,6.21%,4.66%,19.21,98.72,30.82,0.23,5.10,65.10,3.23,35.50,3.0,5.0,7.0,4.0,5.0,0.0,1.0,1.0,6.0,1.0,0,2994,0,39,0,0,0.00,0.00,0.00,0.00,0,3926,0,,27,0,2488,0,36,0,0,0.00,0.00,0.00,0.00,0,4032,0,,24,328,2268,4,29,67,12,4.90,56.60,2.91,25.60,54,3878,5,,28,1089,2009,12,25,213,40,5.10,61.60,3.23,35.50,289,3677,28,,26,1415,2178,17,24,302,68,4.70,65.10,2.85,19.00,173,3796,27,,31,,11,the rest,0.55,,
12,Travis Homer,6.57,Miami,4,8/7/98,26.74,JR,20.73,70,201,4.48,6,0.00%,0.00%,0.74%,22.68%,25.06%,25.06%,22.56%,6.95%,8.55%,8.55%,7.70%,19.08,99.80,28.84,0.18,6.00,87.40,4.06,49.20,4.0,8.0,8.0,5.0,2.0,3.0,3.0,5.0,2.0,0.0,0,2345,0,19,0,0,0.00,0.00,0.00,0.00,0,3249,0,,26,0,1548,0,20,0,0,0.00,0.00,0.00,0.00,0,3602,0,,18,41,1973,0,24,7,1,5.90,55.10,3.86,41.50,0,3564,0,,27,970,2090,8,19,163,31,6.00,87.40,4.06,47.90,219,3153,18,,26,983,2489,4,25,164,29,6.00,77.40,4.05,49.20,186,2175,19,,19,,12,DII,0.5,,
13,Benny Snell Jr.,6.52,Kentucky,1,2/27/98,27.18,JR,21.17,70,224,4.66,4,0.00%,0.00%,20.67%,30.89%,33.17%,33.17%,33.17%,2.90%,5.00%,5.00%,5.00%,18.52,95.00,32.14,0.16,5.10,54.00,3.36,34.20,9.0,5.0,9.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0,1840,0,21,0,0,0.00,0.00,0.00,0.00,0,2774,0,,14,0,1952,0,22,0,0,0.00,0.00,0.00,0.00,0,2512,0,,10,1090,3044,13,30,186,44,5.90,94.50,4.04,39.00,39,2419,2,,17,1334,2102,19,27,264,44,5.10,54.00,3.36,34.20,71,2446,10,,10,1451,2592,16,27,288,46,5.00,52.90,3.23,29.50,105,2099,17,,14,,,,,,
14,Jordan Scarlett,6.39,Florida,1,2/9/96,29.23,JR,23.22,71,208,4.47,5,0.00%,3.89%,20.39%,0.00%,15.27%,17.83%,17.83%,0.00%,2.74%,2.74%,2.74%,20.58,104.20,29.01,0.32,5.90,125.50,3.99,37.10,3.0,3.0,3.0,7.0,9.0,2.0,6.0,4.0,3.0,0.0,0,2252,0,22,0,0,0.00,0.00,0.00,0.00,0,2159,0,,18,181,1777,1,19,34,10,5.30,109.20,3.82,52.50,1,2899,1,,20,889,1667,6,11,179,50,5.00,104.50,3.75,26.00,23,2805,4,,18,0,1720,0,15,0,0,0.00,0.00,0.00,0.00,0,1975,0,,10,771,2771,5,23,131,42,5.90,125.50,3.99,37.10,76,2776,9,,28,,,,,,
15,Justice Hill,6.15,Oklahoma State,3,11/14/97,27.47,JR,21.46,70,198,4.4,4,0.00%,0.00%,18.41%,22.44%,15.35%,18.90%,17.01%,3.81%,1.71%,2.76%,2.49%,18.81,105.65,28.41,0.22,5.90,64.20,3.19,44.90,3.0,2.0,9.0,8.0,4.0,2.0,1.0,0.0,4.0,0.0,0,1776,0,18,0,0,0.00,0.00,0.00,0.00,0,3149,0,,19,0,1649,0,25,0,0,0.00,0.00,0.00,0.00,0,4591,0,,35,1138,2221,6,32,205,33,5.60,53.60,3.31,43.20,46,4211,5,,29,1467,2337,15,34,268,50,5.50,59.80,3.19,44.90,193,5059,31,,37,929,2474,9,30,158,34,5.90,64.20,2.68,43.90,69,4028,13,,33,,,,,,
16,Qadree Ollison,6.03,Pitt,4,9/8/96,28.65,SR,22.64,72,228,4.58,5,0.00%,24.53%,2.84%,13.47%,24.71%,24.71%,22.24%,7.43%,3.32%,5.38%,4.84%,18.99,103.63,30.92,0.18,6.30,68.80,3.92,51.60,4.0,5.0,8.0,7.0,2.0,4.0,1.0,4.0,3.0,0.0,0,3243,0,35,0,0,0.00,0.00,0.00,0.00,0,2417,0,,17,1127,2430,11,19,212,19,5.30,26.40,2.84,42.70,77,2478,14,,21,127,2926,2,36,33,4,3.80,29.00,2.03,41.70,38,2882,2,,28,398,1782,5,21,90,15,4.40,56.20,3.02,27.10,194,2612,23,,12,1213,3191,11,30,194,34,6.30,68.80,3.92,51.60,66,1985,11,,12,,,,,,
17,Darwin Thompson,5.58,Utah State,7,2/12/97,28.22,JR,22.21,68,201,4.55,6,0.00%,0.00%,0.00%,0.00%,21.82%,21.82%,16.37%,0.00%,9.59%,9.59%,7.20%,21.56,93.80,30.56,0.31,6.90,173.70,5.07,50.50,2.0,7.0,2.0,2.0,8.0,6.0,8.0,8.0,2.0,0.0,0,2521,0,22,0,0,0.00,0.00,0.00,0.00,0,2782,0,,20,0,2146,0,22,0,0,0.00,0.00,0.00,0.00,0,2672,0,,21,0,2046,0,25,0,0,0.00,0.00,0.00,0.00,0,2469,0,,10,0,2228,0,24,0,0,0.00,0.00,0.00,0.00,0,2938,0,,17,1044,2641,14,37,151,47,6.90,173.70,5.07,50.50,367,3825,24,,32,,,,,,
18,Rodney Anderson,5.11,Oklahoma,3,9/12/96,28.64,JR,22.63,72,224,4.59,6,0.00%,0.07%,0.00%,17.77%,1.49%,17.77%,15.99%,5.55%,0.00%,2.77%,2.50%,20.98,100.93,30.38,0.45,6.20,66.40,3.89,46.10,2.0,2.0,3.0,6.0,10.0,4.0,1.0,4.0,2.0,0.0,0,3395,0,40,0,0,0.00,0.00,0.00,0.00,0,2646,0,,17,5,2887,0,32,1,0,5.00,0.00,2.00,0.00,0,4006,0,,38,0,3078,0,30,0,0,0.00,0.00,0.00,0.00,0,4134,0,,43,1161,3049,13,33,188,30,6.20,66.40,3.89,46.10,281,5065,17,,47,119,3464,3,42,11,5,10.80,285.10,6.27,79.80,0,4520,0,,43,,,,,,
19,Mike Weber,4.96,Ohio State,2,8/25/97,27.69,RS JR,21.68,70,211,4.47,7,0.00%,0.00%,19.92%,10.07%,14.19%,17.06%,17.06%,2.56%,2.16%,2.36%,2.36%,19.03,105.70,30.27,0.21,6.20,57.20,3.65,40.90,3.0,2.0,8.0,8.0,4.0,4.0,0.0,2.0,1.0,0.0,0,3967,0,41,0,0,0.00,0.00,0.00,0.00,0,3707,0,,42,0,3188,0,39,0,0,0.00,0.00,0.00,0.00,0,2455,0,,19,1098,3188,9,33,181,47,6.10,75.80,3.17,36.30,91,2781,24,,26,629,3504,10,34,101,14,6.20,49.40,3.65,40.90,94,3679,10,,39,954,2398,5,23,172,36,5.50,57.20,2.98,32.80,110,5100,21,,51,,,,,,
20,Myles Gaskin,4.75,Washington,5,2/15/97,28.21,SR,22.20,69,205,4.58,7,0.00%,25.15%,23.60%,30.53%,23.20%,26.86%,22.84%,8.03%,2.31%,5.17%,4.39%,18.55,93.18,30.27,0.17,6.20,82.90,3.57,46.00,4.0,5.0,9.0,2.0,2.0,4.0,2.0,2.0,1.0,0.3,0,2640,0,23,0,0,0.00,0.00,0.00,0.00,0,2801,0,,19,1300,2130,14,27,226,61,5.80,105.50,3.88,46.90,18,3110,6,,17,1373,2774,10,24,237,45,5.80,57.40,2.94,27.20,137,3623,19,,47,1377,2382,21,37,222,44,6.20,82.90,3.57,46.00,232,2889,19,,19,1270,2468,12,26,259,45,4.90,48.10,2.85,28.70,77,3337,21,,19,,,,,,
21,Dexter Williams,4.44,Notre Dame,2,1/6/97,28.32,SR,22.31,71,212,4.57,6,0.00%,1.39%,4.31%,6.40%,19.72%,19.72%,19.72%,0.56%,3.97%,3.97%,3.97%,21.66,97.21,29.56,0.13,9.20,46.00,4.92,51.10,3.0,4.0,2.0,4.0,0.0,9.0,0.0,8.0,2.0,0.0,0,2073,0,24,0,0,0.00,0.00,0.00,0.00,0,3711,0,,30,84,2699,1,29,21,2,4.00,21.30,2.24,0.00,0,3364,0,,25,200,1960,3,18,39,8,5.10,53.00,2.85,41.00,16,3051,4,,27,360,3501,4,35,39,3,9.20,36.00,4.92,51.10,13,2326,2,,20,995,2374,12,27,158,20,6.30,46.00,3.48,49.40,133,3347,16,,23,,,,,,
22,Kerrith Whyte Jr.,4.03,FAU,10,10/31/96,28.50,RS JR,22.50,70,204,4.37,7,0.00%,0.00%,3.47%,5.80%,17.72%,17.72%,10.63%,2.01%,5.84%,5.84%,3.50%,21.85,111.88,29.27,0.25,6.40,92.70,3.92,46.50,0.0,3.0,2.0,9.0,6.0,4.0,3.0,4.0,1.0,0.5,0,1963,0,14,0,0,0.00,0.00,0.00,0.00,0,2394,0,,18,0,1961,0,15,0,0,0.00,0.00,0.00,0.00,0,2557,0,,12,145,2258,1,31,42,5,3.50,50.30,2.95,15.20,21,2521,5,,9,345,3994,2,52,56,6,6.20,27.70,2.54,41.20,60,2983,8,,21,852,2902,8,35,133,33,6.40,92.70,3.92,46.50,166,2844,11,,14,,,,,,
23,Ryquell Armstead,2.74,Temple,6,10/30/96,28.51,SR,22.50,71,220,4.45,5,0.00%,3.93%,16.58%,13.79%,21.66%,21.66%,16.24%,2.29%,1.58%,1.93%,1.45%,19.85,112.21,30.68,0.15,5.20,49.00,3.34,39.90,2.0,1.0,5.0,9.0,1.0,0.0,0.0,1.0,3.0,0.0,0,1293,0,11,0,0,0.00,0.00,0.00,0.00,0,2408,0,,13,195,2096,2,25,51,9,3.80,43.30,2.55,16.40,7,3038,2,,20,914,2466,14,31,155,33,5.90,78.10,3.70,44.60,46,3324,6,,22,621,1773,5,15,157,18,4.00,28.90,2.25,37.00,75,3273,14,,21,1101,2027,13,28,210,31,5.20,49.00,3.34,39.90,52,3297,8,,20,,,,,,
24,L.J. Scott,1.68,Michigan State,2,9/15/96,28.63,SR,22.62,72,233,4.76,0,0.00%,13.26%,23.82%,20.92%,7.98%,15.90%,15.90%,5.22%,3.36%,4.29%,4.29%,19.98,90.77,31.60,0.12,4.50,57.00,3.07,29.70,2.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2640,0,23,29,10,0.00,0.00,0.00,0.00,0,2801,0,,19,701,2120,11,28,146,38,4.80,86.40,3.22,38.90,15,3279,3,,18,982,2072,6,25,184,33,5.30,72.90,3.72,38.60,147,2668,10,,48,897,2189,8,38,201,36,4.50,57.00,3.07,29.70,146,2798,20,,20,260,1622,0,27,78,9,3.30,31.50,2.31,0.00,95,2824,10,,20,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
