Rank,Player Name,RB Grade,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,ELU,YCO/A,Break %,DOM++,RDOM+,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,,,Conferences,multiplier,Season Starts,Draft
11,Nyheim Hines,6.28,NC State,4,11/12/96,28.47,JR,21.47,69,197,4.38,4,0.00%,0.00%,9.32%,10.46%,21.51%,21.51%,19.35%,15.52%,4.25%,9.88%,8.89%,20.83,107.05,29.09,0.19,5.70,77.90,3.76,44.20,3.0,8.0,3.0,8.0,2.0,1.0,2.0,3.0,4.0,0.0,0,1952,,,,,,,,,0,2890,,,,0,2659,0,0,0,0,0.0,0.0,0.0,0.0,0,2652,0,,,244,2627,1,,47,9,5.2,77.7,3.06,36.50,256,2740,20,,,41,2030,0,,13,3,3.20,65.00,3.31,0.00,525,3383,43,,,1111,2293,12,,196,37,5.70,77.90,3.76,44.20,152,3580,26,,,,11,the rest,0.55,,
12,Bo Scarbrough,5.79,Alabama,1,9/29/96,28.59,JR,21.59,74,228,4.52,7,0.00%,0.00%,1.62%,12.23%,11.34%,11.78%,11.78%,0.70%,4.03%,4.03%,4.03%,N/A,109.25,29.27,0.13,6.50,147.30,4.75,48.50,0.0,4.0,0.0,9.0,0.0,5.0,7.0,8.0,1.0,1.0,0,2673,,,,,,,,,0,3230,,,,0,2893,0,,0,0,0.0,0.0,0.0,0.0,0,3890,0,,,104,2999,1,,18,7,5.8,164.2,4.22,23.10,0,3407,0,,,813,3675,11,,125,40,6.50,147.30,4.75,48.50,22,3154,4,,,596,3509,8,,124,16,4.80,44.00,2.95,28.90,109,2708,17,,,,12,DII,0.5,,
13,Ito Smith,5.78,Southern Miss,8,9/11/95,29.64,SR,22.64,70,202,4.45,4,0.00%,13.84%,23.01%,31.13%,32.72%,32.72%,21.27%,11.76%,12.56%,12.56%,8.16%,19.98,103.02,28.98,0.21,5.70,68.60,3.15,42.60,4.0,8.0,5.0,6.0,4.0,1.0,1.0,0.0,4.0,0.0,0,875,,,,,,,,,0,2911,,,,535,1149,2,,136,30,3.9,59.5,2.6,38.7,71,3231,8,,,1128,2517,10,,171,46,6.6,107.2,3.68,59.10,513,4616,49,,,1456,2264,17,,265,61,5.50,68.60,3.15,38.90,456,3877,43,,,1414,2399,13,,248,51,5.70,61.30,2.99,42.60,392,3121,40,,,,,,,,
14,Justin Jackson,5.65,Northwestern,2,4/22/96,29.03,SR,22.02,70,199,4.52,7,0.00%,32.74%,37.18%,33.67%,29.81%,33.50%,33.50%,6.87%,9.08%,9.08%,9.08%,18.37,95.35,28.55,0.14,5.10,73.50,3.60,45.50,9.0,9.0,10.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0,2069,,,,,,,,,0,2726,,,,1186,1639,10,,245,64,4.8,78.7,3.1,22.1,201,2598,22,,,1419,2451,5,,311,34,4.6,29.2,2.42,29.60,162,1801,21,,,1524,1991,15,,298,62,5.10,73.50,3.60,45.50,219,3186,35,,,1305,2264,11,,286,39,4.60,37.20,2.50,28.00,276,3040,44,,,,,,,,
15,Mark Walton,5.29,Miami,4,3/29/97,28.10,JR,21.09,70,202,4.6,4,0.00%,0.00%,14.74%,24.51%,9.88%,17.19%,15.47%,6.73%,2.89%,4.81%,4.33%,19.44,90.23,28.98,0.13,7.60,61.10,3.43,56.90,2.0,5.0,6.0,2.0,0.0,8.0,0.0,1.0,4.0,0.0,0,2084,,,,,,,,,0,3452,,,,0,2345,0,0,0,0,0.0,0.0,0.0,0.0,0,3249,0,,,464,1548,9,,129,28,3.6,52.7,2.09,25.60,295,3602,22,,,1117,1973,14,,209,36,5.30,61.10,3.43,49.20,240,3564,27,,,427,2090,3,,56,7,7.60,51.40,2.95,56.90,91,3153,7,,,,,,,,
16,Jordan Wilkins,4.86,Ole Miss,1,7/18/94,30.79,SR,23.79,71,217,4.53,5,0.00%,6.81%,6.80%,0.00%,22.60%,22.60%,22.60%,0.00%,6.19%,6.19%,6.19%,23.15,103.06,30.26,0.21,6.50,79.00,3.34,47.70,4.0,6.0,0.0,6.0,4.0,5.0,2.0,1.0,3.0,0.0,0,2470,,,,,,,,,0,3683,,,,365,2021,1,,52,15,7.0,99.1,3.5,56.2,6,3427,1,,,383,2380,4,,72,16,5.3,67.8,3.26,35.00,75,4351,5,,,0,1793,0,0,0,0,0.00,0.00,0.00,0.00,0,3779,0,,,1010,1607,9,,155,32,6.50,79.00,3.34,47.70,244,3941,27,,,,,,,,
17,Kalen Ballage,4.75,Arizona State,5,12/22/95,29.36,SR,22.36,74,228,4.46,4,0.00%,3.30%,11.49%,21.20%,13.57%,17.38%,14.78%,15.08%,2.74%,8.91%,7.57%,20.71,115.25,29.27,0.08,4.30,52.90,2.74,39.80,1.0,8.0,3.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0,2679,,,,,,,,,0,3723,,,,126,2194,3,,41,4,3.1,23.1,2.2,0.0,64,3556,6,,,649,2319,4,,124,16,5.2,40.2,3.22,41.60,64,3887,12,,,525,1578,14,,127,15,4.10,52.90,2.74,39.80,469,3111,44,,,669,2276,6,,157,13,4.30,25.10,2.46,26.00,91,3324,20,,,,,,,,
18,Jaylen Samuels,4.62,NC State,4,7/20/96,28.79,SR,21.78,71,223,4.54,0,0.00%,4.05%,18.02%,13.93%,16.81%,17.41%,15.67%,16.52%,16.56%,16.56%,14.91%,19.13,104.98,31.10,0.19,6.10,59.60,3.49,39.10,2.0,10.0,7.0,7.0,3.0,3.0,0.0,2.0,0.0,0.0,0,1952,,,,,,,,,0,2890,,,,119,2659,1,,14,9,8.5,392.9,7.9,52.1,96,2652,6,,,364,2627,9,,55,13,6.6,42.2,1.95,51.40,603,2740,65,,,195,2030,6,,32,2,6.10,16.30,1.59,32.80,559,3383,56,,,394,2293,12,,78,15,5.10,59.60,3.49,39.10,593,3580,74,,,,,,,,
19,Phillip Lindsay,4.41,Colorado,5,7/24/94,30.78,SR,23.77,68,190,4.39,0,0.00%,9.53%,16.90%,28.19%,34.52%,34.52%,29.35%,13.78%,8.22%,11.00%,9.35%,21.12,102.31,28.89,0.16,5.10,75.00,3.24,33.50,8.0,9.0,3.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0,1450,,,,,,,,,0,2989,,,,391,1855,0,,79,15,4.9,58.1,3.0,29.2,111,3415,14,,,650,2031,6,,141,18,4.6,39.4,2.19,36.30,222,3128,26,,,1234,2557,16,,244,52,5.10,75.00,3.24,33.50,491,3563,54,,,1473,1886,14,,302,47,4.90,42.20,2.69,29.40,257,3125,23,,,,,,,,
20,Boston Scott,4.41,LA Tech,6,4/27/95,30.02,RS SR,23.01,66,199,4.4,6,0.00%,0.05%,4.38%,8.81%,23.31%,23.31%,16.31%,2.46%,6.11%,6.11%,4.27%,22.38,106.19,32.12,0.23,7.30,115.60,4.93,50.00,2.0,4.0,1.0,8.0,5.0,7.0,5.0,8.0,2.0,0.0,0,1922,,,,,,,,,0,2472,,,,3,2080,0,,1,0,3.0,0.0,4.0,0.0,0,3531,0,,,275,2075,0,,34,13,8.1,164.2,4.29,62.20,0,4201,0,,,510,2119,6,,70,14,7.30,115.60,4.93,50.00,125,5087,11,,,1038,2242,8,,179,41,5.80,101.40,3.90,36.30,183,2997,21,,,,,,,,
22,Chase Edmonds,4.23,Fordham,11,4/13/96,29.05,SR,22.05,69,205,4.55,4,0.00%,28.32%,37.34%,35.58%,15.62%,26.48%,14.56%,9.21%,4.91%,7.06%,3.88%,18.39,95.66,30.27,0.16,6.07,83.34,3.76,45.80,1.0,4.0,9.0,3.0,2.0,3.0,2.0,3.0,4.0,0.0,0,1,,,,,,,,,0,1,,,,1838,2353,0,,0,0,0.0,0.0,0.0,0.0,121,4565,19,,,1648,2171,0,0,0,0,0.0,0.0,0.00,0.00,383,3268,31,,,1799,2868,0,0,0,0,0.00,0.00,0.00,0.00,272,2953,25,,,577,1892,0,0,0,0,0.00,0.00,0.00,0.00,129,2628,11,,,,,,,,
21,Gus Edwards,4.24,Rutgers,1,4/13/95,30.06,SR,23.05,73,238,4.52,0,8.82%,9.13%,0.00%,7.02%,25.74%,25.74%,25.74%,0.33%,7.43%,7.43%,7.43%,22.41,114.04,31.40,0.20,4.90,69.20,3.50,30.70,6.0,7.0,1.0,10.0,4.0,0.0,1.0,2.0,0.0,0.0,338,1443,,,,,,,,,0,2390,,,,349,1804,6,,61,15,5.7,92.4,3.6,39.2,44,2499,2,,,0,1,,,,,,,,,0,1,,,,290,1518,1,,59,10,4.90,48.60,2.92,30.70,9,2742,1,,,713,1783,6,,164,33,4.35,69.20,3.50,26.90,103,1387,13,,,,,,,,
23,David Williams,2.99,Arkansas,1,6/17/94,30.88,SR,23.87,71,229,4.5,7,0.00%,6.19%,9.39%,6.88%,17.74%,17.74%,17.74%,2.60%,6.94%,6.94%,6.94%,23.24,111.69,31.94,0.09,5.30,39.80,3.16,38.90,3.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2504,,,,,,,,,0,1782,,,,256,2073,2,,45,5,5.7,53.3,3.5,35.5,99,3661,7,,,316,1856,0,,86,10,3.7,22.5,1.99,20.30,92,2490,11,,,239,1747,3,,56,5,4.30,24.20,2.63,38.90,72,2771,9,,,624,2016,8,,117,11,5.30,39.80,3.16,28.70,171,2465,10,,,,,,,,
24,Darrel Williams,2.46,LSU,1,4/15/95,30.05,SR,23.05,70,229,4.72,0,0.00%,7.33%,6.25%,5.32%,21.54%,21.54%,21.54%,1.62%,12.51%,12.51%,12.51%,22.41,92.28,32.85,0.15,5.70,54.20,2.97,35.60,4.0,9.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2630,,,,,,,,,0,3263,,,,306,2919,3,,64,12,4.8,56.9,2.7,18.3,63,2118,6,,,297,3082,4,,60,8,5.0,46.9,3.00,22.60,31,2165,4,,,233,2796,3,,52,9,4.50,54.20,2.81,18.00,37,2281,5,,,820,2699,9,,144,21,5.70,44.50,2.97,35.60,331,2645,23,,,,,,,,
25,Jeff Wilson Jr.,1.91,North Texas,10,11/16/95,29.46,SR,22.46,71,210,4.57,0,0.00%,6.82%,23.64%,26.44%,21.55%,24.00%,14.40%,9.12%,4.04%,6.58%,3.95%,19.80,96.29,29.29,0.20,6.40,73.00,3.52,51.00,1.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,0,2349,,,,,,,,,0,2987,,,,226,1838,1,,49,14,4.6,85.7,2.6,16.8,41,2079,5,,,831,1904,1,,155,28,5.4,57.6,2.92,34.80,77,1937,12,,,928,1736,14,,170,27,5.50,40.90,2.54,42.80,247,2708,29,,,1207,2280,16,,188,37,6.40,73.00,3.52,51.00,165,4086,24,,,,,,,,
26,D'Ernest Johnson,0.00,South Florida,6,2/27/96,29.18,SR,22.18,70,210,4.8,0,0.00%,7.03%,11.37%,12.69%,15.51%,15.51%,10.86%,9.96%,4.69%,7.32%,5.13%,21.54,79.12,30.13,0.19,5.00,55.70,2.81,27.50,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1064,,,,,,,,,0,2002,,,,150,1295,0,,46,6,3.3,35.4,1.7,10.7,107,2361,8,,,307,3205,1,,71,8,4.3,27.6,2.41,13.40,346,2536,25,,,551,3709,8,,110,24,5.00,55.00,2.81,17.80,293,2941,28,,,815,3169,7,,195,38,4.20,55.70,2.64,27.50,140,2987,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
