Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,BMI,40 Time,Draft Cap,RDOM1,RDOM2,RDOM3,RDOM4,RDOM5,TDOM,RDOM+,DOM1,DOM2,ADOM,DOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %
18,2,2021,Javonte Williams,Elite Upside,11.78,94.40,1.60,North Carolina,4,4/25/00,25.44,JR,21.02,BELL CALF,#DIV/0!,70,212,30.42,4.57,2,0.00%,0.00%,5.80%,18.06%,22.40%,22.40%,20.16%,4.74%,7.63%,7.63%,6.87%,19.36,97.21,30.42,0.48,7.40,#DIV/0!,#DIV/0!,215.40,4.59,56.50
19,1,2024,Jonathon Brooks,Elite Upside,11.63,94.10,1.54,Texas,3,7/21/03,22.20,JR,20.78,BELL COW,#DIV/0!,72,216,29.29,4.55,2,0.00%,0.00%,9.12%,7.78%,27.05%,27.05%,24.35%,2.19%,8.99%,8.99%,8.09%,20.14,100.79,29.29,0.34,6.57,#DIV/0!,#DIV/0!,140.30,5.07,54.30
20,2,2016,Derrick Henry,Elite Upside,11.50,93.80,1.48,Alabama,1,1/4/94,31.75,JR,22.33,BRUISER,#DIV/0!,75,247,30.87,4.54,2,0.00%,0.00%,9.76%,16.56%,36.19%,36.19%,36.19%,3.42%,2.73%,3.07%,3.07%,20.67,116.28,30.87,0.19,5.76,#DIV/0!,#DIV/0!,71.60,3.38,36.60
21,3,2025,TreVeyon Henderson,Elite Upside,11.48,93.50,1.47,Ohio State,2,10/22/02,22.95,SR,22.53,DYNAMIC,#DIV/0!,70,202,28.98,4.43,2,0.00%,21.36%,15.39%,30.14%,18.79%,24.47%,24.47%,10.00%,6.68%,8.34%,8.34%,18.87,104.90,28.98,0.26,6.97,#DIV/0!,#DIV/0!,108.90,4.43,53.90
22,4,2025,Kaleb Johnson,Elite Upside,11.47,93.20,1.47,Iowa,2,8/14/03,22.14,JR,21.72,BELL COW,#DIV/0!,73,224,29.55,4.57,3,0.00%,0.00%,24.59%,20.81%,43.72%,43.72%,43.72%,2.11%,12.03%,12.03%,12.03%,19.07,102.71,29.55,0.33,6.40,#DIV/0!,#DIV/0!,131.50,4.42,56.10
23,2,2026,Jonah Coleman,Elite Upside,11.34,92.90,1.41,Washington,2,8/20/03,22.12,SR,22.70,FREAK,SLASHER,69,229,33.82,4.50,3,0.00%,7.14%,19.59%,24.37%,30.07%,30.07%,30.07%,5.20%,18.12%,18.12%,18.12%,20.05,111.69,33.81,0.36,6.80,#DIV/0!,#DIV/0!,176.20,5.12,54.70
24,3,2023,De'Von Achane,Elite Upside,11.22,92.60,1.36,Texas A&M,1,10/13/01,23.97,JR,21.55,JITTERBUG,#DIV/0!,68,188,28.58,4.32,3,0.00%,0.00%,10.50%,24.39%,29.94%,29.94%,29.94%,10.43%,7.44%,8.94%,8.94%,19.91,107.96,28.58,0.28,6.80,#DIV/0!,#DIV/0!,112.10,4.02,52.10
25,2,2022,Kenneth Walker III,Elite Upside,11.21,92.00,1.36,Michigan State,2,10/20/00,24.95,JR,21.53,DYNAMIC,#DIV/0!,69,211,31.16,4.38,2,0.00%,0.00%,9.88%,19.35%,30.87%,30.87%,30.87%,1.17%,2.70%,2.70%,2.70%,19.89,114.66,31.16,0.34,6.20,#DIV/0!,#DIV/0!,145.90,4.46,53.90
25,1,2019,Josh Jacobs,Elite Upside,11.21,92.00,1.36,Alabama,1,2/11/98,27.64,JR,21.21,BELL CALF,#DIV/0!,70,220,31.57,4.52,1,0.00%,0.00%,10.70%,9.10%,15.33%,15.33%,15.33%,7.78%,6.18%,6.98%,6.98%,20.56,105.41,31.56,0.27,6.20,#DIV/0!,#DIV/0!,109.80,4.07,23.60
27,5,2025,Quinshon Judkins,Elite Upside,11.06,91.70,1.29,Ohio State,2,10/29/03,21.93,JR,21.51,FREAK,#DIV/0!,72,230,31.19,4.48,2,0.00%,0.00%,26.33%,21.78%,17.77%,26.33%,26.33%,4.01%,3.83%,3.92%,3.92%,18.87,114.19,31.19,0.29,5.70,#DIV/0!,#DIV/0!,95.50,3.38,47.20
28,2,2018,Derrius Guice,Elite Upside,11.02,91.40,1.28,LSU,1,6/21/97,28.29,JR,20.86,FREAK,#DIV/0!,70,224,32.14,4.49,2,0.00%,0.00%,8.82%,29.41%,25.80%,27.61%,27.61%,4.65%,4.69%,4.69%,4.69%,19.21,110.23,32.14,0.26,7.60,#DIV/0!,#DIV/0!,111.70,4.13,59.90
29,3,2020,Cam Akers,Upside,10.91,91.10,1.23,Florida State,4,6/22/99,26.28,JR,20.85,FREAK,#DIV/0!,70,217,31.14,4.47,2,0.00%,0.00%,24.72%,19.59%,25.75%,25.75%,23.18%,4.38%,6.47%,6.47%,5.82%,18.21,108.71,31.13,0.33,4.90,#DIV/0!,#DIV/0!,125.90,3.91,45.10
30,4,2023,Tank Bigsby,Upside,10.90,90.80,1.23,Auburn,1,8/30/01,24.09,JR,21.67,BELL COW,#DIV/0!,72,210,28.48,4.56,3,0.00%,0.00%,21.80%,24.61%,25.45%,25.45%,25.45%,5.77%,8.69%,8.69%,8.69%,19.02,97.14,28.48,0.34,5.50,#DIV/0!,#DIV/0!,137.90,4.16,50.10
31,3,2018,Rashaad Penny,Upside,10.88,90.50,1.22,San Diego State,7,2/2/96,29.67,SR,22.24,FREAK,#DIV/0!,70,224,32.14,4.46,1,0.00%,0.43%,9.08%,21.32%,45.81%,45.81%,29.78%,11.07%,6.72%,8.90%,5.78%,20.59,113.22,32.14,0.30,7.80,#DIV/0!,#DIV/0!,129.70,4.78,62.60
32,5,2017,Alvin Kamara,Upside,10.84,90.20,1.20,Tennessee,1,7/25/95,30.20,JR,21.77,BELL CALF,#DIV/0!,70,214,30.71,4.53,3,0.00%,0.00%,0.00%,18.18%,20.20%,20.20%,20.20%,11.46%,14.87%,14.87%,14.87%,20.12,101.64,30.70,0.26,6.60,#DIV/0!,#DIV/0!,132.10,3.78,47.70
33,3,2021,Najee Harris,Upside,10.81,89.90,1.19,Alabama,1,3/9/98,27.57,SR,23.16,BRUISER,#DIV/0!,73,232,30.61,4.66,1,0.00%,6.68%,10.09%,23.01%,26.83%,26.83%,26.83%,6.83%,9.13%,9.13%,9.13%,21.49,98.40,30.61,0.28,5.90,#DIV/0!,#DIV/0!,106.00,3.57,31.80
34,6,2017,Kareem Hunt,Upside,10.78,89.60,1.17,Toledo,9,8/6/95,30.16,SR,21.74,BELL CALF,#DIV/0!,70,216,30.99,4.62,3,0.00%,21.10%,28.21%,31.35%,44.30%,44.30%,28.79%,2.72%,23.71%,23.71%,15.41%,18.08,94.82,30.99,0.29,5.60,#DIV/0!,#DIV/0!,124.00,4.65,49.30
35,5,2023,Zach Charbonnet,Upside,10.73,89.20,1.15,UCLA,5,1/8/01,24.73,SR,22.31,DYNAMIC,#DIV/0!,72,214,29.02,4.5,2,0.00%,14.48%,5.30%,25.19%,25.64%,25.64%,21.79%,6.67%,9.28%,9.28%,7.89%,20.67,104.37,29.02,0.34,7.00,#DIV/0!,#DIV/0!,120.50,4.15,44.60
36,4,2020,Antonio Gibson,Upside,10.72,88.90,1.15,Memphis,6,6/23/98,27.28,SR,21.85,FREAK,#DIV/0!,72,228,30.92,4.39,3,0.00%,0.00%,0.00%,3.79%,16.26%,16.26%,12.19%,8.14%,17.59%,17.59%,13.20%,21.22,122.77,30.92,0.48,11.18,#DIV/0!,#DIV/0!,359.20,7.73,61.80
37,5,2020,D'Andre Swift,Upside,10.69,88.60,1.14,Georgia,1,1/14/99,26.72,JR,21.29,DYNAMIC,#DIV/0!,68,212,32.23,4.48,2,0.00%,0.00%,11.75%,20.68%,25.14%,25.14%,25.14%,9.38%,6.92%,8.15%,8.15%,19.64,105.26,32.23,0.23,6.40,#DIV/0!,#DIV/0!,89.80,3.89,46.50
38,4,2018,Nick Chubb,Upside,10.67,88.30,1.13,Georgia,1,12/27/95,29.77,SR*,22.35,BELL CALF,#DIV/0!,70,220,31.57,4.52,2,0.00%,29.61%,15.82%,24.32%,21.04%,25.33%,25.33%,3.42%,1.13%,2.28%,2.28%,18.69,105.41,31.56,0.25,8.10,#DIV/0!,#DIV/0!,91.20,3.76,57.50
39,3,2026,Nicholas Singleton,Upside,10.59,88.00,1.09,Penn State,2,1/4/04,21.75,SR,22.33,FREAK,+RECEIVER,72,228,30.92,4.33,2,0.00%,20.26%,20.39%,21.18%,16.72%,18.95%,18.95%,10.70%,6.02%,8.36%,8.36%,18.68,129.72,30.92,0.22,6.78,#DIV/0!,#DIV/0!,98.80,3.46,38.00
40,3,2016,Kenyan Drake,Upside,10.53,87.70,1.07,Alabama,1,1/26/94,31.69,SR,22.27,DYNAMIC,#DIV/0!,73,210,27.71,4.45,3,0.00%,5.26%,16.60%,11.19%,12.14%,14.37%,14.37%,10.44%,8.84%,9.64%,9.64%,19.61,107.10,27.70,0.29,5.48,#DIV/0!,#DIV/0!,100.60,2.88,42.10
41,7,2017,James Conner,Upside,10.50,87.40,1.06,Pitt,4,5/5/95,30.42,RS JR,21.99,BRUISER,#DIV/0!,71,233,32.50,4.65,3,0.00%,17.67%,32.42%,1.71%,23.93%,28.18%,25.36%,0.28%,10.48%,10.48%,9.43%,18.34,99.67,32.49,0.30,9.60,#DIV/0!,#DIV/0!,89.40,2.95,51.90
42,3,2015,Tevin Coleman,Upside,10.33,87.10,0.99,Indiana,2,4/16/93,32.47,JR,22.04,DYNAMIC,#DIV/0!,71,206,28.73,4.40,3,0.00%,0.00%,5.17%,25.15%,44.61%,44.61%,44.61%,6.99%,8.31%,8.31%,8.31%,20.39,109.92,28.73,0.19,7.51,#DIV/0!,#DIV/0!,73.60,4.02,57.00
43,6,2020,Clyde Edwards-Helaire,Upside,10.32,86.80,0.98,LSU,1,4/11/99,26.48,JR,21.05,BELL CALF,#DIV/0!,67,207,32.42,4.6,1,0.00%,0.00%,1.44%,14.41%,21.96%,21.96%,21.96%,3.16%,7.52%,7.52%,7.52%,20.42,92.46,32.42,0.33,6.60,#DIV/0!,#DIV/0!,115.50,3.65,44.70
44,2,2019,Miles Sanders,Upside,10.28,86.50,0.96,Penn St,2,5/1/97,28.43,JR,22.00,DYNAMIC,#DIV/0!,71,211,29.43,4.49,2,0.00%,0.00%,3.43%,3.69%,25.55%,25.55%,25.55%,0.80%,4.55%,4.55%,4.55%,21.35,103.83,29.43,0.39,6.20,#DIV/0!,#DIV/0!,77.50,4.97,55.50
45,2,2024,Trey Benson,Upside,10.25,86.20,0.95,Florida State,4,7/23/02,23.20,RS JR,21.78,FREAK,#DIV/0!,72,216,29.29,4.39,3,0.00%,0.00%,2.71%,18.04%,21.68%,21.68%,19.51%,4.04%,6.95%,6.95%,6.25%,20.13,116.31,29.29,0.51,6.45,#DIV/0!,#DIV/0!,226.60,4.53,56.10
46,6,2023,Tyjae Spears,Upside,10.24,85.90,0.95,Tulane,6,6/15/01,24.30,RS JR,21.88,DYNAMIC,#DIV/0!,70,201,28.84,4.4,3,0.00%,17.19%,25.72%,21.73%,29.72%,29.72%,22.29%,5.45%,7.58%,7.58%,5.68%,18.22,107.25,28.84,0.43,6.90,#DIV/0!,#DIV/0!,197.40,4.81,55.00
47,3,2019,Darrell Henderson,Upside,10.21,85.60,0.93,Memphis,6,8/19/97,28.13,JR,21.70,DYNAMIC,#DIV/0!,68,208,31.63,4.49,3,0.00%,0.00%,11.86%,19.82%,30.09%,30.09%,22.57%,5.19%,8.66%,8.66%,6.50%,20.05,102.35,31.62,0.27,8.90,#DIV/0!,#DIV/0!,158.60,6.16,70.80
48,5,2018,Sony Michel,Upside,10.16,85.30,0.91,Georgia,1,2/17/95,30.63,SR,23.20,BELL COW,#DIV/0!,71,214,29.85,4.54,1,0.00%,8.65%,28.94%,19.78%,20.26%,24.60%,24.60%,5.92%,2.41%,4.17%,4.17%,20.55,100.74,29.84,0.23,8.00,#DIV/0!,#DIV/0!,95.10,4.03,56.20
49,6,2025,RJ Harvey,Upside,10.07,85.00,0.88,UCF,3,2/4/01,24.66,RS SR,24.24,DYNAMIC,#DIV/0!,68,205,31.17,4.4,2,0.00%,0.00%,16.50%,26.14%,34.33%,34.33%,30.90%,7.07%,11.14%,11.14%,10.03%,21.60,109.39,31.17,0.33,6.83,#DIV/0!,#DIV/0!,123.40,3.88,52.40
50,7,2020,Ke'Shawn Vaughn,Upside,10.07,84.70,0.88,Vanderbilt,1,5/4/97,28.42,RS SR,22.99,BELL CALF,#DIV/0!,69,214,31.60,4.51,3,17.54%,9.21%,0.00%,26.41%,36.91%,36.91%,36.91%,5.30%,13.86%,13.86%,13.86%,18.34,103.45,31.60,0.28,5.20,#DIV/0!,#DIV/0!,103.20,3.73,60.10
51,8,2020,A.J. Dillon,Upside,10.04,84.40,0.86,Boston College,4,5/2/98,27.42,JR,21.99,BRUISER,#DIV/0!,72,247,33.50,4.53,2,0.00%,0.00%,31.55%,21.51%,37.17%,37.17%,33.45%,1.24%,5.89%,5.89%,5.30%,19.35,117.31,33.50,0.26,5.40,#DIV/0!,#DIV/0!,88.60,3.88,40.60
52,3,2024,Braelon Allen,Upside,9.99,84.00,0.84,Wisconsin,2,1/20/04,21.70,JR,20.28,BRUISER,#DIV/0!,74,245,31.46,4.59,4,0.00%,0.00%,29.11%,30.85%,26.54%,28.70%,28.70%,4.72%,5.41%,5.41%,5.41%,17.62,110.39,31.45,0.27,5.40,#DIV/0!,#DIV/0!,109.10,4.48,47.90
53,7,2025,Cam Skattebo,Upside,9.93,83.40,0.81,Arizona State,3,2/5/02,23.66,SR,23.24,BELL CALF,#DIV/0!,69,219,32.34,4.57,4,0.00%,16.26%,26.40%,26.61%,40.40%,40.40%,36.36%,11.33%,18.20%,18.20%,16.38%,19.58,100.42,32.34,0.36,5.82,#DIV/0!,#DIV/0!,164.20,4.09,40.80
53,7,2025,Bhayshul Tuten,Upside,9.93,83.40,0.81,Virginia Tech,3,2/14/03,22.63,SR,22.21,JITTERBUG,#DIV/0!,69,200,29.53,4.32,4,0.00%,10.94%,38.10%,21.65%,30.43%,34.26%,30.84%,8.66%,3.89%,6.27%,5.65%,19.57,114.85,29.53,0.39,6.28,#DIV/0!,#DIV/0!,157.00,4.40,54.00
55,8,2017,D'Onta Foreman,Upside,9.87,83.10,0.79,Texas,3,4/24/96,29.45,JR,21.02,FREAK,#DIV/0!,72,233,31.60,4.45,3,0.00%,0.00%,1.85%,16.72%,35.47%,35.47%,31.92%,3.66%,2.48%,3.07%,2.76%,19.36,118.84,31.60,0.26,7.20,#DIV/0!,#DIV/0!,77.10,3.54,53.50
56,4,2024,Bucky Irving,Upside,9.77,82.80,0.75,Oregon,5,8/19/02,23.12,JR,21.70,DYNAMIC,#DIV/0!,69,192,28.35,4.55,4,0.00%,0.00%,17.81%,20.91%,21.33%,21.33%,18.13%,8.02%,8.05%,8.05%,6.84%,19.05,89.60,28.35,0.42,6.78,#DIV/0!,#DIV/0!,170.10,4.36,39.30
57,6,2018,Royce Freeman,Upside,9.77,82.50,0.75,Oregon,5,2/4/96,29.67,SR,22.24,BRUISER,#DIV/0!,71,229,31.94,4.54,3,0.00%,18.65%,31.21%,18.51%,28.56%,29.89%,25.40%,4.52%,6.68%,6.68%,5.68%,18.58,107.81,31.94,0.28,6.50,#DIV/0!,#DIV/0!,111.60,4.08,50.70
58,4,2026,Darius Taylor,Upside,9.73,82.20,0.73,Minnesota,2,6/30/05,20.26,JR,20.84,BELL COW,+RECEIVER,72,215,29.16,4.54,4,0.00%,0.00%,49.41%,32.96%,21.59%,35.50%,35.50%,13.09%,8.70%,10.90%,10.90%,18.19,101.22,29.16,0.25,5.80,#DIV/0!,#DIV/0!,95.90,3.91,40.20
59,4,2015,Duke Johnson,Upside,9.67,81.90,0.71,Miami,4,9/23/93,32.03,JR,21.61,BELL CALF,#DIV/0!,69,207,30.57,4.54,3,0.00%,0.00%,22.11%,29.27%,36.86%,36.86%,33.18%,3.63%,12.96%,12.96%,11.66%,18.95,97.45,30.57,0.16,6.81,#DIV/0!,#DIV/0!,67.90,3.52,50.30
60,5,2026,Kaytron Allen,Upside,9.65,81.60,0.70,Penn State,2,1/8/03,22.73,SR,23.32,BRUISER,SLASHER,71,225,31.38,4.55,5,0.00%,18.68%,18.86%,14.96%,20.84%,20.84%,20.84%,3.49%,0.68%,2.09%,2.09%,19.67,104.99,31.38,0.41,8.03,#DIV/0!,#DIV/0!,236.60,5.47,50.20
61,9,2017,Aaron Jones,Upside,9.62,81.30,0.68,UTEP,10,12/2/94,30.84,SR,22.42,DYNAMIC,#DIV/0!,69,208,30.72,4.5,5,0.00%,19.76%,35.51%,7.69%,45.12%,45.12%,27.07%,4.52%,10.57%,10.57%,6.34%,18.76,101.45,30.71,0.22,7.70,#DIV/0!,#DIV/0!,151.80,5.19,56.40
62,4,2019,David Montgomery,Upside,9.61,81.00,0.68,Iowa State,3,6/7/97,28.33,JR,21.90,BELL CALF,#DIV/0!,70,222,31.85,4.57,3,0.00%,0.00%,13.58%,28.72%,28.47%,28.59%,25.73%,8.34%,5.01%,6.68%,6.01%,20.25,101.79,31.85,0.39,5.10,#DIV/0!,#DIV/0!,127.80,3.48,31.20
63,5,2015,TJ Yeldon,Upside,9.57,80.70,0.66,Alabama,1,10/2/93,32.01,JR,21.58,BRUISER,#DIV/0!,73,226,29.82,4.61,2,0.00%,0.00%,19.87%,26.02%,18.40%,22.21%,22.21%,6.14%,4.98%,5.56%,5.56%,18.93,100.08,29.81,0.25,6.33,#DIV/0!,#DIV/0!,69.30,2.59,24.80
64,6,2015,David Johnson,Upside,9.56,80.40,0.66,Northern Iowa,10,12/16/91,33.81,SR,23.38,FREAK,#DIV/0!,73,224,29.55,4.50,3,0.00%,28.60%,33.18%,39.64%,40.35%,40.35%,24.21%,17.23%,18.98%,18.98%,11.39%,19.72,109.25,29.55,0.25,5.82,#DIV/0!,#DIV/0!,85.00,4.15,35.27
65,6,2026,Justice Haynes,Upside,9.53,80.10,0.65,Michigan,2,8/23/04,21.11,JR,21.69,DYNAMIC,SLASHER,71,210,29.29,4.49,3,0.00%,0.00%,3.29%,10.95%,32.25%,32.25%,32.25%,3.49%,3.96%,3.96%,3.96%,21.04,103.34,29.29,0.23,8.14,#DIV/0!,#DIV/0!,125.70,4.71,59.40
66,4,2016,CJ Prosise,Upside,9.52,79.80,0.64,Notre Dame,2,5/20/94,31.38,SR,21.95,FREAK,#DIV/0!,73,220,29.03,4.48,3,0.00%,0.00%,1.97%,11.10%,25.92%,25.92%,25.92%,13.90%,10.83%,12.37%,12.37%,21.30,109.23,29.02,0.28,6.56,#DIV/0!,#DIV/0!,74.70,2.83,49.70
67,5,2024,MarShawn Lloyd,Upside,9.51,79.50,0.64,USC,5,1/5/01,24.74,RS JR,23.32,FREAK,#DIV/0!,69,220,32.49,4.46,3,0.00%,0.00%,7.31%,21.65%,20.37%,21.01%,17.86%,7.39%,6.33%,6.86%,5.83%,21.68,111.20,32.48,0.41,7.10,#DIV/0!,#DIV/0!,177.00,4.05,56.70
68,9,2025,Trevor Etienne,Upside,9.48,79.20,0.62,Georgia,1,7/9/04,21.23,JR,20.81,JITTERBUG,#DIV/0!,68,198,30.11,4.42,4,0.00%,0.00%,14.24%,20.62%,19.66%,20.14%,20.14%,6.03%,6.90%,6.90%,6.90%,19.17,103.75,30.10,0.27,5.82,#DIV/0!,#DIV/0!,118.80,4.08,45.20
69,3,2022,Rachaad White,Upside,9.47,78.80,0.62,Arizona State,5,1/12/99,26.73,SR,23.31,DYNAMIC,#DIV/0!,72,214,29.02,4.48,3,0.00%,0.00%,0.00%,31.13%,28.87%,30.00%,25.50%,19.43%,18.02%,18.73%,15.92%,21.66,106.25,29.02,0.24,10.00,#DIV/0!,#DIV/0!,100.00,4.17,60.70
70,10,2025,Jarquez Hunter,Upside,9.38,78.20,0.58,Auburn,1,10/29/02,22.93,JR,22.51,DYNAMIC,#DIV/0!,69,204,30.13,4.44,4,0.00%,12.50%,19.13%,24.42%,26.32%,26.32%,26.32%,6.06%,4.89%,5.48%,5.48%,19.87,104.99,30.12,0.38,6.46,#DIV/0!,#DIV/0!,164.50,4.10,48.00
70,10,2025,DJ Giddens,Upside,9.38,78.20,0.58,Kansas State,3,8/26/03,22.10,JR,21.68,DYNAMIC,#DIV/0!,72,212,28.75,4.43,5,0.00%,0.00%,10.52%,26.81%,31.25%,31.25%,28.13%,10.40%,10.17%,10.28%,9.26%,20.04,110.09,28.75,0.31,6.52,#DIV/0!,#DIV/0!,114.10,4.16,54.90
72,9,2020,Zack Moss,Upside,9.38,77.90,0.58,Utah,5,12/15/97,27.80,SR,22.37,BELL CALF,#DIV/0!,69,206,30.42,4.65,3,0.00%,6.86%,26.13%,20.59%,29.95%,29.95%,25.46%,1.66%,12.14%,12.14%,10.32%,19.73,88.12,30.42,0.38,6.10,#DIV/0!,#DIV/0!,176.80,4.45,44.50
