Rank,Class Rk,Year,Player Name,Tier,TE Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,BMI,40 Time,Draft,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,BOUT,Y/RR,Y/REC,YAC/R,aDOT,EPA/P,aYPTPA,CC%,Drop %,Speed,HaSS
11,1,2022,Trey McBride,Elite Upside,12.29,94.80,1.60,Colorado State,7,11/22/99,25.87,SR,22.45,76,246,29.94,4.54,2,0.00%,2.43%,15.29%,41.35%,38.79%,40.07%,30.45%,19.79,2.78,#DIV/0!,7.20,9.10,0.00,0.00,0.00,3.2%,115.81,121.77
12,3,2025,Harold Fannin Jr.,Elite Upside,12.05,94.30,1.50,Bowling Green,9,7/20/04,21.20,JR,20.78,75,238,29.75,4.71,3,0.00%,0.00%,7.74%,30.00%,49.71%,49.71%,34.80%,19.12,3.76,13.29,9.20,7.50,0.00,0.00,0.00,3.3%,96.72,99.70
13,2,2021,Pat Freiermuth,Elite Upside,11.95,93.90,1.46,Penn State,2,10/25/98,26.94,JR,22.53,77,251,29.76,4.68,2,0.00%,0.00%,14.05%,17.62%,30.27%,30.27%,30.27%,20.86,2.33,#DIV/0!,6.30,9.40,0.00,0.00,0.00,8.0%,104.65,112.21
14,4,2017,George Kittle,Elite Upside,11.94,93.40,1.45,Iowa,2,10/9/93,31.99,SR,23.56,76,247,30.07,4.52,5,0.00%,18.26%,3.52%,14.19%,22.41%,22.41%,22.41%,19.91,3.12,#DIV/0!,8.00,17.00,0.00,0.00,0.00,12.0%,118.35,124.44
15,1,2023,Sam LaPorta,Elite Upside,11.86,92.90,1.42,Iowa,2,1/12/01,24.72,SR,22.30,75,245,30.62,4.59,2,0.00%,13.69%,17.14%,26.57%,34.46%,34.46%,34.46%,19.66,2.15,#DIV/0!,6.30,7.10,0.00,0.00,0.00,9.4%,110.39,113.79
16,1,2016,Hunter Henry,Elite Upside,11.75,92.50,1.37,Arkansas,1,12/7/94,30.83,JR,21.40,77,258,30.59,4.67,2,0.00%,0.00%,27.54%,20.66%,21.63%,24.59%,24.59%,18.75,2.36,14.78,4.70,11.40,0.00,0.00,0.00,10848.8%,116.33,8.00
17,1,2018,Dallas Goedert,Elite Upside,11.74,92.00,1.37,South Dakota State,8,1/3/95,30.75,SR,23.33,77,256,30.36,4.69,2,0.00%,2.77%,14.89%,34.00%,30.29%,32.14%,24.43%,21.67,3.00,#DIV/0!,8.10,0.00,0.00,0.00,0.00,0.0%,105.82,113.47
18,2,2023,Dalton Kincaid,Elite Upside,11.48,91.50,1.26,Utah,5,10/18/99,25.96,SR,23.54,76,246,29.94,4.7,1,0.00%,0.00%,6.48%,18.31%,29.76%,29.76%,28.27%,21.88,2.42,#DIV/0!,5.70,8.70,0.00,0.00,0.00,2.8%,100.83,106.01
19,2,2018,Mark Andrews,Elite Upside,11.43,91.10,1.24,Oklahoma,3,9/6/95,30.08,JR,22.65,77,256,30.36,4.58,3,0.00%,0.00%,11.46%,12.81%,18.97%,18.97%,18.02%,22.01,2.63,#DIV/0!,6.60,12.90,0.00,0.00,0.00,4.6%,116.36,124.77
20,5,2017,Gerald Everett,Elite Upside,11.35,90.60,1.21,South Alabama,10,6/25/94,31.28,SR,22.85,75,239,29.87,4.62,2,0.00%,0.00%,18.89%,24.02%,24.68%,24.68%,17.28%,20.20,3.37,#DIV/0!,9.10,8.80,0.00,0.00,0.00,9.3%,104.92,108.15
21,3,2023,Michael Mayer,Elite Upside,11.26,90.10,1.17,Notre Dame,2,7/6/01,24.24,JR,21.82,77,249,29.53,4.7,2,0.00%,0.00%,15.80%,24.78%,32.55%,32.55%,32.55%,19.18,2.44,#DIV/0!,5.20,8.10,0.00,0.00,0.00,4.1%,102.06,109.43
22,1,2026,Eli Stowers,Elite Upside,11.13,89.70,1.12,Vanderbilt,1,4/15/03,22.47,RS SR,23.05,76,235,28.60,4.55,2,0.00%,0.00%,11.26%,27.73%,22.53%,25.13%,25.13%,21.38,3.53,12.88,8.40,7.80,0.00,0.00,0.00,10966.1%,115.30,9.00
23,4,2025,Terrance Ferguson,Elite Upside,11.00,89.20,1.06,Oregon,2,3/7/03,22.58,SR,22.16,77,245,29.05,4.63,2,0.00%,4.55%,10.56%,8.52%,17.62%,17.62%,17.62%,21.49,2.05,13.74,9.00,7.80,0.00,0.00,0.00,8.5%,106.63,114.33
24,2,2022,Greg Dulcich,Upside,10.94,88.70,1.04,UCLA,5,3/26/00,25.52,RS JR,22.10,76,243,29.58,4.7,3,0.00%,2.52%,8.22%,32.91%,29.14%,31.03%,29.47%,20.46,2.44,#DIV/0!,7.00,15.50,0.00,0.00,0.00,8.7%,99.60,104.72
25,3,2021,Hunter Long,Upside,10.94,88.30,1.04,Boston College,4,8/19/98,27.13,JR,22.71,77,254,30.12,4.71,3,0.00%,0.00%,11.96%,22.16%,20.22%,21.19%,20.13%,21.05,3.15,#DIV/0!,10.80,10.10,0.00,0.00,0.00,5.4%,103.22,110.68
26,4,2021,Brevin Jordan,Upside,10.81,87.80,0.98,Miami,4,7/16/00,25.22,JR,20.80,74,247,31.71,4.64,5,0.00%,0.00%,19.06%,22.07%,25.96%,25.96%,24.67%,18.14,2.70,#DIV/0!,9.30,8.20,0.00,0.00,0.00,7.3%,106.57,107.66
27,4,2023,Luke Musgrave,Upside,10.67,87.30,0.93,Oregon State,5,9/2/00,25.08,SR,22.66,78,251,29.01,4.66,2,0.00%,3.53%,11.20%,14.02%,23.15%,23.15%,21.99%,22.00,3.38,#DIV/0!,4.50,12.40,0.00,0.00,0.00,8.3%,106.45,116.38
28,2,2024,Ben Sinnott,Upside,10.50,86.90,0.86,Kansas State,3,6/14/02,23.30,RS JR,21.88,76,250,30.43,4.68,2,0.00%,0.00%,0.63%,15.17%,23.11%,23.11%,21.96%,20.22,2.00,13.94,6.80,10.10,0.00,0.00,0.00,0.0%,104.23,109.59
29,2,2026,Max Klare,Upside,10.49,86.40,0.85,Ohio State,2,7/8/03,22.24,RS JR,22.82,76,236,28.73,4.7,2,0.00%,0.00%,18.56%,30.99%,5.65%,18.32%,18.32%,20.15,2.22,13.41,6.20,0.00,0.00,0.00,0.20,9672.8%,101.70,6.00
30,6,2017,Jonnu Smith,Upside,10.38,85.90,0.81,FIU,10,8/22/95,30.12,SR,21.70,75,248,31.00,4.62,3,0.00%,22.64%,34.08%,20.55%,20.29%,27.18%,19.03%,18.04,1.92,#DIV/0!,8.10,7.40,0.00,0.00,0.00,17.6%,108.87,112.22
31,3,2026,Kenyon Sadiq,Upside,10.33,85.50,0.79,Oregon,2,6/1/04,21.34,JR,21.92,75,255,31.87,4.55,1,0.00%,0.00%,0.49%,7.85%,12.35%,12.35%,12.35%,N/A,2.10,12.28,11.80,0.00,0.00,0.00,0.17,11899.4%,122.66,2.00
32,3,2024,Ja'Tavion Sanders,Upside,10.28,85.00,0.77,Texas,3,3/27/03,22.52,JR,21.10,76,245,29.82,4.69,4,0.00%,0.00%,0.00%,19.53%,16.85%,18.19%,17.28%,19.44,1.85,15.16,7.70,9.80,0.00,0.00,0.00,0.0%,101.28,106.49
33,5,2025,Elijah Arroyo,Upside,10.23,84.50,0.75,Miami,5,5/1/03,22.42,SR,22.01,77,250,29.65,4.7,2,0.00%,2.08%,5.52%,0.71%,15.73%,15.73%,14.94%,20.34,1.70,16.86,10.00,11.00,0.00,0.00,0.00,2.8%,102.47,109.87
34,3,2019,Irv Smith Jr.,Upside,10.14,84.10,0.71,Alabama,1,8/9/98,27.15,JR,20.72,74,242,31.07,4.63,2,0.00%,0.00%,0.00%,7.35%,14.57%,14.57%,14.57%,N/A,2.56,#DIV/0!,8.20,10.30,0.00,0.00,0.00,8.3%,105.32,106.40
35,3,2022,Isaiah Likely,Upside,10.06,83.60,0.67,Coastal Carolina,8,4/18/00,25.46,SR,22.04,77,245,29.05,4.8,4,0.00%,8.22%,18.11%,25.96%,26.38%,26.38%,20.05%,19.38,2.99,#DIV/0!,7.00,13.70,0.00,0.00,0.00,1.7%,92.31,98.98
36,3,2018,Hayden Hurst,Upside,10.01,83.10,0.66,South Carolina,1,8/24/93,32.12,JR,24.69,76,250,30.43,4.67,1,0.00%,0.00%,10.22%,22.23%,20.01%,21.12%,21.12%,23.04,1.63,#DIV/0!,7.40,8.80,0.00,0.00,0.00,0.0%,105.12,110.53
37,1,2020,Cole Kmet,Upside,9.94,82.70,0.63,Notre Dame,2,3/10/99,26.57,JR,21.14,78,262,30.28,4.7,2,0.00%,0.00%,1.96%,6.99%,20.42%,20.42%,20.42%,20.50,1.55,#DIV/0!,5.00,9.20,0.00,0.00,0.00,4.4%,107.38,117.40
38,4,2019,Jace Sternberger,Upside,9.94,82.20,0.62,Texas A&M,1,6/26/96,29.27,JR,22.84,76,251,30.55,4.75,3,0.00%,0.00%,1.04%,0.00%,25.46%,25.46%,25.46%,22.19,2.01,#DIV/0!,8.30,11.30,0.00,0.00,0.00,5.8%,98.61,103.69
39,5,2019,Dawson Knox,Upside,9.82,81.70,0.58,Ole Miss,1,11/14/96,28.89,RS JR,22.46,76,254,30.92,4.59,3,0.00%,0.00%,0.00%,12.22%,12.81%,12.81%,12.81%,N/A,1.86,#DIV/0!,8.50,11.50,0.00,0.00,0.00,6.3%,114.45,120.34
40,5,2023,Tucker Kraft,Upside,9.74,81.30,0.54,South Dakota State,8,11/3/00,24.92,JR,22.49,77,254,30.12,4.69,3,0.00%,0.00%,5.25%,22.51%,24.20%,24.20%,18.39%,20.83,2.38,#DIV/0!,7.70,0.00,0.00,0.00,0.00,0.0%,105.00,112.58
41,6,2019,Caleb Wilson,Upside,9.71,80.80,0.53,UCLA,5,7/15/96,29.22,SR,22.79,76,240,29.21,4.56,7,0.00%,0.00%,9.30%,28.45%,36.89%,36.89%,35.05%,21.14,2.56,#DIV/0!,7.80,10.50,0.00,0.00,0.00,10.4%,111.02,116.73
42,7,2017,Adam Shaheen,Upside,9.69,80.30,0.52,Ashland,12,10/24/94,30.95,RS JR,22.52,78,278,32.13,4.79,2,0.00%,0.00%,0.00%,25.13%,28.41%,28.41%,14.20%,20.87,2.06,#DIV/0!,7.47,0.00,0.00,0.00,0.00,0.0%,105.62,115.46
43,5,2021,Kylen Granson,Upside,9.65,79.90,0.51,SMU,6,3/27/98,27.52,SR,23.11,74,242,31.07,4.46,4,17.70%,14.56%,0.00%,19.44%,16.86%,18.15%,15.43%,18.44,1.74,#DIV/0!,7.00,13.60,0.00,0.00,0.00,12.5%,122.32,123.57
44,2,2020,Harrison Bryant,Upside,9.59,79.40,0.48,FAU,10,4/23/98,27.45,SR,22.02,76,243,29.58,4.73,4,0.00%,5.00%,19.38%,23.17%,27.33%,27.33%,19.13%,19.37,3.04,#DIV/0!,6.10,10.10,0.00,0.00,0.00,11.0%,97.09,102.09
45,2,2015,Clive Walford,Upside,9.53,78.90,0.46,Miami,4,10/1/91,34.01,SR,23.59,76,258,31.40,4.79,3,0.00%,6.18%,12.72%,14.25%,22.51%,22.51%,21.38%,22.93,3.28,15.34,6.70,9.50,0.00,0.00,0.07,9801.8%,103.06,8.00
46,4,2018,Mike Gesicki,Upside,9.51,78.50,0.45,Penn State,2,10/3/95,30.01,SR,22.58,77,247,29.29,4.54,2,0.00%,4.88%,7.28%,18.60%,14.92%,16.76%,16.76%,20.93,2.20,#DIV/0!,5.90,11.00,0.00,0.00,0.00,5.0%,116.28,124.68
47,4,2024,Erick All,Upside,9.49,78.00,0.44,Iowa,2,9/13/00,25.05,RS SR,23.64,76,245,29.82,4.75,4,0.57%,5.46%,14.70%,5.46%,36.02%,36.02%,36.02%,22.97,2.62,14.24,9.00,8.70,0.00,0.00,0.00,0.0%,96.25,101.21
48,6,2023,Darnell Washington,Upside,9.45,77.50,0.42,Georgia,1,8/17/01,24.13,JR,21.71,79,272,30.64,4.64,3,0.00%,0.00%,14.12%,7.64%,10.23%,12.17%,12.17%,N/A,1.77,#DIV/0!,7.50,10.70,0.00,0.00,0.00,6.7%,117.36,130.78
49,3,2020,Brycen Hopkins,Upside,9.44,77.10,0.42,Purdue,2,3/27/97,28.52,RS SR,23.09,76,245,29.82,4.66,4,0.00%,10.34%,12.58%,15.80%,24.41%,24.41%,24.41%,21.44,1.96,#DIV/0!,8.30,9.60,0.00,0.00,0.00,11.6%,103.91,109.26
50,4,2020,Albert Okwuegbunam,Upside,9.37,76.60,0.39,Missouri,1,4/25/98,27.44,JR,22.01,77,258,30.59,4.49,4,0.00%,0.00%,14.73%,18.57%,15.27%,16.92%,16.92%,20.36,2.35,#DIV/0!,5.10,9.40,0.00,0.00,0.00,13.3%,126.96,136.13
51,4,2026,Jack Endries,Upside,9.32,76.10,0.37,Texas,1,6/1/04,21.34,JR,21.92,76,240,29.21,4.65,4,0.00%,0.00%,14.35%,18.53%,17.64%,18.08%,18.08%,20.25,2.30,11.13,6.20,0.00,0.00,0.00,0.13,10266.7%,107.95,6.00
52,5,2020,Hunter Bryant,Upside,9.22,75.70,0.33,Washington,5,8/20/98,27.12,JR,21.69,74,248,31.84,4.74,0,0.00%,0.00%,16.55%,19.97%,28.25%,28.25%,26.83%,19.05,3.45,#DIV/0!,7.80,14.90,0.00,0.00,0.00,8.8%,98.26,99.26
53,6,2025,Oronde Gadsden II,Upside,9.02,75.20,0.25,Syracuse,4,6/25/03,22.27,SR,21.85,77,243,28.82,4.62,5,0.00%,1.96%,32.04%,19.59%,19.42%,25.73%,24.44%,19.21,3.53,12.79,3.50,10.30,0.00,0.00,0.00,5.2%,106.68,114.39
54,6,2020,Adam Trautman,Upside Lite,8.94,74.70,0.21,Dayton,11,2/5/97,28.66,SR,23.23,77,255,30.24,4.8,3,0.00%,12.29%,27.72%,24.13%,33.73%,33.73%,20.24%,20.58,2.06,#DIV/0!,7.47,0.00,0.00,0.00,0.00,0.0%,96.07,103.02
55,4,2022,Jelani Woods,Upside Lite,8.92,74.20,0.20,Virginia,4,10/9/98,26.99,SR,23.57,79,259,29.18,4.61,3,0.00%,6.48%,5.55%,7.69%,13.85%,13.85%,13.15%,N/A,1.80,#DIV/0!,10.40,11.10,0.00,0.00,0.00,10.2%,114.69,127.80
56,8,2017,Jake Butt,Upside Lite,8.67,73.80,0.10,Michigan,2,7/11/95,30.24,SR,21.81,77,246,29.17,4.74,5,0.00%,10.54%,13.77%,21.13%,21.46%,21.46%,21.46%,20.15,1.99,#DIV/0!,6.40,8.60,0.00,0.00,0.00,9.8%,97.47,104.51
57,7,2023,Luke Schoonmaker,Upside Lite,8.62,73.30,0.08,Michigan,2,9/28/98,27.02,SR,24.59,77,251,29.76,4.63,2,0.00%,10.77%,0.00%,8.02%,15.84%,15.84%,15.84%,23.93,2.15,#DIV/0!,5.40,7.80,0.00,0.00,0.00,5.4%,109.24,117.13
58,7,2020,Jacob Breeland,Upside Lite,8.56,72.80,0.05,Oregon,5,11/20/97,27.87,RS SR,22.44,77,252,29.88,4.79,0,0.00%,15.45%,15.32%,15.21%,26.14%,26.14%,24.84%,18.79,2.81,#DIV/0!,7.20,10.00,0.00,0.00,0.00,7.1%,95.74,102.66
59,2,2016,Tyler Higbee,Upside Lite,8.50,72.40,0.03,Western Kentucky,10,1/1/93,32.76,SR,23.33,78,255,29.47,4.77,4,5.00%,0.00%,12.93%,5.59%,22.94%,22.94%,16.06%,22.68,2.30,14.79,6.60,13.40,0.00,0.00,0.05,9851.4%,107.70,4.00
60,5,2026,Eli Raridon,Upside Lite,8.41,71.90,-0.01,Notre Dame,2,2/12/04,21.64,SR,22.22,79,252,28.39,4.7,6,0.00%,0.00%,2.96%,2.84%,22.89%,22.89%,22.89%,21.55,2.76,8.18,9.40,7.60,0.00,0.00,0.18,10328.5%,115.09,8.00
61,3,2015,Mycole Pruitt,Upside Lite,8.40,71.40,-0.01,Southern Illinois,11,3/24/92,33.53,SR,23.11,74,245,31.46,4.58,5,0.00%,26.24%,0.00%,21.60%,30.32%,30.32%,18.19%,19.45,2.62,10.63,7.10,6.30,0.00,0.00,0.00,11136.1%,112.50,6.00
62,5,2022,Daniel Bellinger,Upside Lite,8.38,71.00,-0.02,San Diego State,7,9/22/00,25.03,SR,21.61,77,253,30.00,4.63,4,0.00%,5.35%,9.02%,16.76%,19.11%,19.11%,14.53%,19.97,1.66,#DIV/0!,9.10,8.60,0.00,0.00,0.00,0.0%,110.11,118.07
63,6,2026,Justin Joly,Upside Lite,8.33,70.50,-0.04,NC State,4,7/9/04,21.23,SR,21.81,75,251,31.37,4.7,5,0.00%,18.62%,25.66%,21.86%,14.13%,19.89%,18.90%,18.17,1.79,15.37,5.90,5.70,0.00,0.00,0.05,10287.6%,106.04,6.00
64,8,2020,Devin Asiasi,Upside Lite,8.31,70.00,-0.05,UCLA,5,8/14/97,28.14,RS JR,22.71,75,257,32.12,4.73,3,0.00%,2.12%,0.00%,13.67%,20.91%,20.91%,19.86%,22.07,1.94,#DIV/0!,5.60,13.60,0.00,0.00,0.00,2.2%,102.69,105.85
65,3,2016,Austin Hooper,Upside Lite,8.29,69.60,-0.06,Stanford,5,10/29/94,30.93,JR,21.51,76,254,30.92,4.72,3,0.00%,0.00%,0.00%,16.63%,14.77%,15.70%,14.92%,19.85,1.81,12.88,4.50,10.70,0.00,0.00,0.13,10235.2%,107.62,4.00
66,7,2019,Kahale Warring,Upside Lite,8.28,69.10,-0.06,San Diego State,7,3/23/97,28.53,RS JR,22.10,77,252,29.88,4.67,3,0.00%,0.00%,5.88%,20.99%,22.08%,22.08%,16.78%,20.45,1.52,#DIV/0!,5.70,11.40,0.00,0.00,0.00,11.4%,105.97,113.62
67,5,2018,Ian Thomas,Upside Lite,8.27,68.60,-0.06,Indiana,2,6/6/96,29.33,SR,21.90,76,259,31.53,4.74,4,0.00%,0.00%,0.00%,5.11%,15.51%,15.51%,15.51%,21.26,1.67,#DIV/0!,9.10,8.00,0.00,0.00,0.00,3.8%,102.62,107.90
68,9,2017,Bucky Hodges,Upside Lite,8.24,68.20,-0.08,Virginia Tech,4,8/8/95,30.16,JR,21.73,78,257,29.70,4.57,6,0.00%,0.00%,18.61%,19.86%,18.85%,19.35%,18.38%,19.08,1.60,#DIV/0!,4.40,15.10,0.00,0.00,0.00,12.7%,117.84,128.83
69,6,2022,Jake Ferguson,Upside Lite,8.09,67.70,-0.14,Wisconsin,2,1/18/99,26.71,SR,23.29,77,250,29.65,4.71,4,0.00%,22.24%,14.39%,24.07%,21.61%,24.07%,24.07%,19.63,1.73,#DIV/0!,5.30,6.70,0.00,0.00,0.00,9.1%,101.60,108.94
70,5,2024,Cade Stover,Upside Lite,8.07,67.20,-0.15,Ohio State,2,6/12/00,25.31,SR,23.89,76,247,30.07,4.65,4,0.00%,0.00%,1.66%,10.47%,12.49%,12.49%,12.49%,N/A,2.04,14.05,6.90,8.20,0.00,0.00,0.00,0.0%,105.66,111.10
71,8,2023,Will Mallory,Upside Lite,8.05,66.80,-0.16,Miami,4,6/2/99,26.34,RS SR,23.92,77,239,28.34,4.54,5,7.37%,19.60%,11.86%,9.82%,18.90%,19.25%,18.28%,20.26,1.68,#DIV/0!,7.20,6.90,0.00,0.00,0.00,4.5%,112.51,120.65
72,6,2021,Quintin Morris,Upside Lite,8.01,66.30,-0.17,Bowling Green,10,1/21/99,26.70,SR,22.28,74,243,31.20,4.6,0,0.00%,6.17%,18.01%,33.85%,34.83%,34.83%,24.38%,19.62,2.13,#DIV/0!,8.40,8.50,0.00,0.00,0.00,25.9%,108.54,109.65
73,7,2021,Zach Davidson,Outlier,7.91,65.80,-0.21,Central Missouri,12,7/15/98,27.22,RS SR,22.81,78,245,28.31,4.58,5,0.00%,0.00%,7.46%,19.87%,0.00%,9.93%,4.97%,21.14,2.06,22.35,7.47,0.00,0.00,0.00,0.00,0.0%,111.36,121.74
74,7,2026,Terrance Carter Jr,Outlier,7.90,65.40,-0.22,Texas Tech,3,6/1/03,22.34,RS JR,22.92,74,245,31.46,4.7,6,0.00%,0.00%,9.81%,21.37%,16.49%,18.93%,17.98%,21.25,2.86,14.40,8.40,8.70,0.00,0.00,0.06,10041.6%,101.44,5.00
75,6,2018,Jordan Akins,Outlier,7.90,64.90,-0.22,UCF,6,4/19/92,33.46,SR,26.04,75,249,31.12,4.93,3,0.00%,5.74%,27.20%,15.04%,15.46%,21.33%,18.13%,23.38,1.93,#DIV/0!,7.30,11.90,0.00,0.00,0.00,3.0%,84.30,86.90
76,4,2016,Thomas Duarte,Outlier,7.86,64.40,-0.23,UCLA,5,3/3/95,30.59,JR,21.17,74,245,31.46,4.72,7,0.00%,0.00%,8.51%,17.39%,23.19%,23.19%,22.03%,20.51,2.00,16.75,7.30,13.30,0.00,0.00,0.00,9872.5%,99.73,8.00
77,8,2019,Zach Gentry,Outlier,7.83,64.00,-0.25,Michigan,2,9/10/96,29.07,SR,22.64,80,265,29.11,4.9,5,0.00%,0.00%,0.00%,19.67%,19.86%,19.86%,19.86%,20.99,1.93,#DIV/0!,7.10,13.30,0.00,0.00,0.00,13.5%,91.94,104.40
78,5,2016,Jerell Adams,Outlier,7.80,63.50,-0.26,South Carolina,1,12/13/92,32.81,SR,23.39,77,254,30.12,4.64,6,0.00%,4.20%,10.53%,7.60%,16.91%,16.91%,16.91%,22.73,2.06,15.04,7.47,11.90,0.00,0.00,0.15,10959.5%,117.52,5.00
79,9,2019,Josh Oliver,Outlier,7.79,63.00,-0.26,San Jose State,7,3/21/97,28.54,SR,22.11,77,249,29.53,4.63,3,0.00%,4.06%,2.93%,14.95%,22.65%,22.65%,17.21%,21.46,1.76,#DIV/0!,4.70,10.30,0.00,0.00,0.00,6.7%,108.37,116.20
80,6,2024,Jaheim Bell,Outlier,7.74,62.60,-0.29,Florida State,4,6/14/01,24.30,RS JR,22.88,74,241,30.94,4.61,7,0.00%,5.16%,18.66%,7.53%,15.39%,17.02%,16.17%,20.24,1.96,12.90,8.10,7.90,0.00,0.00,0.00,0.0%,106.72,107.81
81,7,2022,Chigoziem Okonkwo,Outlier,7.72,62.10,-0.29,Maryland,2,9/8/99,26.07,SR,22.65,75,238,29.75,4.52,4,0.00%,6.10%,16.24%,0.00%,11.31%,13.77%,13.77%,19.99,1.45,#DIV/0!,5.20,5.00,0.00,0.00,0.00,8.9%,114.04,117.55
82,8,2022,Charlie Kolar,Outlier,7.71,61.60,-0.30,Iowa State,3,2/10/99,26.65,SR,23.23,78,252,29.12,4.89,4,0.00%,8.12%,17.22%,22.27%,24.13%,24.13%,22.93%,20.57,2.20,#DIV/0!,3.70,12.20,0.00,0.00,0.00,3.1%,88.14,96.36
83,9,2022,Cade Otton,Outlier,7.69,61.20,-0.30,Washington,5,4/15/99,26.47,RS JR,23.05,77,247,29.29,4.78,4,0.00%,9.12%,12.85%,28.48%,13.89%,21.18%,20.12%,21.41,2.72,#DIV/0!,5.90,8.50,0.00,0.00,0.00,6.7%,94.63,101.47
84,8,2026,John Michael Gyllenborg,Outlier,7.69,60.70,-0.31,Wyoming,7,6/1/03,22.34,SR,22.92,77,250,29.65,4.6,0,0.00%,1.32%,16.43%,25.64%,13.98%,19.81%,15.05%,20.25,2.65,14.10,7.90,0.00,0.00,0.00,0.27,11167.1%,119.74,4.00
85,7,2025,Gunnar Helm,Outlier,7.58,60.20,-0.35,Texas,1,12/10/02,22.81,SR,22.39,77,241,28.58,4.76,4,0.00%,0.00%,1.40%,4.74%,17.62%,17.62%,17.62%,21.73,1.64,13.10,7.00,7.10,0.00,0.00,0.00,3.2%,93.89,100.68
86,8,2021,Tre' McKitty,Outlier,7.56,59.80,-0.36,Georgia,1,1/12/99,26.73,SR,22.31,76,247,30.07,4.71,3,0.00%,11.72%,9.36%,10.01%,10.80%,11.26%,11.26%,N/A,1.33,#DIV/0!,9.50,9.20,0.00,0.00,0.00,14.3%,100.38,105.54
87,10,2022,James Mitchell,Outlier,7.51,59.30,-0.38,Virginia Tech,4,8/11/99,26.15,RS JR,22.73,76,249,30.31,4.77,5,0.00%,0.00%,15.69%,22.99%,11.90%,17.45%,16.57%,20.07,3.03,#DIV/0!,10.10,11.50,0.00,0.00,0.00,0.0%,96.20,101.15
