Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att,Yds,Y/A,TD
2014,Tennessee,524,13,7,6,0,.538,376,315,61,524,1903,3.6,20
2012,Vanderbilt,524,13,9,4,0,.692,390,243,147,524,2162,4.1,25
2022,Tennessee,523,13,11,2,0,.846,599,296,303,523,2593,5.0,40
2013,LSU,523,13,10,3,0,.769,465,286,179,523,2630,5.0,37
2010,South Carolina,522,14,9,5,0,.643,433,324,109,522,2161,4.1,26
2024,Oklahoma,521,13,6,7,0,.462,312,280,32,521,2017,3.9,17
2019,Georgia,520,14,12,2,0,.857,431,176,255,520,2602,5.0,21
2008,Ole Miss,520,13,9,4,0,.692,417,247,170,520,2424,4.7,21
2004,Tennessee,520,13,10,3,0,.769,378,295,83,520,2418,4.7,21
2024,Missouri,518,13,10,3,0,.769,376,265,111,518,2138,4.1,26
2022,LSU,517,14,10,4,0,.714,483,315,168,517,2574,5.0,39
2016,Tennessee,517,13,9,4,0,.692,473,375,98,517,2668,5.2,31
2014,Florida,517,12,7,5,0,.583,363,253,110,517,2252,4.4,22
2002,Tennessee,517,13,8,5,0,.615,296,227,69,517,1957,3.8,19
2016,Arkansas,516,13,7,6,0,.538,394,404,-10,516,2137,4.1,21
2003,Alabama,515,13,4,9,0,.308,331,333,-2,515,2066,4.0,17
2018,Mississippi State,514,13,8,5,0,.615,371,171,200,514,2907,5.7,26
2023,Auburn,513,13,6,7,0,.462,340,294,46,513,2457,4.8,22
2011,Mississippi State,513,13,7,6,0,.538,329,256,73,513,2279,4.4,19
2018,Auburn,512,13,8,5,0,.615,402,249,153,512,2177,4.3,25
2015,Arkansas,511,13,8,5,0,.615,467,356,111,511,2578,5.0,31
2015,Florida,510,14,10,4,0,.714,325,256,69,510,1792,3.5,19
2007,Georgia,509,13,11,2,0,.846,424,262,162,509,2304,4.5,32
2005,LSU,509,13,11,2,0,.846,383,185,198,509,1951,3.8,21
2019,LSU,508,15,15,0,0,1.000,726,328,398,508,2509,4.9,32
2011,Alabama,508,13,12,1,0,.923,453,106,347,508,2788,5.5,34
2007,Mississippi State,508,13,8,5,0,.615,279,301,-22,508,1784,3.5,18
2017,Texas A&M,506,13,7,6,0,.538,425,399,26,506,2023,4.0,26
2004,LSU,506,12,9,3,0,.750,344,205,139,506,2326,4.6,20
2015,LSU,505,12,9,3,0,.750,394,291,103,505,3082,6.1,35
2015,Texas A&M,505,13,8,5,0,.615,361,286,75,505,2198,4.4,12
2013,Vanderbilt,504,13,9,4,0,.692,391,320,71,504,1807,3.6,34
2010,Florida,504,13,8,5,0,.615,388,277,111,504,2165,4.3,31
2009,Ole Miss,503,13,9,4,0,.692,384,230,154,503,2387,4.7,22
2004,Alabama,502,12,6,6,0,.500,295,189,106,502,2221,4.4,21
2023,Georgia,501,14,13,1,0,.929,562,219,343,501,2677,5.3,40
2024,Ole Miss,500,13,10,3,0,.769,502,187,315,500,2284,4.6,29
2016,Missouri,500,12,4,8,0,.333,377,378,-1,500,2461,4.9,24
2016,Vanderbilt,497,13,6,7,0,.462,299,312,-13,497,2138,4.3,26
2011,Vanderbilt,497,13,6,7,0,.462,347,281,66,497,2138,4.3,26
2023,Missouri,496,13,11,2,0,.846,423,271,152,496,2236,4.5,25
2015,Vanderbilt,496,12,4,8,0,.333,182,252,-70,496,1864,3.8,9
2010,Ole Miss,496,12,4,8,0,.333,367,422,-55,496,2491,5.0,28
2008,LSU,495,13,8,5,0,.615,402,314,88,495,2168,4.4,27
2024,Arkansas,494,13,7,6,0,.538,402,325,77,494,2402,4.9,34
2001,Arkansas,494,11,7,5,0,.583,291,269,22,494,1950,3.9,23
2021,Florida,492,13,6,7,0,.462,399,348,51,492,2729,5.5,25
2021,Kentucky,491,13,10,3,0,.769,420,282,138,491,2597,5.3,27
2012,South Carolina,491,13,11,2,0,.846,410,237,173,491,1800,3.7,19
2003,Ole Miss,491,13,10,3,0,.769,442,285,157,491,1913,3.9,18
2022,Missouri,490,13,6,7,0,.462,323,327,-4,490,2024,4.1,20
2007,Alabama,490,13,7,6,0,.538,352,286,66,490,1940,4.0,19
2023,Tennessee,489,13,9,4,0,.692,413,264,149,489,2663,5.4,23
2024,Alabama,488,13,9,4,0,.692,439,226,213,488,2260,4.6,41
2022,Auburn,488,12,5,7,0,.417,297,354,-57,488,2470,5.1,25
2017,Kentucky,488,13,7,6,0,.538,332,367,-35,488,2102,4.3,27
2007,Florida,487,13,9,4,0,.692,552,331,221,487,2602,5.3,39
2013,Georgia,486,13,8,5,0,.615,477,377,100,486,2209,4.5,26
2007,Kentucky,485,13,8,5,0,.615,475,385,90,485,2021,4.2,20
2017,Missouri,484,13,7,6,0,.538,488,414,74,484,2529,5.2,16
2016,Texas A&M,484,13,8,5,0,.615,453,319,134,484,2754,5.7,28
2015,Georgia,484,13,10,3,0,.769,342,220,122,484,2475,5.1,22
2013,Florida,482,12,4,8,0,.333,226,253,-27,482,1749,3.6,14
2007,Vanderbilt,481,12,5,7,0,.417,260,271,-11,481,1802,3.7,13
2005,Arkansas,481,11,4,7,0,.364,283,271,12,481,2386,5.0,19
2005,Auburn,481,12,9,3,0,.750,386,186,200,481,2329,4.8,28
2002,Vanderbilt,481,12,2,10,0,.167,221,368,-147,481,2082,4.3,18
2014,South Carolina,479,13,7,6,0,.538,424,395,29,479,2093,4.4,23
2009,Tennessee,477,13,7,6,0,.538,381,289,92,477,2043,4.3,19
2003,Vanderbilt,477,12,2,10,0,.167,235,358,-123,477,1740,3.6,10
2002,South Carolina,477,12,5,7,0,.417,225,262,-37,477,2004,4.2,16
2020,Alabama,476,13,13,0,0,1.000,630,252,378,476,2387,5.0,37
2019,Missouri,476,12,6,6,0,.500,304,233,71,476,1820,3.8,14
2014,Ole Miss,476,13,9,4,0,.692,368,208,160,476,2021,4.2,21
2006,Florida,476,14,13,1,0,.929,416,189,227,476,2240,4.7,24
2024,Vanderbilt,475,13,7,6,0,.538,355,304,51,475,1817,3.8,18
2016,South Carolina,475,13,6,7,0,.462,270,344,-74,475,1747,3.7,20
2013,Arkansas,474,12,3,9,0,.250,248,369,-121,474,2504,5.3,14
2023,Arkansas,472,12,4,8,0,.333,319,335,-16,472,1668,3.5,9
2022,Florida,472,13,6,7,0,.462,384,375,9,472,2603,5.5,29
2001,Alabama,472,11,7,5,0,.583,304,219,85,472,2490,5.3,19
2008,Vanderbilt,471,13,7,6,0,.538,249,255,-6,471,1737,3.7,13
2006,Auburn,470,13,11,2,0,.846,322,181,141,470,1927,4.1,21
2011,Florida,469,13,7,6,0,.538,331,264,67,469,1859,4.0,17
2008,Auburn,469,12,5,7,0,.417,208,216,-8,469,1650,3.5,12
2010,Alabama,467,13,10,3,0,.769,464,176,288,467,2378,5.1,30
2004,Arkansas,467,11,5,6,0,.455,328,270,58,467,2061,4.4,22
2021,South Carolina,465,13,7,6,0,.538,294,312,-18,465,1783,3.8,9
2013,Texas A&M,465,13,9,4,0,.692,575,419,156,465,2406,5.2,33
2002,Florida,465,13,8,5,0,.615,336,279,57,465,1771,3.8,20
2004,South Carolina,464,11,6,5,0,.545,243,229,14,464,1856,4.0,14
2022,Kentucky,463,13,7,6,0,.538,265,250,15,463,1511,3.3,9
2021,Missouri,463,13,6,7,0,.462,378,440,-62,463,2344,5.1,21
2015,Ole Miss,463,13,10,3,0,.769,531,294,237,463,2380,5.1,29
2005,Alabama,463,12,10,2,0,.833,263,128,135,463,1710,3.7,12
2004,Georgia,463,12,10,2,0,.833,335,198,137,463,1882,4.1,16
2003,South Carolina,463,12,5,7,0,.417,268,314,-46,463,1937,4.2,21
2003,Tennessee,463,13,10,3,0,.769,365,239,126,463,1800,3.9,16
2020,Ole Miss,462,10,5,5,0,.500,392,383,9,462,2110,4.6,23
2017,Arkansas,462,12,4,8,0,.333,345,434,-89,462,2016,4.4,24
2000,Auburn,462,12,9,4,0,.692,288,235,53,462,1960,4.2,19
2000,Mississippi State,462,11,8,4,0,.667,347,265,82,462,2123,4.6,27
2024,Florida,461,13,8,5,0,.615,368,300,68,461,2096,4.5,26
2013,Alabama,461,13,11,2,0,.846,496,181,315,461,2673,5.8,28
2019,Tennessee,460,13,8,5,0,.615,314,282,32,460,1876,4.1,13
2013,Tennessee,460,12,5,7,0,.417,286,348,-62,460,2261,4.9,18
2011,Ole Miss,460,12,2,10,0,.167,193,385,-192,460,1555,3.4,12
2007,Tennessee,459,14,10,4,0,.714,455,382,73,459,1946,4.2,19
2022,Alabama,458,13,11,2,0,.846,534,236,298,458,2542,5.6,26
2016,LSU,458,12,8,4,0,.667,340,189,151,458,2797,6.1,30
2023,Texas A&M,456,13,7,6,0,.538,433,287,146,456,1770,3.9,23
2010,Georgia,455,13,6,7,0,.462,417,287,130,455,1854,4.1,21
2006,Alabama,455,13,6,7,0,.462,298,250,48,455,1600,3.5,10
2005,Florida,455,12,9,3,0,.750,343,226,117,455,1761,3.9,19
2005,Georgia,455,13,10,3,0,.769,384,213,171,455,2108,4.6,16
2003,Florida,454,13,8,5,0,.615,390,271,119,454,1898,4.2,21
2012,Missouri,453,12,5,7,0,.417,309,341,-32,453,1662,3.7,16
2001,Tennessee,453,12,11,2,0,.846,355,234,121,453,1849,4.1,19
2016,Florida,452,13,9,4,0,.692,311,218,93,452,1667,3.7,11
2010,Kentucky,452,13,6,7,0,.462,406,369,37,452,2061,4.6,26
2009,Vanderbilt,451,12,2,10,0,.167,196,280,-84,451,1920,4.3,12
2001,LSU,451,12,10,3,0,.769,371,268,103,451,1840,4.1,28
2006,LSU,450,13,11,2,0,.846,438,164,274,450,2155,4.8,25
2001,South Carolina,450,11,9,3,0,.750,279,202,77,450,2053,4.6,20
2009,Georgia,447,13,8,5,0,.615,376,337,39,447,2093,4.7,17
2022,Vanderbilt,445,12,5,7,0,.417,295,432,-137,445,1919,4.3,13
2021,LSU,444,13,6,7,0,.462,345,346,-1,444,1488,3.4,9
2014,Kentucky,444,12,5,7,0,.417,350,375,-25,444,1838,4.1,21
2008,Kentucky,444,13,7,6,0,.538,294,279,15,444,1657,3.7,18
2024,Kentucky,443,12,4,8,0,.333,247,265,-18,443,1747,3.9,11
2018,South Carolina,442,13,7,6,0,.538,391,354,37,442,1993,4.5,15
2021,Auburn,440,13,6,7,0,.462,368,283,85,440,2111,4.8,22
2018,Arkansas,440,12,2,10,0,.167,260,417,-157,440,1720,3.9,11
2004,Ole Miss,439,11,4,7,0,.364,215,278,-63,439,1748,4.0,13
2004,Vanderbilt,439,11,2,9,0,.182,212,286,-74,439,1634,3.7,16
2000,Tennessee,439,11,8,4,0,.667,359,212,147,439,1790,4.1,20
2012,Auburn,438,12,3,9,0,.250,224,340,-116,438,1781,4.1,16
2001,Auburn,437,11,7,5,0,.583,244,265,-21,437,1665,3.8,17
2019,Alabama,435,13,11,2,0,.846,614,242,372,435,2193,5.0,27
2009,LSU,435,13,9,4,0,.692,323,211,112,435,1596,3.7,15
2009,South Carolina,435,13,7,6,0,.538,268,265,3,435,1576,3.6,12
2003,Kentucky,434,12,4,8,0,.333,328,321,7,434,1501,3.5,24
2020,Kentucky,433,11,5,6,0,.455,240,285,-45,433,2165,5.0,19
2018,Vanderbilt,433,13,6,7,0,.462,370,346,24,433,2179,5.0,22
2001,Georgia,432,11,8,4,0,.667,315,208,107,432,1787,4.1,16
2013,Kentucky,431,12,2,10,0,.167,246,374,-128,431,1775,4.1,16
2023,LSU,430,13,10,3,0,.769,592,364,228,430,2659,6.2,34
2002,Kentucky,430,12,7,5,0,.583,385,301,84,430,1782,4.1,19
2024,Georgia,429,14,11,3,0,.786,441,288,153,429,1742,4.1,24
2011,Kentucky,428,12,5,7,0,.417,190,296,-106,428,1490,3.5,9
2015,Mississippi State,427,13,9,4,0,.692,447,302,145,427,1873,4.4,21
2008,Georgia,426,13,10,3,0,.769,409,319,90,426,1928,4.5,21
2006,Georgia,426,13,9,4,0,.692,327,229,98,426,1656,3.9,21
2000,Arkansas,425,11,6,6,0,.500,264,258,6,425,1653,3.9,18
2012,Mississippi State,424,13,8,5,0,.615,383,303,80,424,1874,4.4,18
2021,Vanderbilt,423,12,2,10,0,.167,189,430,-241,423,1482,3.5,8
2019,Texas A&M,423,13,8,5,0,.615,384,293,91,423,2077,4.9,24
2015,South Carolina,423,12,3,9,0,.250,263,330,-67,423,1856,4.4,11
2016,Ole Miss,422,12,5,7,0,.417,391,408,-17,422,1793,4.2,17
2006,Ole Miss,422,12,4,8,0,.333,188,275,-87,422,1504,3.6,11
2001,Ole Miss,422,11,7,4,0,.636,391,310,81,422,1587,3.8,23
2023,Florida,421,12,5,7,0,.417,341,331,10,421,1798,4.3,21
2014,Texas A&M,421,13,8,5,0,.615,458,365,93,421,1949,4.6,20
2010,Arkansas,421,13,10,3,0,.769,474,304,170,421,1935,4.6,22
2010,Vanderbilt,421,12,2,10,0,.167,203,374,-171,421,1666,4.0,13
2002,Mississippi State,421,12,3,9,0,.250,227,339,-112,421,1431,3.4,10
2024,Mississippi State,419,12,2,10,0,.167,310,409,-99,419,1655,3.9,19
2015,Kentucky,419,12,5,7,0,.417,296,329,-33,419,1952,4.7,22
2018,Ole Miss,418,12,5,7,0,.417,407,434,-27,418,1979,4.7,24
2008,South Carolina,417,13,7,6,0,.538,270,274,-4,417,1223,2.9,7
2004,Florida,415,12,7,5,0,.583,382,253,129,415,1870,4.5,20
2018,Tennessee,414,12,5,7,0,.417,273,335,-62,414,1560,3.8,15
2006,South Carolina,414,13,8,5,0,.615,346,243,103,414,1876,4.5,19
2012,Tennessee,413,12,5,7,0,.417,434,428,6,413,1924,4.7,18
2002,Ole Miss,413,13,7,6,0,.538,351,331,20,413,1226,3.0,20
2021,Texas A&M,412,12,8,4,0,.667,352,191,161,412,2206,5.4,17
2017,Tennessee,412,12,4,8,0,.333,238,349,-111,412,1415,3.4,14
2011,Arkansas,412,13,11,2,0,.846,478,289,189,412,1786,4.3,25
2022,South Carolina,411,13,8,5,0,.615,418,375,43,411,1545,3.8,27
2006,Kentucky,411,13,8,5,0,.615,347,369,-22,411,1282,3.1,12
2008,Tennessee,409,12,5,7,0,.417,208,201,7,409,1475,3.6,14
2010,Tennessee,408,13,6,7,0,.462,351,326,25,408,1420,3.5,14
2000,Ole Miss,408,11,7,5,0,.583,314,280,34,408,1615,4.0,18
2000,South Carolina,406,11,8,4,0,.667,259,174,85,406,1727,4.3,21
2024,Auburn,404,12,5,7,0,.417,333,256,77,404,1986,4.9,13
2017,South Carolina,404,13,9,4,0,.692,315,269,46,404,1599,4.0,16
2012,Kentucky,403,12,2,10,0,.167,215,372,-157,403,1665,4.1,13
2023,Mississippi State,401,12,5,7,0,.417,262,319,-57,401,1761,4.4,12
2004,Mississippi State,401,11,3,8,0,.273,173,280,-107,401,1744,4.3,11
2017,Florida,400,11,4,7,0,.364,243,300,-57,400,1720,4.3,15
2005,Tennessee,399,11,5,6,0,.455,205,205,0,399,1411,3.5,10
2008,Mississippi State,398,12,4,8,0,.333,183,296,-113,398,1207,3.0,13
2015,Missouri,397,12,5,7,0,.417,163,194,-31,397,1385,3.5,5
2001,Mississippi State,397,11,3,8,0,.273,196,288,-92,397,1415,3.6,10
2019,South Carolina,396,12,4,8,0,.333,269,313,-44,396,1796,4.5,18
2019,Florida,395,13,11,2,0,.846,432,201,231,395,1690,4.3,21
2009,Arkansas,395,13,8,5,0,.615,468,326,142,395,1713,4.3,23
2020,Arkansas,394,10,3,7,0,.300,257,349,-92,394,1513,3.8,11
2006,Mississippi State,394,12,3,9,0,.250,221,309,-88,394,1142,2.9,14
2000,Georgia,394,11,8,4,0,.667,294,198,96,394,1451,3.7,18
2000,LSU,393,11,8,4,0,.667,292,221,71,393,1442,3.7,13
2020,Auburn,392,11,6,5,0,.545,276,272,4,392,1788,4.6,16
2011,Tennessee,392,12,5,7,0,.417,244,271,-27,392,1081,2.8,11
2005,Kentucky,391,11,3,8,0,.273,239,375,-136,391,1415,3.6,21
2006,Vanderbilt,385,12,4,8,0,.333,264,284,-20,385,1795,4.7,18
2005,Mississippi State,385,11,3,8,0,.273,153,259,-106,385,1514,3.9,9
2000,Alabama,384,11,3,8,0,.273,228,246,-18,384,1514,3.9,17
2014,Vanderbilt,383,12,3,9,0,.250,206,399,-193,383,1311,3.4,7
2007,South Carolina,382,12,6,6,0,.500,313,282,31,382,1364,3.6,16
2006,Tennessee,382,13,9,4,0,.692,362,254,108,382,1404,3.7,17
2007,Ole Miss,379,12,3,9,0,.250,241,342,-101,379,1578,4.2,8
2008,Arkansas,378,12,5,7,0,.417,263,374,-111,378,1362,3.6,13
2020,Georgia,377,10,8,2,0,.800,323,200,123,377,1742,4.6,18
2020,Tennessee,375,10,3,7,0,.300,215,301,-86,375,1415,3.8,12
2020,Texas A&M,375,10,9,1,0,.900,326,217,109,375,2052,5.5,21
2019,Arkansas,375,12,2,10,0,.167,257,442,-185,375,1767,4.7,14
2024,LSU,373,13,9,4,0,.692,396,316,80,373,1513,4.1,15
2003,Mississippi State,371,12,2,10,0,.167,225,471,-246,371,1424,3.8,13
2023,South Carolina,369,12,5,7,0,.417,312,316,-4,369,1021,2.8,17
2020,South Carolina,369,10,2,8,0,.200,235,360,-125,369,1679,4.6,21
2017,Ole Miss,369,12,6,6,0,.500,394,415,-21,369,1609,4.4,19
2020,Florida,367,12,8,4,0,.667,478,370,108,367,1575,4.3,12
2012,Arkansas,367,12,4,8,0,.333,282,365,-83,367,1424,3.9,12
2001,Vanderbilt,367,11,2,9,0,.182,226,402,-176,367,1475,4.0,17
2022,Texas A&M,366,12,5,7,0,.417,273,254,19,366,1698,4.6,12
2020,LSU,365,10,5,5,0,.500,320,349,-29,365,1217,3.3,9
2005,South Carolina,365,12,7,5,0,.583,284,279,5,365,1142,3.1,13
2005,Vanderbilt,361,11,5,6,0,.455,299,321,-22,361,1266,3.5,16
2000,Florida,361,12,10,3,0,.769,448,236,212,361,1326,3.7,20
2019,Vanderbilt,359,12,3,9,0,.250,198,381,-183,359,1521,4.2,11
2004,Kentucky,355,11,2,9,0,.182,173,341,-168,355,1185,3.3,11
2020,Missouri,351,10,5,5,0,.500,267,323,-56,351,1352,3.9,21
2023,Vanderbilt,349,12,2,10,0,.167,274,434,-160,349,1143,3.3,10
2017,Vanderbilt,348,12,5,7,0,.417,295,376,-81,348,1291,3.7,14
2023,Kentucky,339,13,7,6,0,.538,378,336,42,339,1662,4.9,18
2000,Vanderbilt,338,11,3,8,0,.273,193,273,-80,338,1062,3.1,8
2005,Ole Miss,332,11,3,8,0,.273,148,245,-97,332,806,2.4,6
2020,Vanderbilt,329,9,0,9,0,.000,133,336,-203,329,991,3.0,4
2001,Florida,324,11,10,2,0,.833,482,155,327,324,1346,4.2,16
2000,Kentucky,305,11,2,9,0,.182,254,383,-129,305,1211,4.0,9
2022,Mississippi State,295,13,9,4,0,.692,411,300,111,295,1062,3.6,12
2001,Kentucky,286,11,2,9,0,.182,259,367,-108,286,1180,4.1,10
2021,Mississippi State,270,13,7,6,0,.538,378,337,41,270,821,3.0,10
2020,Mississippi State,204,11,4,7,0,.364,235,309,-74,204,483,2.4,8
2014,Ohio State,690,15,14,1,0,.933,672,330,342,690,3967,5.7,41
2003,Minnesota,683,13,10,3,0,.769,503,285,218,683,3759,5.5,46
2012,Nebraska,662,14,10,4,0,.714,487,386,101,662,3547,5.4,33
2019,Ohio State,660,14,13,1,0,.929,656,192,464,660,3742,5.7,39
2016,Wisconsin,658,14,11,3,0,.786,397,218,179,658,2843,4.3,31
2014,Wisconsin,648,14,11,3,0,.786,484,291,193,648,4482,6.9,46
2002,Wisconsin,645,14,8,6,0,.571,372,322,50,645,2663,4.1,30
2013,Ohio State,635,14,12,2,0,.857,637,317,320,635,4321,6.8,45
2012,Wisconsin,635,14,8,6,0,.571,414,268,146,635,3309,5.2,38
2002,Ohio State,629,14,14,0,0,1.000,410,183,227,629,2678,4.3,31
2017,Wisconsin,626,14,13,1,0,.929,473,195,278,626,3125,5.0,28
2010,Illinois,619,13,7,6,0,.538,423,305,118,619,3199,5.2,29
2024,Penn State,615,16,13,3,0,.813,530,264,266,615,3237,5.3,35
2011,Nebraska,611,13,9,4,0,.692,379,304,75,611,2824,4.6,31
2005,Minnesota,610,12,7,5,0,.583,429,348,81,610,3277,5.4,34
2011,Wisconsin,609,14,11,3,0,.786,618,266,352,609,3298,5.4,48
2019,Wisconsin,606,14,10,4,0,.714,477,237,240,606,3272,5.4,38
2022,Michigan,600,14,13,1,0,.929,566,225,341,600,3345,5.6,41
2015,Northwestern,600,13,10,3,0,.769,254,242,12,600,2451,4.1,16
2014,Minnesota,599,13,8,5,0,.615,369,314,55,599,2801,4.7,32
2021,Minnesota,596,13,9,4,0,.692,331,225,106,596,2591,4.3,27
2012,Northwestern,595,13,10,3,0,.769,412,293,119,595,2932,4.9,31
2007,Illinois,595,13,9,4,0,.692,362,283,79,595,3338,5.6,28
2014,Michigan State,594,13,11,2,0,.846,559,280,279,594,3057,5.1,44
2003,Northwestern,593,13,6,7,0,.462,263,326,-63,593,2759,4.7,30
2015,Indiana,592,13,6,7,0,.462,475,489,-14,592,2736,4.6,27
2017,Ohio State,588,14,12,2,0,.857,576,266,310,588,3408,5.8,34
