Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %,DOM++,RDOM++,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs
12,1,2021,Travis Etienne,Elite,12.72,96.30,2.00,Clemson,4,1/26/99,26.69,SR,22.27,FREAK,3DOWN,70,215,4.45,1,0.00%,13.65%,21.91%,25.81%,25.07%,25.44%,22.89%,10.01%,14.06%,14.06%,12.65%,19.61,109.65,30.85,0.44,7.80,12.30,0.22,213.90,5.07,59.30,4.00,9.00,6.00,9.00,10.00,9.00,9.00,8.00,10.0,0.00,0,2546,0,30,0,0,0.00,0.00,0.00,0.00,0,5009,0,0,45,764,2717,13,40,107,30,7.10,129.20,4.82,50.00,57,3297,5,0,17,1655,3723,24,49,204,52,8.10,112.30,4.33,59.30,78,4185,4,0,37,1614,3606,19,45,207,91,7.80,213.90,5.07,51.20,433,4325,37,0,40,923,1846,14,33,166,44,5.60,102.40,3.84,40.20,588,4182,48,0,31
13,3,2017,Dalvin Cook,Elite,12.44,96.00,1.88,Florida State,4,8/10/95,30.15,JR,21.73,DYNAMIC,3DOWN,70,210,4.49,2,0.00%,0.00%,19.40%,35.20%,36.96%,36.96%,33.27%,7.34%,13.92%,13.92%,12.53%,19.07,103.34,30.13,0.32,7.40,11.58,0.10,128.10,4.19,62.90,9.00,9.00,8.00,7.00,8.00,8.00,8.00,8.00,7.0,0.00,0,2882,0,0,0,0,0.00,0.00,0.00,0.00,0,3709,0,0,0,0,2844,0,0,0,0,0.00,0.00,0.00,0.00,0,4423,0,0,0,1006,1933,8,0,170,38,5.90,74.50,3.41,50.90,193,4246,22,0,0,1696,2187,19,0,229,56,7.40,107.40,4.00,62.90,244,3325,24,0,0,1763,2630,19,0,288,91,6.10,128.10,4.19,45.20,478,3433,33,0,0
14,1,2022,Breece Hall,Elite,12.31,95.70,1.82,Iowa State,3,5/31/01,24.34,JR,20.92,FREAK,SLASHER,71,217,4.39,2,0.00%,0.00%,19.91%,33.29%,32.07%,32.68%,29.41%,6.25%,9.04%,9.04%,8.13%,18.26,116.85,30.26,0.30,5.80,9.06,0.13,103.80,3.58,53.30,8.00,8.00,10.00,10.00,8.00,4.00,4.00,3.00,7.0,1.00,0,1470,0,16,0,0,0.00,0.00,0.00,0.00,0,3548,0,0,27,0,1691,0,20,0,0,0.00,0.00,0.00,0.00,0,3132,0,0,20,898,1729,9,22,184,56,4.90,103.80,3.58,34.90,252,4047,23,0,29,1562,2340,21,31,280,63,5.60,81.80,3.34,46.40,181,2896,22,0,20,1460,2089,20,25,251,76,5.80,88.80,2.83,53.30,310,3430,37,0,22
15,2,2015,Melvin Gordon,Elite,12.12,95.40,1.74,Wisconsin,2,4/13/93,32.48,SR,22.05,BELL COW,SLASHER,73,215,4.52,1,0.00%,5.21%,12.46%,25.90%,41.84%,41.84%,41.84%,0.27%,7.35%,7.35%,7.35%,20.40,103.02,28.36,0.22,7.81,10.36,0.05,77.20,3.58,56.70,10.00,7.00,4.00,6.00,5.00,9.00,4.00,4.00,10.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,98,942,1,0,98,0,0.00,0.00,0.00,0.00,0,937,0,0,0,621,2197,3,0,62,0,10.02,0.00,0.00,0.00,65,3309,2,1,0,1609,2562,12,0,206,0,7.81,0.00,0.00,0.00,10,3689,1,0,0,2593,4481,29,46,343,76,7.56,77.20,3.58,56.70,153,2082,19,3,15
16,4,2017,Joe Mixon,Elite Upside,11.91,95.10,1.65,Oklahoma,3,7/24/96,29.20,RS SO,20.77,FREAK,3DOWN,71,226,4.43,2,0.00%,0.00%,0.00%,16.16%,25.31%,25.31%,22.77%,8.94%,13.01%,13.01%,11.71%,19.12,117.36,31.52,0.27,6.90,13.78,0.17,97.70,3.82,56.20,4.00,9.00,7.00,10.00,7.00,7.00,6.00,5.00,7.0,1.00,0,2098,0,0,0,0,0.00,0.00,0.00,0.00,0,4374,0,0,0,0,2911,0,0,0,0,0.00,0.00,0.00,0.00,0,2588,0,0,0,0,3395,0,0,0,0,0.00,0.00,0.00,0.00,0,2646,0,0,0,756,2887,7,0,114,31,6.60,97.70,3.65,47.20,358,4006,28,0,0,1287,3078,10,0,187,48,6.90,97.20,3.82,56.20,538,4134,37,0,0
17,2,2020,J.K. Dobbins,Elite Upside,11.89,94.80,1.65,Ohio State,2,12/17/98,26.80,JR,21.36,DYNAMIC,HORSE,69,209,4.39,2,0.00%,0.00%,21.67%,17.55%,30.33%,30.33%,30.33%,5.16%,6.70%,6.70%,6.70%,18.72,112.54,30.86,0.24,6.70,13.16,0.07,92.90,4.25,47.50,8.00,7.00,9.00,9.00,6.00,7.00,3.00,6.00,7.0,0.75,0,3188,0,39,0,0,0.00,0.00,0.00,0.00,0,2455,0,0,19,0,3188,0,33,0,0,0.00,0.00,0.00,0.00,0,2781,0,0,26,1400,3405,7,34,194,31,7.20,62.90,4.25,46.40,135,3679,22,0,39,1053,2398,10,23,231,38,4.60,43.90,2.68,15.40,263,5100,4,0,51,2003,3735,21,39,301,73,6.70,92.90,4.01,47.50,247,3684,23,0,48
18,2,2021,Javonte Williams,Elite Upside,11.78,94.40,1.60,North Carolina,4,4/25/00,25.44,JR,21.02,BELL CALF,3DOWN,70,212,4.57,2,0.00%,0.00%,5.80%,18.06%,22.40%,22.40%,20.16%,4.74%,7.63%,7.63%,6.87%,19.36,97.21,30.42,0.48,7.40,11.09,0.13,215.40,4.59,56.50,4.00,7.00,7.00,4.00,10.00,8.00,9.00,7.00,7.0,1.00,0,1896,0,21,0,0,0.00,0.00,0.00,0.00,0,3811,0,0,30,0,1730,0,17,0,0,0.00,0.00,0.00,0.00,0,2705,0,0,21,224,2123,5,19,43,10,5.20,98.50,3.35,17.00,58,2740,5,0,14,937,2446,5,13,165,56,5.70,140.60,4.19,33.90,176,3716,17,0,39,1168,2830,19,35,157,76,7.40,215.40,4.59,56.50,276,3617,24,0,31
19,1,2024,Jonathon Brooks,Elite Upside,11.63,94.10,1.54,Texas,3,7/21/03,22.20,JR,20.78,BELL COW,3DOWN,72,216,4.55,2,0.00%,0.00%,9.12%,7.78%,27.05%,27.05%,24.35%,2.19%,8.99%,8.99%,8.09%,20.14,100.79,29.29,0.34,6.57,11.96,0.12,140.30,5.07,54.30,6.00,8.00,4.00,6.00,9.00,6.00,7.00,8.00,7.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,143,798,1,8,21,11,6.81,281.40,4.76,39.90,12,902,1,0,10,197,1317,5,15,30,8,6.57,126.70,5.07,54.30,37,1690,2,1,12,1135,2072,10,23,187,63,6.10,140.30,3.91,43.30,286,3180,25,1,20
20,2,2016,Derrick Henry,Elite Upside,11.50,93.80,1.48,Alabama,1,1/4/94,31.75,JR,22.33,BRUISER,PLODDER,75,247,4.54,2,0.00%,0.00%,9.76%,16.56%,36.19%,36.19%,36.19%,3.42%,2.73%,3.07%,3.07%,20.67,116.28,30.87,0.19,5.76,14.35,0.02,71.60,3.38,36.60,10.00,3.00,3.00,10.00,5.00,3.00,5.00,4.00,7.0,2.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,382,2056,3,22,0,0,0.00,0.00,0.00,0.00,61,2485,5,1,23,990,2892,11,35,172,31,5.76,61.60,3.03,32.50,133,3891,5,2,32,2225,2999,28,33,396,76,5.62,71.60,3.38,36.60,93,3407,10,0,23
21,3,2025,TreVeyon Henderson,Elite Upside,11.48,93.50,1.47,Ohio State,2,10/22/02,22.95,SR,22.53,DYNAMIC,+RECEIVER,70,202,4.43,2,0.00%,21.36%,15.39%,30.14%,18.79%,24.47%,24.47%,10.00%,6.68%,8.34%,8.34%,18.87,104.90,28.98,0.26,6.97,11.46,0.15,108.90,4.43,53.90,6.00,8.00,8.00,7.00,6.00,7.00,5.00,6.00,7.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,1248,2350,15,23,183,50,6.82,116.90,4.31,47.50,312,4952,27,4,46,576,1539,6,18,106,14,5.43,37.00,2.72,28.30,28,2386,4,1,26,585,806,7,10,156,29,3.75,82.20,3.68,48.70,170,1699,12,0,13,1010,2662,10,24,145,37,6.97,108.90,4.43,53.90,281,4208,26,1,29
22,4,2025,Kaleb Johnson,Elite Upside,11.47,93.20,1.47,Iowa,2,8/14/03,22.14,JR,21.72,BELL COW,3DOWN,73,224,4.57,3,0.00%,0.00%,24.59%,20.81%,43.72%,43.72%,43.72%,2.11%,12.03%,12.03%,12.03%,19.07,102.71,29.55,0.33,6.40,8.34,0.08,131.50,4.42,56.10,10.00,9.00,8.00,6.00,9.00,5.00,7.00,6.00,6.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,777,1232,6,12,151,50,5.15,107.70,3.34,44.30,27,2037,4,0,7,463,1159,3,8,117,19,3.96,41.40,2.62,41.70,25,1186,3,0,6,1535,2366,21,29,240,66,6.40,131.50,4.42,56.10,190,1579,22,2,10
23,2,2026,Jonah Coleman,Elite Upside,11.34,92.90,1.41,Washington,2,8/20/03,22.12,SR,22.70,FREAK,3DOWN,69,229,4.50,3,0.00%,7.14%,19.59%,24.37%,30.07%,30.07%,30.07%,5.20%,18.12%,18.12%,18.12%,20.05,111.69,33.81,0.36,6.80,9.53,0.15,176.20,5.12,54.70,8.00,10.00,4.00,9.00,9.00,7.00,8.00,8.00,6.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,372,1722,4,0,75,26,0.00,106.20,3.04,18.00,24,3821,8,0,0,863,1816,5,0,127,46,6.80,176.20,5.09,54.70,278,4008,26,1,0,1060,1674,10,13,192,67,5.52,153.40,4.34,35.40,177,3402,23,0,18,347,825,0,0,51,16,6.80,156.10,5.12,36.60,150,828,9,0,0
24,3,2023,De'Von Achane,Elite Upside,11.22,92.60,1.36,Texas A&M,1,10/13/01,23.97,JR,21.55,JITTERBUG,+RECEIVER,68,188,4.32,3,0.00%,0.00%,10.50%,24.39%,29.94%,29.94%,29.94%,10.43%,7.44%,8.94%,8.94%,19.91,107.96,28.58,0.28,6.80,8.52,0.16,112.10,4.02,52.10,8.00,8.00,5.00,9.00,7.00,7.00,5.00,5.00,6.0,0.75,0,2847,0,28,0,0,0.00,0.00,0.00,0.00,0,3284,0,0,25,0,2068,0,24,0,0,0.00,0.00,0.00,0.00,0,3060,0,0,22,364,2051,4,21,43,17,8.50,185.30,5.23,51.40,97,2341,5,0,20,885,2196,9,17,130,36,6.80,112.10,4.02,52.10,261,2503,24,0,19,1100,1695,8,12,196,51,5.60,89.90,3.60,42.80,196,2633,36,0,18
25,2,2022,Kenneth Walker III,Elite Upside,11.21,92.00,1.36,Michigan State,2,10/20/00,24.95,JR,21.53,DYNAMIC,3DOWN,69,211,4.38,2,0.00%,0.00%,9.88%,19.35%,30.87%,30.87%,30.87%,1.17%,2.70%,2.70%,2.70%,19.89,114.66,31.16,0.34,6.20,7.17,0.05,145.90,4.46,53.90,8.00,3.00,5.00,10.00,9.00,5.00,7.00,7.00,7.0,0.50,0,2182,0,18,0,0,0.00,0.00,0.00,0.00,0,3599,0,0,33,0,2778,0,21,0,0,0.00,0.00,0.00,0.00,0,3069,0,0,25,579,2284,4,18,98,36,5.90,162.40,4.32,46.30,17,3748,3,0,31,579,1142,13,22,119,34,4.90,107.70,3.83,24.90,23,1970,2,0,14,1634,2283,18,23,262,88,6.20,145.90,4.46,53.90,89,3298,13,0,27
25,1,2019,Josh Jacobs,Elite Upside,11.21,92.00,1.36,Alabama,1,2/11/98,27.64,JR,21.21,BELL CALF,+RECEIVER,70,220,4.52,1,0.00%,0.00%,10.70%,9.10%,15.33%,15.33%,15.33%,7.78%,6.18%,6.98%,6.98%,20.56,105.41,31.56,0.27,6.20,13.25,0.14,109.80,4.07,23.60,2.00,7.00,3.00,8.00,7.00,5.00,5.00,5.00,10.0,1.00,0,2893,0,35,0,0,0.00,0.00,0.00,0.00,0,3890,0,0,32,0,2999,0,33,0,0,0.00,0.00,0.00,0.00,0,3407,0,0,22,564,3675,4,33,86,26,6.60,165.80,4.60,45.20,167,3154,14,0,26,284,2808,1,36,46,4,6.20,53.60,3.22,23.60,169,2172,14,0,28,900,2976,11,33,121,33,5.30,109.80,4.07,22.80,300,4854,20,0,52
27,5,2025,Quinshon Judkins,Elite Upside,11.06,91.70,1.29,Ohio State,2,10/29/03,21.93,JR,21.51,FREAK,SLASHER,72,230,4.48,2,0.00%,0.00%,26.33%,21.78%,17.77%,26.33%,26.33%,4.01%,3.83%,3.92%,3.92%,18.87,114.19,31.19,0.29,5.70,7.49,0.10,95.50,3.38,47.20,7.00,4.00,9.00,10.00,8.00,3.00,4.00,2.00,7.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,1567,3336,16,33,275,76,5.70,95.50,3.38,47.20,132,3117,15,1,22,1159,2292,15,29,271,78,4.28,86.70,3.21,27.50,149,3713,22,2,26,1060,2662,14,24,193,43,5.49,69.30,3.04,41.20,161,4208,22,2,29
28,2,2018,Derrius Guice,Elite Upside,11.02,91.40,1.28,LSU,1,6/21/97,28.29,JR,20.86,FREAK,3DOWN,70,224,4.49,2,0.00%,0.00%,8.82%,29.41%,25.80%,27.61%,27.61%,4.65%,4.69%,4.69%,4.69%,19.21,110.23,32.14,0.26,7.60,8.19,0.07,111.70,4.13,59.90,7.00,5.00,7.00,9.00,7.00,9.00,5.00,5.00,7.0,0.25,0,2630,0,0,0,0,0.00,0.00,0.00,0.00,0,3263,0,0,0,0,2919,0,0,0,0,0.00,0.00,0.00,0.00,0,2118,0,0,0,439,3082,3,0,50,15,8.80,138.00,4.14,67.70,24,2165,4,0,0,1387,2796,15,0,183,48,7.60,111.70,4.13,59.90,106,2281,9,0,0,1255,2699,11,0,237,44,5.30,60.20,3.20,29.60,124,2645,18,0,0
29,3,2020,Cam Akers,Upside,10.91,91.10,1.23,Florida State,4,6/22/99,26.28,JR,20.85,FREAK,3DOWN,70,217,4.47,2,0.00%,0.00%,24.72%,19.59%,25.75%,25.75%,23.18%,4.38%,6.47%,6.47%,5.82%,18.21,108.71,31.13,0.33,4.90,9.29,0.11,125.90,3.91,45.10,5.00,6.00,10.00,9.00,9.00,1.00,6.00,4.00,7.0,0.50,0,2187,0,27,0,0,0.00,0.00,0.00,0.00,0,3325,0,0,22,0,2630,0,33,0,0,0.00,0.00,0.00,0.00,0,3433,0,0,23,1015,2024,7,18,193,41,5.30,80.60,3.66,38.40,116,2551,16,0,21,707,1093,6,11,162,27,4.40,63.70,3.55,45.10,142,3241,6,0,20,1142,1829,14,24,231,76,4.90,125.90,3.91,33.30,225,3479,30,0,24
30,4,2023,Tank Bigsby,Upside,10.90,90.80,1.23,Auburn,1,8/30/01,24.09,JR,21.67,BELL COW,3DOWN,72,210,4.56,3,0.00%,0.00%,21.80%,24.61%,25.45%,25.45%,25.45%,5.77%,8.69%,8.69%,8.69%,19.02,97.14,28.48,0.34,5.50,7.28,0.14,137.90,4.16,50.10,6.00,8.00,8.00,4.00,9.00,3.00,7.00,5.00,6.0,1.00,0,2177,0,25,0,0,0.00,0.00,0.00,0.00,0,2892,0,0,21,0,2588,0,31,0,0,0.00,0.00,0.00,0.00,0,2697,0,0,20,834,1788,5,16,138,47,6.00,131.30,3.99,39.20,84,2423,11,0,12,1104,2096,10,22,224,48,4.90,65.50,3.13,32.60,180,3121,20,0,17,976,2470,10,25,178,60,5.50,137.90,4.16,50.10,180,2072,30,0,9
