Overall RK,Class Rk,Year,Player Name,,QB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Archetype,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,Comp,YPC,ADJ%,BTT%,TWP%,DAA,YPA,MTF/A,YCO/A,BOUT,YPC+,ADJ%+,BTT%+,TWP%+,DAA+,RDOM++,YPA+,MTF/A+,YCO/A+,DC+,BAMA,Raw Passing,Pass Grade,Raw Run,Run Grade,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,
14,1,2023,CJ Stroud,Elite Upside,11.42,93.20,1.80,Ohio State,2,10/3/01,24.00,JR,21.58,Pocket Passer,75,214,4.65,1,0.00%,0.00%,0.00%,89.34%,95.00%,95.00%,95.00%,2.90%,7.21%,7.21%,7.21%,19.92,91.54,71.6%,14.33,79.0%,7.0%,2.5%,57%,4.50,0.10,1.40,5.0,10.0,9.0,6.0,9.0,8.0,2.0,3.0,0.0,0.0,10.0,0.0,12.5,9.3,0.2,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,4424,4952,44,6,443,317,79,5.9,2.5,56.5,72,2483,28,3,0,0,0.36,3,3684,3878,41,6,390,257,73,7.00,3.60,54.10,188,2609,42,4.50,0,4,1.40,5,
15,3,2020,Justin Herbert,Elite Upside,11.29,92.70,1.76,Oregon,5,3/10/98,27.57,SR,22.15,Distributor,78,236,4.69,1,0.00%,60.82%,80.32%,97.67%,95.99%,96.83%,82.31%,11.53%,6.32%,8.93%,7.59%,18.49,97.56,66.1%,12.13,77.5%,9.2%,2.0%,55%,4.80,0.15,2.85,9.0,4.0,7.0,10.0,10.0,7.0,2.0,3.0,2.0,6.0,10.0,0.0,10.9,8.7,0.5,0.2,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1936,3183,19,4,255,162,74,5.6,3.3,34.7,262,2876,24,6,2,2,2.30,9,1983,2469,15,5,206,139,78,9.20,2.00,55,240,3431,24,6,5,2,2.05,6,3147,3222,29,8,407,241,72,6.8,3.5,46.8,292,2532,31,5,2,3,1.74,10,3470,3615,32,6,433,286,75,4.70,3.00,44.90,169,2674,27,3.70,4,4,2.85,8,
16,1,2017,Deshaun Watson,Elite Upside,11.28,92.20,1.76,Clemson,4,9/14/95,30.06,JR,21.63,Dual Threat,74,221,4.66,1,0.00%,0.00%,43.07%,93.33%,91.54%,92.43%,83.19%,33.39%,26.67%,30.03%,27.03%,19.98,93.73,67.6%,11.82,77.3%,6.7%,2.7%,48%,5.70,0.17,2.74,5.0,4.0,7.0,5.0,8.0,4.0,9.0,5.0,3.0,5.0,10.0,0.0,8.2,8.2,0.8,0.8,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,1466,3404,14,2,137,93,75,5.60,1.20,52,254,2135,46,5,5,15,3.23,6,4086,4378,35,13,494,334,77,6.7,2.7,47.5,1174,3516,153,6,12,18,1.94,35,4585,5009,41,17,580,388,76,5.10,3.00,46.70,708,2655,124,4.60,9,21,2.74,21,
17,3,2021,Mac Jones,Elite Upside,11.22,91.70,1.74,Alabama,1,9/5/98,27.08,RS JR,22.66,Pocket Passer,74,205,4.88,1,0.00%,0.00%,2.53%,33.78%,96.52%,96.52%,96.52%,2.23%,3.16%,3.16%,3.16%,22.01,72.29,76.6%,15.49,84.2%,7.4%,2.4%,66%,3.40,0.00,1.20,0.0,10.0,10.0,6.0,9.0,10.0,1.0,0.0,0.0,0.0,10.0,0.0,13.3,9.9,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,123,4854,1,0,13,5,46,7.70,0.00,100,-11,3099,8,-1,0,0,0.13,0,1503,4449,14,3,141,97,78,5.3,2.4,50.0,51,2289,4,3,1,0,1.20,2,4494,4656,41,4,406,311,84,7.40,2.40,66.10,79,2499,17,3.00,1,0,0.58,2,
18,1,2026,Fernando Mendoza,Elite Upside,11.02,91.30,1.68,Indiana,2,10/1/03,22.01,JR,22.59,Distributor,77,225,4.7,1,0.00%,0.00%,60.23%,89.35%,87.13%,89.35%,89.35%,17.79%,7.75%,12.77%,12.77%,19.93,92.22,75.2%,12.83,83.2%,5.7%,0.8%,54%,6.40,0.21,3.00,5.0,6.0,10.0,3.0,10.0,7.0,5.0,6.0,6.0,7.0,10.0,0.0,10.5,8.4,0.9,0.5,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,1708,2836,14,10,243,153,71,5.70,5.00,46,197,2420,52,6,2,6,2.66,11,3004,3362,16,6,390,265,76,2.9,3.5,40.9,334,1877,52,6,2,8,3.00,12,975,1119,14,0,101,76,83,2.80,0.80,53.80,96,1238,19,5.05,2,4,2.84,1,
19,4,2020,Jalen Hurts,Elite Upside,11.00,90.80,1.67,Oklahoma,3,8/7/98,27.16,SR,21.74,Dual Threat,73,222,4.59,2,0.00%,87.79%,76.81%,15.76%,92.44%,92.44%,83.19%,26.25%,40.20%,40.20%,36.18%,18.08,100.03,69.5%,16.24,76.9%,5.1%,1.1%,50%,7.40,0.20,3.75,10.0,10.0,6.0,2.0,10.0,5.0,10.0,8.0,5.0,9.0,6.0,0.0,9.8,9.8,1.2,1.2,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,2769,3154,23,9,383,240,75,3.5,2.9,40.0,1072,3844,121,6,13,24,3.03,34,2080,2708,17,1,256,154,77,4.40,2.30,45,959,3653,85,7,8,14,3.75,40,765,4854,8,2,70,51,82,10.5,1.1,81.8,175,3099,22,5,2,2,2.76,6,3849,4164,32,8,341,237,77,5.10,2.90,50.00,1422,3537,162,6.40,20,33,2.38,47,
20,2,2023,Bryce Young,Elite Upside,10.88,90.30,1.64,Alabama,1,7/25/01,24.19,JR,21.77,Distributor,70,204,4.75,1,0.00%,0.00%,3.35%,95.80%,90.85%,93.32%,93.32%,10.73%,11.35%,11.35%,11.35%,20.12,80.15,66.4%,13.57,78.1%,6.3%,2.0%,50%,9.10,0.24,3.53,4.0,8.0,8.0,4.0,10.0,5.0,4.0,10.0,7.0,8.0,10.0,0.0,10.4,8.3,1.1,0.5,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,156,4656,1,0,22,13,85,4.50,9.70,50,7,2499,6,1,0,0,0.33,1,4860,5073,47,7,550,365,78,6.3,2.0,47.3,273,2545,45,6,3,11,2.87,14,3325,3660,32,5,380,245,77,5.70,2.00,50.00,311,2739,34,9.10,4,6,3.53,11,
21,2,2025,Cam Ward,Elite Upside,10.77,89.80,1.61,Miami,4,5/25/02,23.36,RS SR,22.94,Distributor,74,223,4.87,1,99.33%,99.32%,97.94%,92.41%,95.27%,97.30%,87.57%,30.14%,12.82%,21.48%,19.33%,18.28,79.29,67.2%,14.14,78.6%,6.3%,3.3%,51%,7.60,0.25,3.95,10.0,10.0,8.0,4.0,5.0,5.0,7.0,9.0,8.0,9.0,10.0,0.0,9.9,7.9,1.2,0.6,2221,2236,24,4,302,108,74,4.1,3.4,37.0,123,1228,27,5,2,4,3.8,5,4650,4682,47,10,592,386,74,3.8,3.5,33.3,328,1927,45,7,1,10,3.73,15,3228,3296,23,9,501,321,75,1.90,3.40,28,341,1701,71,5,5,11,2.38,15,3723,4029,25,7,486,324,79,4.8,3.6,45.6,384,1274,83,5,8,8,2.30,16,4313,4527,39,7,454,305,77,6.30,3.30,50.70,336,2621,44,7.60,4,11,3.95,14,
22,4,2024,JJ McCarthy,Elite Upside,10.73,89.30,1.60,Michigan,2,1/20/03,22.70,JR,21.28,Distributor,75,202,4.48,1,0.00%,0.00%,16.11%,88.50%,93.32%,93.32%,93.32%,11.52%,12.58%,12.58%,12.58%,19.64,100.29,72.1%,12.46,80.0%,5.9%,2.9%,59%,6.00,0.32,3.30,6.0,4.0,10.0,3.0,7.0,9.0,5.0,6.0,10.0,7.0,10.0,0.0,9.5,7.6,1.1,0.5,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,516,3202,5,2,58,34,73,9.20,1.40,60,152,3112,25,6,2,8,4.16,7,2724,3078,21,5,323,207,73,5.5,3.2,46.4,402,3489,67,6,5,16,2.48,14,2991,3205,22,4,333,240,80,5.90,2.90,58.70,340,2702,57,5.96,3,18,3.30,13,
23,2,2026,LaNorris Sellers,Elite Upside,10.65,88.80,1.57,South Carolina,1,6/23/05,20.28,RS SO,20.86,Game Manager,75,240,4.7,1,0.00%,0.00%,2.58%,86.78%,83.20%,86.78%,86.78%,32.09%,21.89%,26.99%,26.99%,19.21,98.37,64.8%,15.60,75.8%,7.6%,4.0%,57%,6.00,0.33,4.12,7.0,10.0,5.0,7.0,3.0,8.0,9.0,6.0,10.0,10.0,10.0,0.0,9.9,7.4,1.3,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,86,3336,2,0,4,4,100,25.00,0.00,100,47,1352,7,7,1,2,6.00,1,2520,2904,18,7,301,195,75,4.9,4.6,56.4,852,2655,141,6,7,47,4.12,26,733,881,4,1,73,47,76,7.60,4.00,57.10,95,434,26,3.65,1,7,2.65,5,
24,3,2026,Dante Moore,Elite Upside,10.58,88.40,1.55,Oregon,2,5/24/05,20.36,JR,20.94,Mobile Passer,75,206,4.7,2,0.00%,0.00%,54.01%,1.25%,89.57%,89.57%,89.57%,-0.17%,9.32%,9.32%,9.32%,20.29,84.43,87.5%,13.55,80.2%,6.9%,0.9%,63%,7.38,0.08,2.54,4.0,8.0,10.0,5.0,10.0,10.0,4.0,8.0,0.0,5.0,6.0,0.0,12.5,12.5,0.6,0.5,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,1609,2979,11,9,214,114,69,6.40,4.60,43,72,2830,23,3,0,4,2.87,3,49,3913,0,0,8,7,100,0.0,0.0,0.0,-4,2372,7,-1,0,0,0.00,0,962,1074,11,1,95,71,80,6.90,0.90,62.50,96,1030,13,7.38,0,1,2.54,3,
25,3,2018,Sam Darnold,Elite Upside,10.56,87.90,1.55,USC,5,6/5/97,28.33,RS SO,20.91,Distributor,75,221,4.85,1,0.00%,0.00%,0.00%,85.89%,98.78%,98.78%,83.96%,11.09%,8.89%,9.99%,8.49%,19.25,79.88,66.5%,13.65,75.8%,7.0%,3.2%,50%,4.90,0.13,2.44,7.0,8.0,5.0,6.0,6.0,5.0,3.0,3.0,2.0,4.0,10.0,0.0,9.0,7.2,0.5,0.2,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,3086,3593,31,9,370,246,76,5.4,3.2,50.0,301,2714,30,5,2,4,2.44,9,4135,4186,26,13,483,303,70,7.00,5.40,39.60,247,2779,38,3.80,5,1,1.78,12,
26,4,2021,Zach Wilson,Elite Upside,10.53,87.40,1.54,BYU,7,8/3/99,26.17,JR,21.75,Game Manager,75,203,4.79,1,0.00%,0.00%,57.32%,64.09%,92.70%,92.70%,69.52%,13.16%,14.57%,14.57%,10.93%,19.09,77.12,61.6%,15.08,74.9%,6.7%,1.0%,60%,6.20,0.26,3.06,7.0,10.0,4.0,5.0,10.0,9.0,4.0,6.0,8.0,7.0,10.0,0.0,10.9,8.2,0.9,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,1578,2753,12,3,184,120,75,6.70,2.80,60,346,2226,31,6,2,2,3.11,13,2372,3701,11,9,320,197,71,5.1,4.0,37.7,303,2302,31,6,3,8,3.06,13,3694,3985,32,3,337,245,79,8.60,1.00,67.90,353,2422,50,5.30,10,3,1.94,14,
